gene,arm,method,K,n_var,pds,ci_lo,ci_hi
GATA1,hard,Biolord,5,172,0.50631,0.47927,0.53123
GATA1,hard,Biolord,10,172,0.50907,0.48037,0.53538
GATA1,hard,Biolord,20,172,0.51618,0.48798,0.54459
GATA1,hard,Biolord,25,172,0.51768,0.49043,0.5458
GATA1,hard,Biolord,45,172,0.52031,0.49155,0.54848
GATA1,hard,Biolord,90,172,0.51851,0.48849,0.5486
GATA1,hard,Biolord,254,172,0.49396,0.46138,0.5263
GATA1,hard,CellFlow,5,172,0.50095,0.47682,0.52524
GATA1,hard,CellFlow,10,172,0.4977,0.47117,0.52218
GATA1,hard,CellFlow,20,172,0.50284,0.47518,0.52995
GATA1,hard,CellFlow,25,172,0.50496,0.47793,0.53224
GATA1,hard,CellFlow,45,172,0.50375,0.47664,0.53144
GATA1,hard,CellFlow,90,172,0.49909,0.46909,0.52907
GATA1,hard,CellFlow,254,172,0.4808,0.44844,0.51078
GATA1,hard,GBoost-esm,5,172,0.48505,0.4585,0.51368
GATA1,hard,GBoost-esm,10,172,0.48373,0.45682,0.5122
GATA1,hard,GBoost-esm,20,172,0.48011,0.45247,0.50808
GATA1,hard,GBoost-esm,25,172,0.47826,0.44938,0.50573
GATA1,hard,GBoost-esm,45,172,0.47806,0.44896,0.50869
GATA1,hard,GBoost-esm,90,172,0.4805,0.44857,0.51389
GATA1,hard,GBoost-esm,254,172,0.50175,0.46853,0.53493
GATA1,hard,GBoost-esm+theta,5,172,0.48629,0.45973,0.51376
GATA1,hard,GBoost-esm+theta,10,172,0.48429,0.45699,0.51338
GATA1,hard,GBoost-esm+theta,20,172,0.48119,0.45213,0.5103
GATA1,hard,GBoost-esm+theta,25,172,0.47864,0.44974,0.5077
GATA1,hard,GBoost-esm+theta,45,172,0.47785,0.44956,0.50948
GATA1,hard,GBoost-esm+theta,90,172,0.4799,0.44829,0.51123
GATA1,hard,GBoost-esm+theta,254,172,0.50106,0.46734,0.53419
GATA1,hard,GBoost-theta,5,172,0.48696,0.46113,0.51377
GATA1,hard,GBoost-theta,10,172,0.48547,0.45831,0.51213
GATA1,hard,GBoost-theta,20,172,0.47969,0.4523,0.50775
GATA1,hard,GBoost-theta,25,172,0.47773,0.44994,0.50498
GATA1,hard,GBoost-theta,45,172,0.47754,0.44952,0.50479
GATA1,hard,GBoost-theta,90,172,0.47986,0.44914,0.50954
GATA1,hard,GBoost-theta,254,172,0.50238,0.47055,0.53355
GATA1,hard,Gene-mean,5,172,0.48541,0.4612,0.50958
GATA1,hard,Gene-mean,10,172,0.48279,0.45658,0.50917
GATA1,hard,Gene-mean,20,172,0.47608,0.4469,0.50373
GATA1,hard,Gene-mean,25,172,0.47365,0.44471,0.50268
GATA1,hard,Gene-mean,45,172,0.4724,0.44309,0.50239
GATA1,hard,Gene-mean,90,172,0.47471,0.44506,0.50562
GATA1,hard,Gene-mean,254,172,0.49868,0.46589,0.53211
GATA1,hard,KNN-esm,5,172,0.4886,0.46242,0.51489
GATA1,hard,KNN-esm,10,172,0.48615,0.46083,0.51296
GATA1,hard,KNN-esm,20,172,0.48156,0.45477,0.50943
GATA1,hard,KNN-esm,25,172,0.47947,0.45161,0.50775
GATA1,hard,KNN-esm,45,172,0.47803,0.44876,0.5092
GATA1,hard,KNN-esm,90,172,0.48031,0.45167,0.51112
GATA1,hard,KNN-esm,254,172,0.50192,0.46851,0.53451
GATA1,hard,KNN-esm+theta,5,172,0.4937,0.4679,0.51914
GATA1,hard,KNN-esm+theta,10,172,0.49236,0.46522,0.51863
GATA1,hard,KNN-esm+theta,20,172,0.48724,0.46067,0.51473
GATA1,hard,KNN-esm+theta,25,172,0.48519,0.45826,0.51222
GATA1,hard,KNN-esm+theta,45,172,0.48506,0.45623,0.51271
GATA1,hard,KNN-esm+theta,90,172,0.48756,0.45795,0.51746
GATA1,hard,KNN-esm+theta,254,172,0.50905,0.476,0.5407
GATA1,hard,KNN-theta,5,172,0.47974,0.45368,0.50591
GATA1,hard,KNN-theta,10,172,0.47485,0.44779,0.50256
GATA1,hard,KNN-theta,20,172,0.46971,0.44314,0.49806
GATA1,hard,KNN-theta,25,172,0.46787,0.44123,0.49522
GATA1,hard,KNN-theta,45,172,0.4661,0.43724,0.49492
GATA1,hard,KNN-theta,90,172,0.46853,0.43999,0.49773
GATA1,hard,KNN-theta,254,172,0.48934,0.45875,0.52238
GATA1,hard,Lasso-esm,5,172,0.48541,0.45796,0.5116
GATA1,hard,Lasso-esm,10,172,0.48279,0.45659,0.50919
GATA1,hard,Lasso-esm,20,172,0.47608,0.44871,0.50535
GATA1,hard,Lasso-esm,25,172,0.47365,0.44384,0.50294
GATA1,hard,Lasso-esm,45,172,0.4724,0.44262,0.50035
GATA1,hard,Lasso-esm,90,172,0.47471,0.44314,0.50379
GATA1,hard,Lasso-esm,254,172,0.49868,0.46661,0.53076
GATA1,hard,Lasso-esm+theta,5,172,0.48559,0.4592,0.51159
GATA1,hard,Lasso-esm+theta,10,172,0.48287,0.45491,0.51011
GATA1,hard,Lasso-esm+theta,20,172,0.47611,0.44749,0.50529
GATA1,hard,Lasso-esm+theta,25,172,0.47383,0.4458,0.5019
GATA1,hard,Lasso-esm+theta,45,172,0.47243,0.44191,0.50355
GATA1,hard,Lasso-esm+theta,90,172,0.47485,0.44512,0.50395
GATA1,hard,Lasso-esm+theta,254,172,0.4988,0.46668,0.53083
GATA1,hard,Lasso-theta,5,172,0.48559,0.46124,0.51301
GATA1,hard,Lasso-theta,10,172,0.48287,0.45689,0.51024
GATA1,hard,Lasso-theta,20,172,0.47611,0.44873,0.50395
GATA1,hard,Lasso-theta,25,172,0.47383,0.44439,0.50089
GATA1,hard,Lasso-theta,45,172,0.47243,0.44316,0.50044
GATA1,hard,Lasso-theta,90,172,0.47485,0.4461,0.50477
GATA1,hard,Lasso-theta,254,172,0.4988,0.46746,0.53175
GATA1,hard,MLP-esm,5,172,0.48484,0.45905,0.51087
GATA1,hard,MLP-esm,10,172,0.48288,0.45797,0.50941
GATA1,hard,MLP-esm,20,172,0.47657,0.44974,0.50607
GATA1,hard,MLP-esm,25,172,0.47429,0.44653,0.50313
GATA1,hard,MLP-esm,45,172,0.4724,0.44321,0.50014
GATA1,hard,MLP-esm,90,172,0.47455,0.4442,0.50714
GATA1,hard,MLP-esm,254,172,0.49866,0.46523,0.53146
GATA1,hard,MLP-esm+theta,5,172,0.48413,0.46005,0.51132
GATA1,hard,MLP-esm+theta,10,172,0.48133,0.45524,0.5085
GATA1,hard,MLP-esm+theta,20,172,0.47508,0.44798,0.50382
GATA1,hard,MLP-esm+theta,25,172,0.47281,0.44644,0.50129
GATA1,hard,MLP-esm+theta,45,172,0.47154,0.44344,0.50083
GATA1,hard,MLP-esm+theta,90,172,0.47383,0.4443,0.50424
GATA1,hard,MLP-esm+theta,254,172,0.49742,0.46005,0.52846
GATA1,hard,MLP-theta,5,172,0.48509,0.45871,0.51103
GATA1,hard,MLP-theta,10,172,0.4814,0.45583,0.50929
GATA1,hard,MLP-theta,20,172,0.47505,0.44863,0.50181
GATA1,hard,MLP-theta,25,172,0.47288,0.44721,0.50171
GATA1,hard,MLP-theta,45,172,0.47147,0.44311,0.49984
GATA1,hard,MLP-theta,90,172,0.47393,0.44439,0.50554
GATA1,hard,MLP-theta,254,172,0.49788,0.46504,0.53007
GATA1,hard,PerturbNet,5,172,0.5073,0.48393,0.53171
GATA1,hard,PerturbNet,10,172,0.51045,0.48709,0.53302
GATA1,hard,PerturbNet,20,172,0.50767,0.48343,0.53184
GATA1,hard,PerturbNet,25,172,0.5071,0.48254,0.53119
GATA1,hard,PerturbNet,45,172,0.50426,0.48127,0.52964
GATA1,hard,PerturbNet,90,172,0.50562,0.4793,0.52993
GATA1,hard,PerturbNet,254,172,0.51601,0.48871,0.54373
GATA1,hard,RF-esm,5,172,0.48589,0.46043,0.51229
GATA1,hard,RF-esm,10,172,0.48345,0.45694,0.5107
GATA1,hard,RF-esm,20,172,0.47702,0.45102,0.50468
GATA1,hard,RF-esm,25,172,0.47503,0.44943,0.50286
GATA1,hard,RF-esm,45,172,0.47355,0.44416,0.50464
GATA1,hard,RF-esm,90,172,0.47578,0.44587,0.50747
GATA1,hard,RF-esm,254,172,0.4981,0.46464,0.52861
GATA1,hard,RF-esm+theta,5,172,0.48814,0.46162,0.51466
GATA1,hard,RF-esm+theta,10,172,0.48484,0.45703,0.50942
GATA1,hard,RF-esm+theta,20,172,0.47813,0.45028,0.50484
GATA1,hard,RF-esm+theta,25,172,0.47613,0.44728,0.5026
GATA1,hard,RF-esm+theta,45,172,0.47415,0.44474,0.50363
GATA1,hard,RF-esm+theta,90,172,0.47648,0.44568,0.50696
GATA1,hard,RF-esm+theta,254,172,0.49883,0.46526,0.53052
GATA1,hard,RF-theta,5,172,0.48427,0.45852,0.50861
GATA1,hard,RF-theta,10,172,0.48119,0.45622,0.50669
GATA1,hard,RF-theta,20,172,0.4761,0.44911,0.50315
GATA1,hard,RF-theta,25,172,0.47401,0.44765,0.50241
GATA1,hard,RF-theta,45,172,0.47291,0.44403,0.50163
