gene,method,split,stratum,n_pairs,accuracy,ci_lo,ci_hi,n_refused,n_predicted
TP53,self-null (same variant),all,all,1470,0.49456,0.46803,0.52109,0,98
TP53,self-null (WT-referenced),all,all,1470,0.47687,0.4517,0.50204,0,98
TP53,split-half measurement,all,all,4753,0.47071,0.46289,0.47849,0,0
TP53,split-half measurement,all,unresolvable,4753,0.47071,0.46298,0.47849,0,0
TP53,split-half measurement,all,unresolvable_xfit,4753,0.45882,0.45048,0.46729,0,0
TP53,Biolord,split1,all,120,0.44833,0.39167,0.50056,0,16
TP53,Biolord,split1,unresolvable,120,0.44833,0.39444,0.50278,0,16
TP53,Biolord,split1,unresolvable_xfit,120,0.45625,0.39685,0.51458,0,16
TP53,Biolord,split2,all,1176,0.53608,0.51989,0.55159,0,49
TP53,Biolord,split2,unresolvable,1176,0.53608,0.5195,0.55218,0,49
TP53,Biolord,split2,unresolvable_xfit,1176,0.52328,0.50702,0.5406,0,49
TP53,Biolord,split3,all,36,0.51667,0.41852,0.61111,0,9
TP53,Biolord,split3,unresolvable,36,0.51667,0.42037,0.6056,0,9
TP53,Biolord,split3,unresolvable_xfit,36,0.51389,0.42014,0.60069,0,9
TP53,Biolord,split6,all,45,0.54963,0.46222,0.62815,0,10
TP53,Biolord,split6,unresolvable,45,0.54963,0.46222,0.62967,0,10
TP53,Biolord,split6,unresolvable_xfit,45,0.55833,0.47222,0.64451,0,10
TP53,CellFlow,split1,all,120,0.565,0.50944,0.61556,0,16
TP53,CellFlow,split1,unresolvable,120,0.565,0.51111,0.61224,0,16
TP53,CellFlow,split1,unresolvable_xfit,120,0.56458,0.50729,0.62292,0,16
TP53,CellFlow,split2,all,1176,0.48934,0.47268,0.50641,0,49
TP53,CellFlow,split2,unresolvable,1176,0.48934,0.47267,0.50542,0,49
TP53,CellFlow,split2,unresolvable_xfit,1176,0.47183,0.45408,0.49001,0,49
TP53,CellFlow,split3,all,36,0.35741,0.27407,0.44444,0,9
TP53,CellFlow,split3,unresolvable,36,0.35741,0.27037,0.44264,0,9
TP53,CellFlow,split3,unresolvable_xfit,36,0.32292,0.23958,0.40972,0,9
TP53,CellFlow,split6,all,45,0.4963,0.40885,0.58074,0,10
TP53,CellFlow,split6,unresolvable,45,0.4963,0.40885,0.58522,0,10
TP53,CellFlow,split6,unresolvable_xfit,45,0.47778,0.38611,0.57222,0,10
TP53,GBoost-esm+theta,split1,all,120,0.52778,0.47388,0.58279,0,16
TP53,GBoost-esm+theta,split1,unresolvable,120,0.52778,0.47276,0.58501,0,16
TP53,GBoost-esm+theta,split1,unresolvable_xfit,120,0.54167,0.48021,0.60208,0,16
TP53,GBoost-esm+theta,split2,all,1176,0.55028,0.53393,0.56718,0,49
TP53,GBoost-esm+theta,split2,unresolvable,1176,0.55028,0.53509,0.56591,0,49
TP53,GBoost-esm+theta,split2,unresolvable_xfit,1176,0.53369,0.51669,0.5507,0,49
TP53,GBoost-esm+theta,split3,all,36,0.47407,0.38333,0.57222,0,9
TP53,GBoost-esm+theta,split3,unresolvable,36,0.47407,0.37963,0.56852,0,9
TP53,GBoost-esm+theta,split3,unresolvable_xfit,36,0.45486,0.35069,0.55911,0,9
TP53,GBoost-esm+theta,split6,all,45,0.61185,0.53333,0.69037,0,10
TP53,GBoost-esm+theta,split6,unresolvable,45,0.61185,0.53185,0.69037,0,10
TP53,GBoost-esm+theta,split6,unresolvable_xfit,45,0.61111,0.525,0.68889,0,10
TP53,GBoost-esm,split1,all,120,0.51056,0.45556,0.56279,0,16
TP53,GBoost-esm,split1,unresolvable,120,0.51056,0.45665,0.56611,0,16
TP53,GBoost-esm,split1,unresolvable_xfit,120,0.51562,0.45622,0.57503,0,16
TP53,GBoost-esm,split2,all,1176,0.56338,0.54725,0.57971,0,49
TP53,GBoost-esm,split2,unresolvable,1176,0.56338,0.54787,0.57917,0,49
TP53,GBoost-esm,split2,unresolvable_xfit,1176,0.54262,0.52572,0.55953,0,49
TP53,GBoost-esm,split3,all,36,0.50185,0.41292,0.58519,0,9
TP53,GBoost-esm,split3,unresolvable,36,0.50185,0.41667,0.59074,0,9
TP53,GBoost-esm,split3,unresolvable_xfit,36,0.47222,0.375,0.56944,0,9
TP53,GBoost-esm,split6,all,45,0.61333,0.5363,0.68593,0,10
TP53,GBoost-esm,split6,unresolvable,45,0.61333,0.53333,0.69185,0,10
TP53,GBoost-esm,split6,unresolvable_xfit,45,0.60556,0.525,0.68889,0,10
TP53,GBoost-theta,split1,all,120,0.33528,0.28499,0.3853,0,16
TP53,GBoost-theta,split1,unresolvable,120,0.33528,0.28138,0.38472,0,16
TP53,GBoost-theta,split1,unresolvable_xfit,120,0.36042,0.30729,0.41354,0,16
TP53,GBoost-theta,split2,all,1176,0.49898,0.48328,0.51497,0,49
TP53,GBoost-theta,split2,unresolvable,1176,0.49898,0.48222,0.51562,0,49
TP53,GBoost-theta,split2,unresolvable_xfit,1176,0.48969,0.47268,0.50702,0,49
TP53,GBoost-theta,split3,all,36,0.39259,0.31481,0.46481,0,9
TP53,GBoost-theta,split3,unresolvable,36,0.39259,0.32037,0.47037,0,9
TP53,GBoost-theta,split3,unresolvable_xfit,36,0.39931,0.31597,0.48958,0,9
TP53,GBoost-theta,split6,all,45,0.27778,0.21111,0.34743,0,10
TP53,GBoost-theta,split6,unresolvable,45,0.27778,0.2133,0.34594,0,10
TP53,GBoost-theta,split6,unresolvable_xfit,45,0.325,0.24444,0.4,0,10
TP53,Gene-mean,split1,all,120,0.5,0.5,0.5,0,16
TP53,Gene-mean,split1,unresolvable,120,0.5,0.5,0.5,0,16
TP53,Gene-mean,split1,unresolvable_xfit,120,0.5,0.5,0.5,0,16
TP53,Gene-mean,split2,all,1176,0.5,0.5,0.5,0,49
TP53,Gene-mean,split2,unresolvable,1176,0.5,0.5,0.5,0,49
