gene,method,n_nodes,n_edges,degree_min,degree_median,degree_max,components,n_variants_gene,n_methods,accuracy,node_ci_lo,node_ci_hi,gap_model_minus_measurement,gap_node_ci_lo,gap_node_ci_hi,bootstrap_B,base_seed,effective_seed,invalid_draws_redrawn
GATA1,split-half measurement,131,425,1,2.0000000000,94,1,254,25,0.9882352941,0.9720149254,0.9982993197,0.0000000000,0.0000000000,0.0000000000,1000000,20260910,20260912,0
GATA1,Biolord,131,425,1,2.0000000000,94,1,254,25,0.5745588235,0.4134016953,0.7187002271,-0.4136764706,-0.5797970784,-0.2618701371,1000000,20260910,20260912,0
GATA1,CellFlow,131,425,1,2.0000000000,94,1,254,25,0.5317647059,0.3144367440,0.7623762376,-0.4564705882,-0.6802861294,-0.2162732989,1000000,20260910,20260912,0
GATA1,GBoost-esm,131,425,1,2.0000000000,94,1,254,25,0.6500735294,0.4688415770,0.7685720753,-0.3381617647,-0.5200322690,-0.2221209689,1000000,20260910,20260912,0
GATA1,GBoost-esm+theta,131,425,1,2.0000000000,94,1,254,25,0.6613235294,0.4911804974,0.7682800891,-0.3269117647,-0.4979166667,-0.2219487980,1000000,20260910,20260912,0
GATA1,GBoost-theta,131,425,1,2.0000000000,94,1,254,25,0.5901960784,0.3681707806,0.7849680433,-0.3980392157,-0.6089461919,-0.2091887990,1000000,20260910,20260912,0
GATA1,Gene-mean,131,425,1,2.0000000000,94,1,254,25,0.5000000000,0.5000000000,0.5000000000,-0.4882352941,-0.4982993197,-0.4720149254,1000000,20260910,20260912,0
GATA1,KNN-esm,131,425,1,2.0000000000,94,1,254,25,0.5413970588,0.2880545789,0.7590707578,-0.4468382353,-0.6904381127,-0.2367547213,1000000,20260910,20260912,0
GATA1,KNN-esm+theta,131,425,1,2.0000000000,94,1,254,25,0.5603921569,0.3951004841,0.7174702942,-0.4278431373,-0.5827812442,-0.2768921970,1000000,20260910,20260912,0
GATA1,KNN-theta,131,425,1,2.0000000000,94,1,254,25,0.5051715686,0.3391962811,0.6798143143,-0.4830637255,-0.6397812239,-0.3131087604,1000000,20260910,20260912,0
GATA1,Lasso-esm,131,425,1,2.0000000000,94,1,254,25,0.5000000000,0.5000000000,0.5000000000,-0.4882352941,-0.4982993197,-0.4720149254,1000000,20260910,20260912,0
GATA1,Lasso-esm+theta,131,425,1,2.0000000000,94,1,254,25,0.4577696078,0.3402139658,0.6069940645,-0.5304656863,-0.6526729853,-0.3805868839,1000000,20260910,20260912,0
GATA1,Lasso-theta,131,425,1,2.0000000000,94,1,254,25,0.4577696078,0.3402139658,0.6069940645,-0.5304656863,-0.6526729853,-0.3805868839,1000000,20260910,20260912,0
GATA1,MLP-esm,131,425,1,2.0000000000,94,1,254,25,0.4950000000,0.3719736655,0.5817426639,-0.4932352941,-0.6202869367,-0.4032246713,1000000,20260910,20260912,0
GATA1,MLP-esm+theta,131,425,1,2.0000000000,94,1,254,25,0.6004411765,0.4496991668,0.7317462999,-0.3877941176,-0.5323465541,-0.2622885893,1000000,20260910,20260912,0
GATA1,MLP-theta,131,425,1,2.0000000000,94,1,254,25,0.6881372549,0.5025647775,0.8138063933,-0.3000980392,-0.4878381461,-0.1748046875,1000000,20260910,20260912,0
GATA1,PerturbNet,131,425,1,2.0000000000,94,1,254,25,0.5834068627,0.3737979803,0.7174322287,-0.4048284314,-0.6174799779,-0.2701566267,1000000,20260910,20260912,0
GATA1,RF-esm,131,425,1,2.0000000000,94,1,254,25,0.6542156863,0.4597581782,0.8238242886,-0.3340196078,-0.5209484668,-0.1714623696,1000000,20260910,20260912,0
GATA1,RF-esm+theta,131,425,1,2.0000000000,94,1,254,25,0.6474264706,0.4693478224,0.7989187939,-0.3408088235,-0.5117187500,-0.1962962963,1000000,20260910,20260912,0
GATA1,RF-theta,131,425,1,2.0000000000,94,1,254,25,0.5174019608,0.3175939947,0.7279846384,-0.4708333333,-0.6602930265,-0.2650026596,1000000,20260910,20260912,0
GATA1,Ridge-esm,131,425,1,2.0000000000,94,1,254,25,0.7797794118,0.6031708772,0.9007949218,-0.2084558824,-0.3823615016,-0.0934236740,1000000,20260910,20260912,0
GATA1,Ridge-esm+theta,131,425,1,2.0000000000,94,1,254,25,0.5985294118,0.4725059805,0.7589922087,-0.3897058824,-0.5162693586,-0.2307571829,1000000,20260910,20260912,0
GATA1,Ridge-theta,131,425,1,2.0000000000,94,1,254,25,0.5144362745,0.3756333926,0.6930555556,-0.4737990196,-0.6153156039,-0.2955315671,1000000,20260910,20260912,0
GATA1,WT-null,131,425,1,2.0000000000,94,1,254,25,0.5000000000,0.5000000000,0.5000000000,-0.4882352941,-0.4982993197,-0.4720149254,1000000,20260910,20260912,0
GATA1,scGen,131,425,1,2.0000000000,94,1,254,25,0.6445098039,0.4438320597,0.8081172047,-0.3437254902,-0.5418526786,-0.1857930652,1000000,20260910,20260912,0
GATA1,scVIDR,131,425,1,2.0000000000,94,1,254,25,0.8296078431,0.6340053479,0.9373295609,-0.1586274510,-0.3559966429,-0.0501687915,1000000,20260910,20260912,0
JAK1,split-half measurement,21,116,4,11.0000000000,20,1,26,24,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000,20260910,20260913,0
JAK1,Biolord,21,116,4,11.0000000000,20,1,26,24,0.7622126437,0.5940419885,0.8826926370,-0.2377873563,-0.4059580115,-0.1173073630,1000000,20260910,20260913,0
JAK1,CellFlow,21,116,4,11.0000000000,20,1,26,24,0.5360991379,0.3721264368,0.6914062500,-0.4639008621,-0.6278735632,-0.3085937500,1000000,20260910,20260913,0
JAK1,GBoost-esm,21,116,4,11.0000000000,20,1,26,24,0.4671336207,0.2787988475,0.6415441176,-0.5328663793,-0.7212011525,-0.3584558824,1000000,20260910,20260913,0
JAK1,GBoost-esm+theta,21,116,4,11.0000000000,20,1,26,24,0.5414870690,0.3462783172,0.7139275411,-0.4585129310,-0.6537216828,-0.2860724589,1000000,20260910,20260913,0
JAK1,GBoost-theta,21,116,4,11.0000000000,20,1,26,24,0.5948275862,0.4216772152,0.7404513889,-0.4051724138,-0.5783227848,-0.2595486111,1000000,20260910,20260913,0
JAK1,Gene-mean,21,116,4,11.0000000000,20,1,26,24,0.5000000000,0.5000000000,0.5000000000,-0.5000000000,-0.5000000000,-0.5000000000,1000000,20260910,20260913,0
JAK1,KNN-esm,21,116,4,11.0000000000,20,1,26,24,0.5563936782,0.4225000000,0.6669897272,-0.4436063218,-0.5775000000,-0.3330102728,1000000,20260910,20260913,0
