gene,depth_m,n_var,ceiling_pds,pds_a0,pds_a1,P_correct_order,P_winner,mean_tau
TP53,25,98,0.492,0.5,0.492,0.037,0.15,-0.586
TP53,50,98,0.498,0.5,0.498,0.095,0.369,-0.091
KRAS,25,97,0.507,0.5,0.507,0.47,0.66,0.656
KRAS,50,97,0.502,0.5,0.502,0.174,0.206,0.153
KRAS,100,97,0.498,0.5,0.498,0.21,0.333,-0.178
KRAS,150,96,0.485,0.5,0.485,0.041,0.08,-0.785
GATA1,25,254,0.517,0.5,0.517,0.872,0.889,0.947
GATA1,50,247,0.522,0.5,0.522,0.989,0.999,0.997
GATA1,100,209,0.538,0.5,0.538,0.997,0.998,1.0
GATA1,150,157,0.549,0.5,0.549,1.0,1.0,1.0
GATA1,250,73,0.531,0.5,0.531,0.796,0.88,0.899
JAK1,25,20,0.792,0.5,0.792,1.0,1.0,1.0
JAK1,50,14,0.822,0.5,0.822,1.0,1.0,1.0
JAK1,100,9,0.9,0.5,0.9,0.999,0.999,1.0
JAK1,150,6,0.963,0.5,0.963,0.921,0.922,0.989
