method,standardization,PDS,ci_lo,ci_hi,crosses,n_variants,PDS_cell,cell_lo,cell_hi,cell_crosses,n_cells,n_refused
PerturbNet,train-only,0.5301,0.5037,0.5547,False,303,0.5423,0.515,0.5714,False,16,0
WT-null,train-only,0.5,0.5,0.5,True,308,0.5,0.5,0.5,True,17,0
CellFlow,train-only,0.493,0.4665,0.5203,True,303,0.5101,0.484,0.5368,True,16,0
KNN-esm+theta,train-only,0.4892,0.4609,0.5167,True,305,0.5031,0.4753,0.5301,True,17,0
KNN-esm,train-only,0.4889,0.4623,0.5151,True,305,0.497,0.4718,0.5218,True,17,0
scVIDR,train-only,0.4856,0.4605,0.5109,True,308,0.5035,0.4792,0.5293,True,17,26
GBoost-theta,train-only,0.4855,0.4584,0.5099,True,308,0.4827,0.4558,0.5074,True,17,0
GBoost-esm,train-only,0.4854,0.4596,0.5115,True,305,0.5001,0.4755,0.5258,True,17,0
GBoost-esm+theta,train-only,0.4839,0.4577,0.5103,True,305,0.501,0.4762,0.5266,True,17,0
Ridge-esm,train-only,0.4818,0.454,0.5079,True,305,0.4961,0.4705,0.5218,True,17,0
Ridge-esm+theta,train-only,0.4816,0.4537,0.5078,True,305,0.4855,0.4584,0.5105,True,17,0
MLP-esm,train-only,0.4812,0.4535,0.5076,True,305,0.4945,0.4682,0.521,True,17,0
Lasso-esm,train-only,0.481,0.4529,0.5074,True,305,0.4959,0.4701,0.5221,True,17,0
RF-esm,train-only,0.4801,0.4526,0.506,True,305,0.4981,0.4722,0.5241,True,17,0
MLP-esm+theta,train-only,0.4798,0.4523,0.5059,True,305,0.4886,0.4615,0.5143,True,17,0
MLP-theta,train-only,0.4793,0.4516,0.5049,True,308,0.4834,0.4567,0.5087,True,17,0
Lasso-esm+theta,train-only,0.4792,0.4512,0.5051,True,305,0.4911,0.4641,0.5167,True,17,0
RF-theta,train-only,0.4791,0.4526,0.5041,True,308,0.4872,0.46,0.5125,True,17,0
Ridge-theta,train-only,0.4788,0.4518,0.5046,True,308,0.479,0.4524,0.5052,True,17,0
RF-esm+theta,train-only,0.4788,0.4511,0.505,True,305,0.4955,0.4697,0.521,True,17,0
Biolord,train-only,0.4787,0.4531,0.5053,True,308,0.4933,0.4622,0.521,True,17,0
Gene-mean,train-only,0.4778,0.4504,0.504,True,308,0.4884,0.462,0.5136,True,17,0
Lasso-theta,train-only,0.4761,0.4489,0.5026,True,308,0.4821,0.4559,0.5074,True,17,0
scGen,train-only,0.4739,0.4488,0.5004,True,308,0.4855,0.4534,0.5168,True,17,0
KNN-theta,train-only,0.4711,0.4442,0.4967,False,308,0.4831,0.4559,0.5099,True,17,0
