subset,scope,n_variants,heads_mean,heads_min,heads_max,best_head,pooled_mean,pooled_lo,pooled_hi,crosses_chance
all_conditions,ALL,308,0.4811,0.4711,0.4892,KNN-esm+theta,0.4789,0.4527,0.5034,True
all_conditions,GATA1,172,0.4981,0.484,0.5092,KNN-esm+theta,0.4981,0.4609,0.5381,True
all_conditions,JAK1,26,0.4227,0.3796,0.4477,MLP-esm,0.3997,0.3117,0.4803,False
all_conditions,KRAS,51,0.487,0.4796,0.505,KNN-esm+theta,0.487,0.4366,0.5384,True
all_conditions,TP53,59,0.4509,0.4347,0.4791,GBoost-esm,0.4509,0.401,0.5042,True
missense_only,ALL,240,0.4823,0.4715,0.4916,KNN-esm+theta,0.4823,0.4521,0.5137,True
missense_only,GATA1,133,0.4959,0.4763,0.5085,KNN-esm+theta,0.4959,0.4523,0.5383,True
missense_only,JAK1,11,0.4317,0.4003,0.4523,KNN-esm+theta,0.4317,0.3004,0.562,True
missense_only,KRAS,42,0.502,0.4946,0.5255,KNN-esm+theta,0.502,0.444,0.5592,True
missense_only,TP53,54,0.4436,0.4259,0.4726,GBoost-esm,0.4436,0.3902,0.4976,False
single_site_only,ALL,262,0.4796,0.4667,0.4884,KNN-esm+theta,0.4769,0.4502,0.5051,True
single_site_only,GATA1,133,0.4959,0.4763,0.5085,KNN-esm+theta,0.4959,0.4523,0.5383,True
single_site_only,JAK1,19,0.4311,0.3761,0.4577,MLP-esm,0.3981,0.3034,0.4954,False
single_site_only,KRAS,51,0.487,0.4796,0.505,KNN-esm+theta,0.487,0.4366,0.5384,True
single_site_only,TP53,59,0.4509,0.4347,0.4791,GBoost-esm,0.4509,0.401,0.5042,True
excluding_synonymous,ALL,292,0.4833,0.4752,0.4915,KNN-esm+theta,0.4829,0.4557,0.5107,True
excluding_synonymous,GATA1,172,0.4981,0.484,0.5092,KNN-esm+theta,0.4981,0.4609,0.5381,True
excluding_synonymous,JAK1,24,0.4326,0.4038,0.4528,GBoost-theta,0.4294,0.354,0.5068,True
excluding_synonymous,KRAS,42,0.502,0.4946,0.5255,KNN-esm+theta,0.502,0.444,0.5592,True
excluding_synonymous,TP53,54,0.4436,0.4259,0.4726,GBoost-esm,0.4436,0.3902,0.4976,False
