method,k,n_queries,hit_rate,ci_lo,ci_hi,null_rate,paired_diff,paired_lo,paired_hi,above_null,below_null,hit_rate_zero_as_failure,zero_ci_lo,zero_ci_hi,n_scored_rows,n_nonfinite_rows
Biolord,1,308,0.003968,0.000866,0.008333,0.009200,-0.005232,-0.008474,-0.000917,False,True,0.003968,0.000866,0.008333,7770,0
Biolord,3,308,0.017623,0.009379,0.027309,0.027600,-0.009977,-0.018124,-0.000672,False,True,0.017623,0.009379,0.027309,7770,0
Biolord,5,308,0.037067,0.024404,0.051137,0.045999,-0.008932,-0.020850,0.004484,False,False,0.037067,0.024404,0.051137,7770,0
Biolord,10,308,0.077471,0.056527,0.098539,0.091999,-0.014527,-0.033452,0.005085,False,False,0.077471,0.056527,0.098539,7770,0
CellFlow,1,303,0.010249,0.003447,0.018739,0.008717,0.001532,-0.005299,0.009869,False,False,0.010249,0.003447,0.018739,7380,0
CellFlow,3,303,0.025449,0.015145,0.037514,0.026151,-0.000702,-0.011291,0.010539,False,False,0.025449,0.015145,0.037514,7380,0
CellFlow,5,303,0.047506,0.031078,0.065330,0.043585,0.003921,-0.012041,0.021396,False,False,0.047506,0.031078,0.065330,7380,0
CellFlow,10,303,0.093693,0.070349,0.118560,0.087170,0.006523,-0.016252,0.029089,False,False,0.093693,0.070349,0.118560,7380,0
GBoost-esm,1,305,0.002240,0.000219,0.005464,0.008912,-0.006672,-0.009154,-0.003335,False,True,0.002240,0.000219,0.005464,7665,0
GBoost-esm,3,305,0.011461,0.004557,0.020605,0.026736,-0.015275,-0.022753,-0.006383,False,True,0.011461,0.004557,0.020605,7665,0
GBoost-esm,5,305,0.024087,0.012859,0.037979,0.044560,-0.020473,-0.032462,-0.007082,False,True,0.024087,0.012859,0.037979,7665,0
GBoost-esm,10,305,0.065545,0.045934,0.086736,0.089120,-0.023576,-0.042722,-0.003415,False,True,0.065545,0.045934,0.086736,7665,0
GBoost-esm+theta,1,305,0.002240,0.000164,0.005738,0.008912,-0.006672,-0.009203,-0.003056,False,True,0.002240,0.000164,0.005738,7665,0
GBoost-esm+theta,3,305,0.012587,0.005281,0.022131,0.026736,-0.014150,-0.021949,-0.004752,False,True,0.012587,0.005281,0.022131,7665,0
GBoost-esm+theta,5,305,0.024761,0.013260,0.038443,0.044560,-0.019799,-0.031969,-0.006119,False,True,0.024761,0.013260,0.038443,7665,0
GBoost-esm+theta,10,305,0.064725,0.045032,0.085735,0.089120,-0.024395,-0.043905,-0.004692,False,True,0.064725,0.045032,0.085735,7665,0
GBoost-theta,1,308,0.001861,0.000216,0.004675,0.009200,-0.007338,-0.009399,-0.004263,False,True,0.001861,0.000216,0.004675,7770,0
GBoost-theta,3,308,0.010321,0.004328,0.018506,0.027600,-0.017278,-0.024254,-0.008335,False,True,0.010321,0.004328,0.018506,7770,0
GBoost-theta,5,308,0.028611,0.016630,0.043190,0.045999,-0.017388,-0.029138,-0.002894,False,True,0.028611,0.016630,0.043190,7770,0
GBoost-theta,10,308,0.068759,0.049204,0.090928,0.091999,-0.023239,-0.041410,-0.001887,False,True,0.068759,0.049204,0.090928,7770,0
Gene-mean,1,308,0.004762,0.001840,0.009091,0.009200,-0.004438,-0.007475,0.000006,False,False,0.004762,0.001840,0.009091,7770,0
Gene-mean,3,308,0.017381,0.009416,0.027578,0.027600,-0.010219,-0.018279,0.000257,False,False,0.017381,0.009416,0.027578,7770,0
Gene-mean,5,308,0.030170,0.018393,0.045123,0.045999,-0.015830,-0.027656,-0.001181,False,True,0.030170,0.018393,0.045123,7770,0
Gene-mean,10,308,0.075823,0.056092,0.099010,0.091999,-0.016176,-0.034951,0.006598,False,False,0.075823,0.056092,0.099010,7770,0
KNN-esm,1,305,0.003716,0.000656,0.008306,0.008912,-0.005196,-0.008641,-0.000634,False,True,0.003716,0.000656,0.008306,7665,0
KNN-esm,3,305,0.012273,0.005060,0.021203,0.026736,-0.014463,-0.022137,-0.005101,False,True,0.012273,0.005060,0.021203,7665,0
KNN-esm,5,305,0.024922,0.014010,0.038201,0.044560,-0.019638,-0.030912,-0.006235,False,True,0.024922,0.014010,0.038201,7665,0
KNN-esm,10,305,0.072208,0.053825,0.093961,0.089120,-0.016913,-0.035110,0.003053,False,False,0.072208,0.053825,0.093961,7665,0
KNN-esm+theta,1,305,0.002995,0.000262,0.007301,0.008912,-0.005917,-0.008990,-0.001475,False,True,0.002995,0.000262,0.007301,7665,0
KNN-esm+theta,3,305,0.014120,0.006470,0.024090,0.026736,-0.012616,-0.020224,-0.002509,False,True,0.014120,0.006470,0.024090,7665,0
KNN-esm+theta,5,305,0.033556,0.020690,0.049251,0.044560,-0.011005,-0.024400,0.003743,False,False,0.033556,0.020690,0.049251,7665,0
KNN-esm+theta,10,305,0.073989,0.055609,0.094616,0.089120,-0.015131,-0.033065,0.004034,False,False,0.073989,0.055609,0.094616,7665,0
KNN-theta,1,308,0.003074,0.000216,0.008662,0.009200,-0.006126,-0.009450,-0.000039,False,True,0.003074,0.000216,0.008662,7770,0
KNN-theta,3,308,0.011061,0.004004,0.020662,0.027600,-0.016539,-0.024072,-0.006898,False,True,0.011061,0.004004,0.020662,7770,0
KNN-theta,5,308,0.028124,0.015655,0.043284,0.045999,-0.017875,-0.029869,-0.003062,False,True,0.028124,0.015655,0.043284,7770,0
KNN-theta,10,308,0.067478,0.049763,0.088295,0.091999,-0.024520,-0.041273,-0.004909,False,True,0.067478,0.049763,0.088295,7770,0
Lasso-esm,1,305,0.005902,0.002074,0.011260,0.008912,-0.003010,-0.007032,0.002440,False,False,0.005902,0.002074,0.011260,7665,0
Lasso-esm,3,305,0.016678,0.008743,0.026448,0.026736,-0.010058,-0.018242,-0.000263,False,True,0.016678,0.008743,0.026448,7665,0
Lasso-esm,5,305,0.028827,0.016659,0.042927,0.044560,-0.015733,-0.028048,-0.001850,False,True,0.028827,0.016659,0.042927,7665,0
Lasso-esm,10,305,0.075548,0.056364,0.096150,0.089120,-0.013572,-0.032536,0.005937,False,False,0.075548,0.056364,0.096150,7665,0
Lasso-esm+theta,1,305,0.005428,0.001530,0.010820,0.008912,-0.003484,-0.007395,0.001751,False,False,0.005428,0.001530,0.010820,7665,0
Lasso-esm+theta,3,305,0.016295,0.008305,0.026099,0.026736,-0.010441,-0.018773,-0.000841,False,True,0.016295,0.008305,0.026099,7665,0
Lasso-esm+theta,5,305,0.030856,0.018468,0.044883,0.044560,-0.013704,-0.026120,-0.000092,False,True,0.030856,0.018468,0.044883,7665,0
Lasso-esm+theta,10,305,0.073552,0.053532,0.094118,0.089120,-0.015568,-0.035033,0.004155,False,False,0.073552,0.053532,0.094118,7665,0
Lasso-theta,1,308,0.005375,0.001587,0.010786,0.009200,-0.003825,-0.007747,0.001650,False,False,0.005375,0.001587,0.010786,7770,0
Lasso-theta,3,308,0.017002,0.009156,0.027273,0.027600,-0.010597,-0.018591,-0.000461,False,True,0.017002,0.009156,0.027273,7770,0
Lasso-theta,5,308,0.030880,0.018611,0.045960,0.045999,-0.015119,-0.027121,-0.000088,False,True,0.030880,0.018611,0.045960,7770,0
Lasso-theta,10,308,0.069264,0.050755,0.091059,0.091999,-0.022734,-0.041191,-0.000115,False,True,0.069264,0.050755,0.091059,7770,0
MLP-esm,1,305,0.005792,0.001639,0.011041,0.008912,-0.003120,-0.007183,0.002155,False,False,0.005792,0.001639,0.011041,7665,0
MLP-esm,3,305,0.018514,0.009115,0.030273,0.026736,-0.008222,-0.017802,0.003341,False,False,0.018514,0.009115,0.030273,7665,0
MLP-esm,5,305,0.030758,0.018074,0.045075,0.044560,-0.013802,-0.027126,0.000258,False,False,0.030758,0.018074,0.045075,7665,0
MLP-esm,10,305,0.074663,0.055244,0.095998,0.089120,-0.014457,-0.033470,0.005252,False,False,0.074663,0.055244,0.095998,7665,0
MLP-esm+theta,1,305,0.004590,0.001530,0.008306,0.008912,-0.004322,-0.007497,-0.000350,False,True,0.004590,0.001530,0.008306,7665,0
MLP-esm+theta,3,305,0.015515,0.008049,0.025061,0.026736,-0.011221,-0.019347,-0.001289,False,True,0.015515,0.008049,0.025061,7665,0
