gene,depth_m,n_var,eta2,delta2,rho,ceiling_pds
TP53,25,98,74.59,0.0,0.0,0.499
TP53,50,98,36.91,0.0,0.0,0.499
KRAS,25,97,74.77,0.0,0.0,0.502
KRAS,50,97,38.25,0.0,0.0,0.502
KRAS,100,97,19.21,0.0,0.0,0.498
KRAS,150,96,12.45,0.0,0.0,0.494
GATA1,25,254,201.94,0.0,0.0,0.516
GATA1,50,247,102.03,0.0,0.0,0.528
GATA1,100,209,49.86,0.0,0.0,0.539
GATA1,150,157,33.13,0.0,0.0,0.552
GATA1,250,73,20.34,0.0,0.0,0.534
GATA1,400,26,13.39,0.0,0.0,0.556
JAK1,25,20,151.46,0.0,0.0,0.796
JAK1,50,14,75.65,23.99,0.398,0.827
JAK1,100,9,37.99,47.57,0.791,0.892
JAK1,150,6,25.33,89.09,1.326,0.975
