gene,depth_m,cohort,n_var,eta2,eta2_wt_excluded,wt_cells_per_ref,wt_ref_full_depth,perm_splits,delta2,delta2_lo,delta2_hi,delta2_sd_over_splits,rho2,rho2_lo,rho2_hi,perm_p,null_delta2_mean,ceiling_pds
TP53,25,eligible,98,37.607,36.896,25,True,5,-0.051,-0.403,0.339,0.475,-0.0007,-0.0054,0.0045,0.5812,0.001,0.499
TP53,50,eligible,98,18.867,18.097,50,True,5,-0.034,-0.231,0.156,0.221,-0.0009,-0.0061,0.0041,0.6302,-0.0,0.499
TP53,100,eligible,68,9.392,10.111,89,False,5,-0.05,-0.162,0.069,0.165,-0.0026,-0.0086,0.0036,0.7856,0.001,0.497
TP53,150,eligible,35,6.292,10.111,89,False,5,-0.06,-0.164,0.036,0.126,-0.0048,-0.013,0.0029,0.8396,-0.001,0.473
TP53,25,fixed,35,37.66,36.896,25,True,5,-0.078,-0.662,0.527,0.684,-0.001,-0.0088,0.007,0.5837,-0.005,0.495
TP53,50,fixed,35,18.907,18.097,50,True,5,-0.128,-0.429,0.188,0.421,-0.0034,-0.0113,0.005,0.7746,0.005,0.502
TP53,100,fixed,35,9.387,10.111,89,False,5,-0.06,-0.203,0.082,0.16,-0.0032,-0.0108,0.0044,0.7616,-0.001,0.49
TP53,150,fixed,35,6.292,10.111,89,False,5,-0.06,-0.164,0.036,0.126,-0.0048,-0.013,0.0029,0.8396,-0.001,0.473
KRAS,25,eligible,92,37.574,37.25,25,True,5,-0.095,-0.4,0.21,0.379,-0.0013,-0.0053,0.0028,0.6862,-0.0,0.495
KRAS,50,eligible,92,18.779,19.542,50,True,5,-0.066,-0.247,0.108,0.203,-0.0017,-0.0066,0.0029,0.7571,0.002,0.497
KRAS,100,eligible,84,9.391,9.819,100,True,5,-0.022,-0.138,0.096,0.16,-0.0011,-0.0073,0.0051,0.6382,-0.001,0.498
KRAS,150,eligible,49,6.255,6.201,150,True,5,0.055,-0.043,0.15,0.092,0.0044,-0.0034,0.012,0.1354,-0.002,0.51
KRAS,25,fixed,49,37.729,37.25,25,True,5,-0.272,-0.701,0.191,0.614,-0.0036,-0.0093,0.0025,0.8191,-0.012,0.498
KRAS,50,fixed,49,18.764,19.542,50,True,5,0.088,-0.144,0.334,0.315,0.0024,-0.0038,0.0089,0.2684,-0.002,0.507
KRAS,100,fixed,49,9.441,9.819,100,True,5,-0.037,-0.153,0.081,0.134,-0.002,-0.0081,0.0043,0.6947,-0.001,0.506
KRAS,150,fixed,49,6.255,6.201,150,True,5,0.055,-0.043,0.15,0.092,0.0044,-0.0034,0.012,0.1354,-0.002,0.51
GATA1,25,eligible,247,98.176,103.899,25,True,5,2.373,0.561,4.17,1.909,0.0121,0.0029,0.0212,0.0085,0.021,0.512
GATA1,50,eligible,209,49.307,52.977,50,True,5,2.153,0.766,3.67,0.967,0.0218,0.0078,0.0372,0.0005,0.006,0.524
GATA1,100,eligible,107,24.822,25.184,100,True,5,0.605,-0.226,1.486,0.916,0.0122,-0.0046,0.0299,0.0725,0.001,0.52
GATA1,150,eligible,57,16.462,16.44,150,True,5,0.778,-0.056,1.736,0.699,0.0236,-0.0017,0.0527,0.0205,0.008,0.521
GATA1,250,eligible,15,9.67,10.282,250,True,5,0.865,0.128,1.7,0.91,0.0447,0.0066,0.0879,0.0345,0.006,0.54
GATA1,25,fixed,15,100.834,103.899,25,True,5,-1.915,-8.072,4.076,5.608,-0.0095,-0.04,0.0202,0.6692,-0.09,0.509
GATA1,50,fixed,15,49.989,52.977,50,True,5,-0.164,-3.18,2.651,3.779,-0.0016,-0.0318,0.0265,0.5367,0.007,0.496
GATA1,100,fixed,15,24.796,25.184,100,True,5,0.643,-0.922,2.258,2.048,0.013,-0.0186,0.0455,0.2169,0.005,0.529
GATA1,150,fixed,15,16.358,16.44,150,True,5,0.886,-0.296,2.01,1.335,0.0271,-0.0091,0.0614,0.1004,0.007,0.53
GATA1,250,fixed,15,9.67,10.282,250,True,5,0.865,0.128,1.7,0.91,0.0447,0.0066,0.0879,0.0345,0.006,0.54
JAK1,25,eligible,14,78.105,72.44,25,True,5,97.183,56.173,126.186,3.07,0.6221,0.3596,0.8078,0.0005,0.178,0.78
JAK1,50,eligible,9,39.917,36.346,50,True,5,83.626,8.442,140.473,2.432,1.0475,0.1057,1.7596,0.0005,-0.177,0.821
JAK1,100,eligible,5,19.741,18.12,100,True,5,128.768,4.291,205.959,2.271,3.2615,0.1087,5.2166,0.0015,1.711,0.97
JAK1,25,fixed,5,78.902,72.44,25,True,5,130.008,3.641,211.827,4.22,0.8239,0.0231,1.3423,0.0005,1.572,0.882
JAK1,50,fixed,5,39.136,36.346,50,True,5,127.53,4.021,203.878,2.57,1.6293,0.0514,2.6048,0.0015,1.618,0.9
JAK1,100,fixed,5,19.741,18.12,100,True,5,128.768,4.291,205.959,2.271,3.2615,0.1087,5.2166,0.0015,1.711,0.97
