method,standardization,PDS,ci_lo,ci_hi,crosses,n_variants,PDS_cell,cell_lo,cell_hi,cell_crosses,n_cells
KNN-esm+theta,all-cell,0.5036,0.478,0.5293,True,305,0.5168,0.49,0.5426,True,17
WT-null,all-cell,0.5,0.5,0.5,True,308,0.5,0.5,0.5,True,17
GBoost-theta,all-cell,0.4991,0.4734,0.5233,True,308,0.5027,0.4783,0.5269,True,17
KNN-theta,all-cell,0.4961,0.4704,0.521,True,308,0.5034,0.4774,0.5288,True,17
GBoost-esm+theta,all-cell,0.4912,0.4653,0.5162,True,305,0.5113,0.4885,0.5335,True,17
Ridge-esm+theta,all-cell,0.4912,0.4649,0.5151,True,305,0.4942,0.4682,0.5188,True,17
GBoost-esm,all-cell,0.4895,0.4632,0.515,True,305,0.5025,0.4774,0.5275,True,17
KNN-esm,all-cell,0.4892,0.4624,0.5154,True,305,0.498,0.4733,0.5228,True,17
RF-theta,all-cell,0.4884,0.4626,0.5137,True,308,0.4984,0.4723,0.5228,True,17
Lasso-theta,all-cell,0.4882,0.4606,0.514,True,308,0.5082,0.4839,0.5319,True,17
Ridge-theta,all-cell,0.4876,0.4616,0.5112,True,308,0.487,0.4619,0.5113,True,17
MLP-theta,all-cell,0.4835,0.4551,0.5087,True,308,0.4952,0.469,0.5199,True,17
Ridge-esm,all-cell,0.4824,0.4549,0.5085,True,305,0.4971,0.4715,0.5228,True,17
RF-esm+theta,all-cell,0.4819,0.4544,0.5082,True,305,0.4991,0.4734,0.5249,True,17
Lasso-esm,all-cell,0.4813,0.4538,0.5075,True,305,0.4967,0.4709,0.5226,True,17
MLP-esm,all-cell,0.4811,0.4537,0.5076,True,305,0.4945,0.4682,0.5204,True,17
MLP-esm+theta,all-cell,0.4811,0.4534,0.5073,True,305,0.4934,0.4672,0.5194,True,17
Lasso-esm+theta,all-cell,0.4806,0.4522,0.5068,True,305,0.4946,0.4689,0.5197,True,17
RF-esm,all-cell,0.4804,0.453,0.5063,True,305,0.4979,0.4722,0.5235,True,17
Gene-mean,all-cell,0.4781,0.4508,0.5042,True,308,0.4888,0.4628,0.5138,True,17
