metric,method,all_cell,train_only,delta
PDS_cos,GBoost-esm,0.4849,0.4591,-0.0258
PDS_cos,GBoost-esm+theta,0.4911,0.4585,-0.0325
PDS_cos,GBoost-theta,0.4619,0.4646,0.0027
PDS_cos,Gene-mean,0.4458,0.4345,-0.0113
PDS_cos,KNN-esm,0.4883,0.4643,-0.024
PDS_cos,KNN-esm+theta,0.4911,0.4838,-0.0073
PDS_cos,KNN-theta,0.4749,0.4664,-0.0084
PDS_cos,Lasso-esm,0.456,0.4435,-0.0126
PDS_cos,Lasso-esm+theta,0.4545,0.4475,-0.0069
PDS_cos,Lasso-theta,0.4745,0.4609,-0.0136
PDS_cos,MLP-esm,0.452,0.4446,-0.0074
PDS_cos,MLP-esm+theta,0.4571,0.4501,-0.007
PDS_cos,MLP-theta,0.4591,0.4437,-0.0155
PDS_cos,RF-esm,0.4596,0.4503,-0.0093
PDS_cos,RF-esm+theta,0.4619,0.4519,-0.01
PDS_cos,RF-theta,0.448,0.4445,-0.0035
PDS_cos,Ridge-esm,0.4614,0.4493,-0.0121
PDS_cos,Ridge-esm+theta,0.4639,0.4528,-0.0111
PDS_cos,Ridge-theta,0.4542,0.4393,-0.0149
PDS_cos,WT-null,0.5,0.5,0.0
pearson_delta,GBoost-esm,0.6232,0.6066,-0.0167
pearson_delta,GBoost-esm+theta,0.6316,0.6019,-0.0297
pearson_delta,GBoost-theta,0.6208,0.6092,-0.0116
pearson_delta,Gene-mean,0.6679,0.656,-0.0118
pearson_delta,KNN-esm,0.6082,0.5922,-0.016
pearson_delta,KNN-esm+theta,0.6214,0.6042,-0.0172
pearson_delta,KNN-theta,0.6034,0.5884,-0.0151
pearson_delta,Lasso-esm,0.6796,0.668,-0.0117
pearson_delta,Lasso-esm+theta,0.6551,0.6454,-0.0097
pearson_delta,Lasso-theta,0.6693,0.6584,-0.0109
pearson_delta,MLP-esm,0.667,0.6554,-0.0116
pearson_delta,MLP-esm+theta,0.6604,0.6476,-0.0129
pearson_delta,MLP-theta,0.6418,0.6296,-0.0122
pearson_delta,RF-esm,0.6717,0.6609,-0.0108
pearson_delta,RF-esm+theta,0.6715,0.6586,-0.0129
pearson_delta,RF-theta,0.6596,0.6456,-0.0139
pearson_delta,Ridge-esm,0.6745,0.6633,-0.0112
pearson_delta,Ridge-esm+theta,0.6361,0.6218,-0.0144
pearson_delta,Ridge-theta,0.6479,0.6335,-0.0144
pearson_delta,WT-null,0.0,0.0,0.0
