gene,metric,ratio,med_Dself,med_Dnull
TP53,energy,1.029,0.768,0.746
TP53,mmd,1.011,0.158,0.157
TP53,slicedW,1.018,0.5,0.491
TP53,cosine,1.02,1.015,0.996
TP53,L2,1.031,2.798,2.715
KRAS,energy,0.954,0.753,0.79
KRAS,mmd,0.973,0.16,0.164
KRAS,slicedW,0.972,0.492,0.506
KRAS,cosine,0.989,1.007,1.019
KRAS,L2,0.965,2.748,2.847
GATA1,energy,1.009,1.326,1.315
GATA1,mmd,0.979,0.148,0.151
GATA1,slicedW,1.027,0.986,0.961
GATA1,cosine,0.9,0.897,0.997
GATA1,L2,1.035,5.45,5.263
JAK1,energy,0.124,0.773,6.251
JAK1,mmd,0.32,0.146,0.457
JAK1,slicedW,0.395,0.508,1.287
JAK1,cosine,0.05,0.079,1.596
JAK1,L2,0.257,2.801,10.909
