gene,setting,n_heldout,n_candidates,observed_diag,restricted_exact_null
GATA1,split1,52,254,0.5461082395865005,0.5083153538212067
GATA1,split2,127,254,0.5456246822902081,0.5094111287036803
GATA1,split3,32,254,0.5433876811594203,0.5239508708003953
GATA1,split5,45,254,0.4456741326306544,0.5016665202752159
GATA1,split6,52,254,0.5461082395865005,0.5083153538212067
JAK1,split1,7,26,0.6491428571428571,0.5408979591836734
JAK1,split2,12,26,0.5857777777777777,0.5845555555555555
JAK1,split5,14,26,0.4297142857142857,0.44194557823129255
KRAS,split1,8,92,0.5567765567765568,0.5591689560439561
KRAS,split2,41,92,0.5359242383632628,0.5188050894178199
KRAS,split3,10,92,0.5482051282051281,0.5491941391941392
KRAS,split6,8,92,0.5567765567765568,0.5591689560439561
TP53,split1,16,98,0.5133591065292097,0.4887161726804124
TP53,split2,49,98,0.5411038642261028,0.5375921544717194
TP53,split3,9,98,0.6194730813287515,0.5448983920919774
TP53,split6,10,98,0.5138831615120274,0.5212508591065292
