method,PDS_old,ci_lo_old,ci_hi_old,PDS_new,ci_lo_new,ci_hi_new,n_variants,delta,crosses_half_old,crosses_half_new,verdict_flips
scGen,0.4761,0.4499,0.503,0.4741,0.4491,0.5008,308,-0.002,True,True,False
scVIDR,0.4869,0.4567,0.5156,0.4856,0.4605,0.5109,308,-0.0013,True,True,False
CellFlow,0.4934,0.4671,0.5212,0.4932,0.4668,0.5205,303,-0.0002,True,True,False
Ridge-theta,0.4878,0.4619,0.5115,0.4876,0.4616,0.5112,308,-0.0002,True,True,False
RF-theta,0.4885,0.4625,0.5139,0.4884,0.4626,0.5137,308,-0.0001,True,True,False
MLP-esm,0.4812,0.4535,0.5076,0.4811,0.4537,0.5076,305,-0.0001,True,True,False
KNN-theta,0.4961,0.4706,0.5209,0.4961,0.4704,0.521,308,0.0,True,True,False
WT-null,0.5,0.5,0.5,0.5,0.5,0.5,308,0.0,True,True,False
MLP-theta,0.4834,0.455,0.5091,0.4835,0.4551,0.5087,308,0.0001,True,True,False
MLP-esm+theta,0.481,0.4535,0.5071,0.4811,0.4534,0.5073,305,0.0001,True,True,False
RF-esm,0.4801,0.4526,0.506,0.4804,0.453,0.5063,305,0.0003,True,True,False
RF-esm+theta,0.4816,0.4539,0.5078,0.4819,0.4544,0.5082,305,0.0003,True,True,False
Lasso-esm+theta,0.4803,0.452,0.5067,0.4806,0.4522,0.5068,305,0.0003,True,True,False
Gene-mean,0.4778,0.4504,0.504,0.4781,0.4508,0.5042,308,0.0003,True,True,False
KNN-esm,0.4889,0.4623,0.5151,0.4892,0.4624,0.5154,305,0.0003,True,True,False
Lasso-esm,0.481,0.4529,0.5074,0.4813,0.4538,0.5075,305,0.0003,True,True,False
KNN-esm+theta,0.5031,0.4775,0.5287,0.5036,0.478,0.5293,305,0.0005,True,True,False
Ridge-esm,0.4818,0.454,0.5079,0.4824,0.4549,0.5085,305,0.0006,True,True,False
Ridge-esm+theta,0.4906,0.4642,0.5147,0.4912,0.4649,0.5151,305,0.0006,True,True,False
Lasso-theta,0.4875,0.4601,0.5134,0.4882,0.4606,0.514,308,0.0007,True,True,False
PerturbNet,0.5296,0.5047,0.5541,0.5303,0.5038,0.5549,303,0.0007,False,False,False
GBoost-theta,0.4978,0.4723,0.5214,0.4991,0.4734,0.5233,308,0.0013,True,True,False
Biolord,0.4764,0.4502,0.503,0.4791,0.4533,0.5059,308,0.0027,True,True,False
GBoost-esm,0.4854,0.4596,0.5115,0.4895,0.4632,0.515,305,0.0041,True,True,False
GBoost-esm+theta,0.4866,0.4609,0.5124,0.4912,0.4653,0.5162,305,0.0046,True,True,False
