method,n_variants,n_nonfinite,pds,pds_lo,pds_hi,residual_pds,residual_lo,residual_hi,null_pds,null_residual_pds,perm_p_pds,perm_p_residual,pds_crosses_chance,residual_crosses_chance,n_perm
KNN-esm+theta,305,0,0.476,0.445,0.507,0.553,0.524,0.582,0.477,0.537,0.5686,0.1569,True,False,50
KNN-esm,305,0,0.483,0.452,0.514,0.54,0.511,0.57,0.478,0.534,0.3137,0.3333,True,False,50
PerturbNet,303,0,0.537,0.51,0.567,0.539,0.51,0.571,0.519,0.529,0.0588,0.2157,False,False,50
scGen,308,0,0.483,0.452,0.515,0.528,0.498,0.558,0.482,0.517,0.2997,0.002,True,True,1000
WT-null,308,0,0.5,0.5,0.5,0.524,0.493,0.554,0.5,0.524,1.0,1.0,True,True,50
RF-theta,308,0,0.453,0.421,0.484,0.524,0.496,0.552,0.455,0.518,0.5882,0.2745,False,True,50
CellFlow,303,0,0.501,0.471,0.532,0.524,0.493,0.554,0.501,0.524,0.3333,0.4706,True,True,50
RF-esm+theta,305,0,0.454,0.424,0.484,0.522,0.496,0.548,0.452,0.512,0.3922,0.1961,False,True,50
Biolord,308,0,0.497,0.467,0.528,0.521,0.491,0.551,0.491,0.503,0.2448,0.008,True,True,1000
GBoost-esm+theta,305,0,0.469,0.44,0.498,0.518,0.494,0.543,0.462,0.508,0.1569,0.1373,False,True,50
KNN-theta,308,0,0.458,0.427,0.489,0.517,0.487,0.547,0.47,0.533,0.9412,0.9216,False,True,50
GBoost-esm,305,0,0.471,0.442,0.499,0.516,0.491,0.541,0.463,0.508,0.1373,0.2549,False,True,50
GBoost-theta,308,0,0.467,0.437,0.497,0.516,0.488,0.542,0.466,0.51,0.4706,0.3333,False,True,50
RF-esm,305,0,0.452,0.422,0.482,0.516,0.49,0.543,0.451,0.511,0.4902,0.3725,False,True,50
scVIDR,282,26,0.496,0.462,0.53,0.514,0.481,0.547,0.487,0.509,0.0392,0.1176,True,True,50
Ridge-esm,305,0,0.451,0.421,0.481,0.512,0.487,0.538,0.453,0.505,0.8235,0.3529,False,True,50
Ridge-esm+theta,305,0,0.456,0.426,0.485,0.507,0.482,0.532,0.456,0.505,0.6078,0.4118,False,True,50
Lasso-esm+theta,305,0,0.449,0.418,0.479,0.505,0.479,0.531,0.452,0.497,0.902,0.2745,False,True,50
Lasso-theta,308,0,0.446,0.416,0.476,0.505,0.48,0.532,0.447,0.498,0.7451,0.2941,False,True,50
MLP-theta,308,0,0.444,0.414,0.473,0.504,0.475,0.534,0.448,0.508,0.8824,0.6471,False,True,50
Ridge-theta,308,0,0.453,0.423,0.483,0.504,0.477,0.53,0.451,0.502,0.3725,0.451,False,True,50
MLP-esm,305,0,0.449,0.419,0.479,0.503,0.473,0.532,0.45,0.503,0.9804,0.5294,False,True,50
Gene-mean,308,0,0.447,0.417,0.476,0.5,0.5,0.5,0.447,0.5,1.0,1.0,False,True,50
MLP-esm+theta,305,0,0.445,0.415,0.475,0.494,0.465,0.525,0.449,0.49,0.9412,0.1176,False,True,50
Lasso-esm,305,0,0.45,0.42,0.479,0.493,0.463,0.524,0.451,0.495,0.9608,0.8039,False,True,50
