method,gene,n_variants,n_refused,pds,residual_pds
Biolord,GATA1,172,0,0.498,0.498
Biolord,JAK1,26,0,0.477,0.638
Biolord,KRAS,51,0,0.521,0.542
Biolord,TP53,59,0,0.48,0.52
CellFlow,GATA1,172,0,0.477,0.497
CellFlow,JAK1,21,0,0.524,0.584
CellFlow,KRAS,51,0,0.545,0.564
CellFlow,TP53,59,0,0.526,0.544
GBoost-esm,GATA1,172,0,0.476,0.519
GBoost-esm,JAK1,23,0,0.439,0.517
GBoost-esm,KRAS,51,0,0.448,0.475
GBoost-esm,TP53,59,0,0.485,0.545
GBoost-esm+theta,GATA1,172,0,0.476,0.521
GBoost-esm+theta,JAK1,23,0,0.443,0.533
GBoost-esm+theta,KRAS,51,0,0.446,0.471
GBoost-esm+theta,TP53,59,0,0.48,0.545
GBoost-theta,GATA1,172,0,0.478,0.523
GBoost-theta,JAK1,26,0,0.412,0.497
GBoost-theta,KRAS,51,0,0.46,0.509
GBoost-theta,TP53,59,0,0.466,0.508
Gene-mean,GATA1,172,0,0.462,0.5
Gene-mean,JAK1,26,0,0.408,0.5
Gene-mean,KRAS,51,0,0.453,0.5
Gene-mean,TP53,59,0,0.414,0.5
KNN-esm,GATA1,172,0,0.483,0.521
KNN-esm,JAK1,23,0,0.442,0.522
KNN-esm,KRAS,51,0,0.5,0.58
KNN-esm,TP53,59,0,0.482,0.57
KNN-esm+theta,GATA1,172,0,0.489,0.551
KNN-esm+theta,JAK1,23,0,0.439,0.534
KNN-esm+theta,KRAS,51,0,0.51,0.604
KNN-esm+theta,TP53,59,0,0.423,0.521
KNN-theta,GATA1,172,0,0.467,0.5
KNN-theta,JAK1,26,0,0.411,0.528
KNN-theta,KRAS,51,0,0.495,0.569
KNN-theta,TP53,59,0,0.423,0.516
Lasso-esm,GATA1,172,0,0.462,0.496
Lasso-esm,JAK1,23,0,0.442,0.492
Lasso-esm,KRAS,51,0,0.453,0.509
Lasso-esm,TP53,59,0,0.414,0.474
Lasso-esm+theta,GATA1,172,0,0.462,0.509
Lasso-esm+theta,JAK1,23,0,0.421,0.554
Lasso-esm+theta,KRAS,51,0,0.453,0.505
Lasso-esm+theta,TP53,59,0,0.416,0.473
Lasso-theta,GATA1,172,0,0.462,0.509
Lasso-theta,JAK1,26,0,0.393,0.555
Lasso-theta,KRAS,51,0,0.453,0.505
Lasso-theta,TP53,59,0,0.416,0.473
MLP-esm,GATA1,172,0,0.46,0.491
MLP-esm,JAK1,23,0,0.439,0.487
MLP-esm,KRAS,51,0,0.458,0.523
MLP-esm,TP53,59,0,0.415,0.525
MLP-esm+theta,GATA1,172,0,0.456,0.482
MLP-esm+theta,JAK1,23,0,0.426,0.549
MLP-esm+theta,KRAS,51,0,0.453,0.488
MLP-esm+theta,TP53,59,0,0.414,0.514
MLP-theta,GATA1,172,0,0.459,0.52
MLP-theta,JAK1,26,0,0.391,0.504
MLP-theta,KRAS,51,0,0.436,0.479
MLP-theta,TP53,59,0,0.43,0.479
PerturbNet,GATA1,172,0,0.528,0.524
PerturbNet,JAK1,21,0,0.543,0.49
PerturbNet,KRAS,51,0,0.566,0.576
PerturbNet,TP53,59,0,0.538,0.567
RF-esm,GATA1,172,0,0.47,0.519
RF-esm,JAK1,23,0,0.438,0.503
RF-esm,KRAS,51,0,0.437,0.501
RF-esm,TP53,59,0,0.419,0.526
RF-esm+theta,GATA1,172,0,0.472,0.538
RF-esm+theta,JAK1,23,0,0.439,0.524
RF-esm+theta,KRAS,51,0,0.441,0.481
RF-esm+theta,TP53,59,0,0.416,0.51
RF-theta,GATA1,172,0,0.469,0.518
RF-theta,JAK1,26,0,0.403,0.513
RF-theta,KRAS,51,0,0.45,0.534
RF-theta,TP53,59,0,0.433,0.537
Ridge-esm,GATA1,172,0,0.466,0.533
Ridge-esm,JAK1,23,0,0.443,0.495
Ridge-esm,KRAS,51,0,0.446,0.47
Ridge-esm,TP53,59,0,0.415,0.496
Ridge-esm+theta,GATA1,172,0,0.473,0.505
Ridge-esm+theta,JAK1,23,0,0.4,0.544
Ridge-esm+theta,KRAS,51,0,0.436,0.483
Ridge-esm+theta,TP53,59,0,0.444,0.517
Ridge-theta,GATA1,172,0,0.47,0.496
Ridge-theta,JAK1,26,0,0.38,0.536
Ridge-theta,KRAS,51,0,0.441,0.495
Ridge-theta,TP53,59,0,0.444,0.52
WT-null,GATA1,172,0,0.5,0.504
WT-null,JAK1,26,0,0.5,0.602
WT-null,KRAS,51,0,0.5,0.494
WT-null,TP53,59,0,0.5,0.575
scGen,GATA1,172,0,0.495,0.498
scGen,JAK1,26,0,0.386,0.598
scGen,KRAS,51,0,0.506,0.531
scGen,TP53,59,0,0.471,0.582
scVIDR,GATA1,172,0,0.496,0.498
scVIDR,JAK1,0,26,,
scVIDR,KRAS,51,0,0.505,0.526
scVIDR,TP53,59,0,0.488,0.552
