gene,pilot_depth,n_var,rho2_nn_median,rho2_nn_median_lo,outcome,target,required_cells_per_group,refused
TP53,25,98,-0.0026,-0.00583,ceiling_pds,0.7,,True
TP53,25,98,-0.0026,-0.00583,ceiling_pds,0.9,,True
TP53,50,98,0.00048,-0.00791,ceiling_pds,0.7,,True
TP53,50,98,0.00048,-0.00791,ceiling_pds,0.9,,True
TP53,100,68,0.00186,-0.00333,ceiling_pds,0.7,,True
TP53,100,68,0.00186,-0.00333,ceiling_pds,0.9,,True
KRAS,25,92,0.00038,-0.00564,ceiling_pds,0.7,,True
KRAS,25,92,0.00038,-0.00564,ceiling_pds,0.9,,True
KRAS,50,92,0.00095,-0.00634,ceiling_pds,0.7,,True
KRAS,50,92,0.00095,-0.00634,ceiling_pds,0.9,,True
KRAS,100,84,-0.00727,-0.01333,ceiling_pds,0.7,,True
KRAS,100,84,-0.00727,-0.01333,ceiling_pds,0.9,,True
GATA1,25,247,0.01571,0.00271,ceiling_pds,0.7,62.11012094207512,False
GATA1,25,247,0.01571,0.00271,ceiling_pds,0.9,231.53246339910885,False
GATA1,50,209,0.00099,-0.01082,ceiling_pds,0.7,,True
GATA1,50,209,0.00099,-0.01082,ceiling_pds,0.9,,True
GATA1,100,107,0.0051,-0.01408,ceiling_pds,0.7,,True
GATA1,100,107,0.0051,-0.01408,ceiling_pds,0.9,,True
JAK1,25,14,0.07495,0.04861,ceiling_pds,0.7,10.37358238825884,False
JAK1,25,14,0.07495,0.04861,ceiling_pds,0.9,55.07671781187458,False
JAK1,50,9,0.12725,0.09096,ceiling_pds,0.7,12.220039292730846,False
JAK1,50,9,0.12725,0.09096,ceiling_pds,0.9,64.88015717092338,False
JAK1,100,5,0.16704,0.14195,ceiling_pds,0.7,18.61829501915709,False
JAK1,100,5,0.16704,0.14195,ceiling_pds,0.9,98.85057471264368,False
