dataset,source,superseded_by,cls,modality,n_perturbations,n_cells_scored,n_control_cells,cells_per_perturbation,detectable_fraction,identifiable_fraction,jointly_evaluable_fraction,replicate_candidate_pool_pds,rho2_nn_median,p_rho2_nn_gt1,p_correct_order,reduce_path,verdict
gse306429_A549,v2,,chemical,RNA,96,171110,18780,1586.8,1.0,0.10416666666666667,0.10416666666666667,0.9590597587719298,0.5376396214994039,,0.311,pca,detectable
mcfarland,v1,,chemical,RNA,10,,,,0.9,0.2,,0.9277777777777778,1.87306681429908,,0.418,,detectable
tahoe100m_CVCL_0459,v2,,chemical,RNA,1075,5943050,131593,5406.0,0.8725581395348837,0.004651162790697674,0.004651162790697674,0.9500917023948725,0.6900172651213601,0.373953488372093,0.863,rsvd,detectable
gse306429_A375,v2,,chemical,RNA,95,184414,21347,1716.5,0.7894736842105263,0.14736842105263157,0.1368421052631579,0.9762737961926091,0.8385471880302212,,0.829,pca,detectable
tahoe100m_CVCL_0546,v2,,chemical,RNA,1075,6363927,147988,5782.3,0.7683720930232558,0.0,0.0,0.882319951496254,0.2917520543613775,0.2288372093023256,0.558,rsvd,detectable
tahoe100m,v1,tahoe100m_CVCL_0546; tahoe100m_CVCL_0459; tahoe100m_CVCL_0480,chemical,RNA,7,,,,0.7142857142857143,0.42857142857142855,,0.9285714285714286,0.6140799152365104,,0.106,,detectable
tahoe100m_CVCL_0480,v2,,chemical,RNA,1075,4170504,97098,3789.2,0.6920930232558139,0.0009302325581395349,0.0009302325581395349,0.909829045948638,0.6224181528699606,0.3497674418604651,0.36,rsvd,detectable
norman2019,v1,,genetic,RNA,195,,,,0.6871794871794872,0.005128205128205128,,0.8975713719270421,0.7108467641514068,,0.997,,detectable
parse10m_Donor5,v2,,cytokine,RNA,90,1066725,55293,11238.1,0.6777777777777778,0.0,0.0,0.876498127340824,0.5176721247184723,0.26666666666666666,1.0,rsvd,detectable
replogle,v1,,genetic,RNA,414,,,,0.5120772946859904,0.014492753623188406,,0.8648264144763775,0.5256118711948438,,0.959,,detectable
adamson2016,v1_corrected,,genetic,RNA,93,62724,,,0.4838709677419355,0.03225806451612903,0.03225806451612903,0.8529978962131838,0.541458666032854,,0.977,pca,not detectable
gse306429_CD34,v2,,chemical,RNA,102,173548,18354,1521.5,0.4215686274509804,0.049019607843137254,0.049019607843137254,0.8911740438749758,0.4366247023602884,,0.397,pca,not detectable
parse10m_Donor12,v2,,cytokine,RNA,90,1054708,71179,10928.1,0.4111111111111111,0.0,0.0,0.832521847690387,0.36926974337572616,0.16666666666666666,0.944,rsvd,not detectable
kolf_ipsc,v2,,genetic,RNA,1500,564835,146747,278.7,0.312,0.0,0.0,0.7987065821658883,-0.018970484488774027,,0.999,rsvd,not detectable
vcc_training,v1,,genetic,RNA,139,,,,0.2589928057553957,0.04316546762589928,,0.8055208007507038,0.4259592185712756,,0.903,,not detectable
parse10m_Donor1,v2,,cytokine,RNA,90,1267690,90452,13080.4,0.25555555555555554,0.0,0.0,0.83353620474407,0.502948935666565,0.2222222222222222,0.995,rsvd,not detectable
papalexi_protein,v2,,genetic,protein,23,20729,2386,797.5,0.21739130434782608,0.0,0.0,0.716897233201581,0.4868729954967107,,0.351,none,not detectable
perturbmulti_protein,v2,,genetic,protein,132,97928,5137,703.0,0.18181818181818182,0.015151515151515152,0.007575757575757576,0.7399447721489707,0.35989449970368503,,1.0,none,not detectable
frangieh_rna_Coculture,v2,,genetic,RNA,159,73114,18334,344.5,0.09433962264150944,0.0,0.0,0.5824974126263833,0.18928480645501364,,0.214,pca,not detectable
papalexi_rna,v2,,genetic,RNA,23,20729,2386,797.5,0.08695652173913043,0.0,0.0,0.7067687747035573,0.18392468060218803,,0.615,pca,not detectable
sciplex3_A549_24h,v2,,chemical,RNA,495,162171,3773,320.0,0.07272727272727272,0.0,0.0,0.659305095489306,0.05100391124246851,,0.991,rsvd,not detectable
frangieh_protein_Coculture,v2,,genetic,protein,159,73114,18334,344.5,0.06918238993710692,0.0,0.0,0.5752477907809888,0.12324232282210285,,0.067,none,not detectable
sciplex3_MCF7_24h,v2,,chemical,RNA,735,344862,7786,458.6,0.053061224489795916,0.0,0.0,0.6535943669020742,0.06907420433489625,,0.003,rsvd,not detectable
sciplex3_K562_24h,v2,,chemical,RNA,590,173652,3935,287.7,0.05254237288135593,0.0,0.0,0.6149894967051308,0.10551177566096594,,0.814,rsvd,not detectable
frangieh_rna_IFNg,v2,,genetic,RNA,179,87590,23910,355.8,0.0335195530726257,0.0,0.0,0.6121123909359111,0.22791225845210838,,0.0,pca,not detectable
perturbmulti_rna,v2,,genetic,RNA,110,79179,4161,682.0,0.02727272727272727,0.03636363636363636,0.02727272727272727,0.7135633861551293,0.13132613457491565,,0.994,pca,not detectable
frangieh_rna_Control,v2,,genetic,RNA,87,57627,15361,485.8,0.022988505747126436,0.011494252873563218,0.0,0.5689655172413793,0.062306385290209806,,0.03,pca,not detectable
xatlas_hek293t,v2,,genetic,RNA,1500,761697,218838,361.9,0.014,0.0,0.0,0.5823397264843229,0.15301776569236894,0.03133333333333333,0.999,rsvd,not detectable
frangieh_protein_Control,v2,,genetic,protein,87,57627,15361,485.8,0.011494252873563218,0.0,0.0,0.5381582464581662,-0.2060729428729251,,0.001,none,not detectable
xatlas_hct116,v2,,genetic,RNA,1500,634070,165777,312.2,0.008,0.0,0.0,0.543985212363798,0.042821540340991025,,0.931,rsvd,not detectable
frangieh_protein_IFNg,v2,,genetic,protein,179,87590,23910,355.8,0.0,0.0,0.0,0.5574312660849915,-0.9350045232558397,,0.027,none,not detectable
