dataset,resource,configuration,src,arm,perturbation_class,modality,n,n_units_total,n_units_eligible,n_units_scored,n_units_cell_capped,n_cells_scored,n_control_cells,detectable_fraction,identifiable_fraction,jointly_evaluable_fraction,replicate_ceiling,rho2,rho2_nn_median,rho2_nn_floor_limited,p_correct_order,verdict,depth,n_seeds,n_boot,seed,n_components,reduce_path,demonstration_subsample,demonstration_note,correction_note,source_file
adamson2016,Adamson 2016,whole resource,v2,gate1,genetic,RNA,94,114,94,94,0,65337,1283,0.4787234042553192,0.031914893617021274,0.031914893617021274,0.8509637382749943,4.657357310246475,0.5481471366042009,False,0.974,not detectable,50,8,1000,0,50,,False,,,results/resolution_panel_v2/gate1/adamson2016.json
norman2019,Norman 2019,whole resource,v2,gate1,genetic,RNA,195,236,195,195,0,111445,11855,0.6871794871794872,0.005128205128205128,0.005128205128205128,0.8975713719270421,5.947260807581858,0.7108467641514068,False,0.997,detectable,50,8,1000,0,50,,False,,,results/resolution_panel_v2/gate1/norman2019.json
replogle,Replogle 2022,whole resource,v2,gate1,genetic,RNA,414,2057,414,414,0,310385,10691,0.5120772946859904,0.014492753623188406,0.014492753623188406,0.8648264144763775,6.894495702910165,0.5256118711948438,False,0.959,detectable,50,8,1000,0,50,pca,False,,,results/resolution_panel_v2/gate1/replogle.json
gse306429_A375_capped,GSE306429,A375,v2,gate2,chemical,RNA,95,96,95,95,37,168001,21347,0.7894736842105263,0.12631578947368421,0.12631578947368421,0.9776455767077268,14.51427288799693,0.6942115771067454,False,0.528,detectable,50,8,1000,0,50,pca,False,,,results/resolution_panel_v2/gate2/gse306429_A375_capped.json
norman2019_ipca,Norman 2019,whole resource,v2,gate6,genetic,RNA,195,236,195,195,0,111445,11855,0.6871794871794872,0.005128205128205128,0.005128205128205128,0.8974755485064764,5.946676448679266,0.71053940593063,False,0.996,detectable,50,8,1000,0,50,ipca,False,,,results/resolution_panel_v2/gate6/norman2019_ipca.json
norman2019_rsvd,Norman 2019,whole resource,v2,gate6,genetic,RNA,195,236,195,195,0,111445,11855,0.6871794871794872,0.005128205128205128,0.005128205128205128,0.8975713719270421,5.947260777555796,0.7108464285556305,False,0.997,detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/gate6/norman2019_rsvd.json
norman2019_rsvd_f32,Norman 2019,whole resource,v2,gate6,genetic,RNA,195,236,195,195,0,111445,11855,0.6871794871794872,0.005128205128205128,0.005128205128205128,0.8975713719270421,5.947264983460498,0.7108472690580365,False,0.997,detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/gate6/norman2019_rsvd_f32.json
xatlas_hct116_mapped,X-Atlas/Orion,whole resource,v2,gate6,genetic,RNA,1500,1500,1500,1500,0,634070,165777,0.008,0.0,0.0,0.5439853235490327,0.12957271124668976,0.04282084988384987,False,0.931,not detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/gate6/xatlas_hct116_mapped.json
frangieh_rna_Coculture_w24,Frangieh 2021,Co-culture / RNA,v2,gate7,genetic,RNA,159,248,159,159,0,73114,18334,0.0880503144654088,0.0,0.0,0.5784023963060265,0.2739288401162776,0.17178933329271387,False,0.134,not detectable,50,8,1000,0,24,pca,False,,,results/resolution_panel_v2/gate7/frangieh_rna_Coculture_w24.json
frangieh_rna_Control_w24,Frangieh 2021,Control / RNA,v2,gate7,genetic,RNA,87,248,87,87,0,57627,15361,0.022988505747126436,0.0,0.0,0.5675955626837744,0.25521193363138595,0.04079438275771315,False,0.026,not detectable,50,8,1000,0,24,pca,False,,,results/resolution_panel_v2/gate7/frangieh_rna_Control_w24.json
frangieh_rna_IFNg_w24,Frangieh 2021,IFNγ / RNA,v2,gate7,genetic,RNA,179,248,179,179,0,87590,23910,0.0335195530726257,0.0,0.0,0.6075889774653191,0.38496927919854895,0.23409663189926602,False,0.0,not detectable,50,8,1000,0,24,pca,False,,,results/resolution_panel_v2/gate7/frangieh_rna_IFNg_w24.json
papalexi_rna_w20,Papalexi 2021 ECCITE,RNA,v2,gate7,genetic,RNA,23,25,23,23,0,20729,2386,0.08695652173913043,0.0,0.0,0.704298418972332,1.7858575419475315,0.1757414457203134,False,0.495,not detectable,50,8,1000,0,20,pca,False,,,results/resolution_panel_v2/gate7/papalexi_rna_w20.json
perturbmulti_rna_w18,PerturbMulti,RNA,v2,gate7,genetic,RNA,110,202,110,110,0,79179,4161,0.03636363636363636,0.02727272727272727,0.01818181818181818,0.7108215179316096,0.6514950916230569,0.2162908845421337,False,0.984,not detectable,50,8,1000,0,18,pca,False,,,results/resolution_panel_v2/gate7/perturbmulti_rna_w18.json
gse306429_A375_seed1,GSE306429,A375,v2,seedprobe,chemical,RNA,95,96,95,95,0,184414,21347,0.7684210526315789,0.15789473684210525,0.15789473684210525,0.9755739081746919,14.826782085008897,0.8196872177109532,False,0.83,detectable,50,8,1000,1,50,pca,False,,,results/resolution_panel_v2/seedprobe/gse306429_A375_seed1.json
gse306429_A375_seed2,GSE306429,A375,v2,seedprobe,chemical,RNA,95,96,95,95,0,184414,21347,0.7684210526315789,0.11578947368421053,0.11578947368421053,0.9762178051511756,15.1459871283655,0.8594496268988847,False,0.818,detectable,50,8,1000,2,50,pca,False,,,results/resolution_panel_v2/seedprobe/gse306429_A375_seed2.json
