dataset,resource,configuration,src,arm,perturbation_class,modality,n,n_units_total,n_units_eligible,n_units_scored,n_units_cell_capped,n_cells_scored,n_control_cells,detectable_fraction,identifiable_fraction,jointly_evaluable_fraction,replicate_ceiling,rho2,rho2_nn_median,rho2_nn_floor_limited,p_correct_order,verdict,depth,n_seeds,n_boot,seed,n_components,reduce_path,demonstration_subsample,demonstration_note,correction_note,source_file
gse306429_A549,GSE306429,A549,v2,additional,chemical,RNA,96,96,96,96,0,171110,18780,1.0,0.10416666666666667,0.10416666666666667,0.9590597587719298,18.392032647383548,0.5376396214994039,False,0.311,detectable,50,8,1000,0,50,pca,False,,,results/resolution_panel_v2/panel/gse306429_A549.json
mcfarland,McFarland 2020,whole resource,v1,prespecified,chemical,RNA,10,,,,,,,0.9,0.2,,0.9277777777777778,15.039714076644975,1.87306681429908,False,0.418,detectable,50,8,1000,0,50,,True,"11 levels at 500 cells each, drawn from a 182,875-cell parent",,results/canonical/resolution_panel.csv
tahoe100m_CVCL_0459,Tahoe-100M,whole resource,v2,additional,chemical,RNA,1075,1075,1075,1075,0,5943050,131593,0.8725581395348837,0.004651162790697674,0.004651162790697674,0.9500917023948725,10.312528457062983,0.6900172651213601,False,0.863,detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/panel/tahoe100m_CVCL_0459.json
gse306429_A375,GSE306429,A375,v2,additional,chemical,RNA,95,96,95,95,0,184414,21347,0.7894736842105263,0.14736842105263157,0.1368421052631579,0.9762737961926091,15.18799710920596,0.8385471880302212,False,0.829,detectable,50,8,1000,0,50,pca,False,,,results/resolution_panel_v2/panel/gse306429_A375.json
tahoe100m_CVCL_0546,Tahoe-100M,whole resource,v2,additional,chemical,RNA,1075,1075,1075,1075,0,6363927,147988,0.7683720930232558,0.0,0.0,0.882319951496254,4.108101016366708,0.2917520543613775,False,0.558,detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/panel/tahoe100m_CVCL_0546.json
tahoe100m,Tahoe-100M,whole resource,v1,prespecified,chemical,RNA,7,,,,,,,0.7142857142857143,0.42857142857142855,,0.9285714285714286,1.389286254131106,0.6140799152365104,False,0.106,detectable,50,8,1000,0,50,,True,7 units drawn from a 100.6 M-cell resource,,results/canonical/resolution_panel.csv
tahoe100m_CVCL_0480,Tahoe-100M,whole resource,v2,additional,chemical,RNA,1075,1075,1075,1075,0,4170504,97098,0.6920930232558139,0.0009302325581395349,0.0009302325581395349,0.909829045948638,7.896261212240994,0.6224181528699606,False,0.36,detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/panel/tahoe100m_CVCL_0480.json
norman2019,Norman 2019,whole resource,v1,prespecified,genetic,RNA,195,,,,,,,0.6871794871794872,0.005128205128205128,,0.8975713719270421,5.947260807581858,0.7108467641514068,False,0.997,detectable,50,8,1000,0,50,,False,,,results/canonical/resolution_panel.csv
parse10m_Donor5,Parse 10M PBMC cytokines,whole resource,v2,additional,cytokine,RNA,90,90,90,90,0,1066725,55293,0.6777777777777778,0.0,0.0,0.876498127340824,2.8844811100339607,0.5176721247184723,False,1.0,detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/panel/parse10m_Donor5.json
replogle,Replogle 2022,whole resource,v1,prespecified,genetic,RNA,414,,,,,,,0.5120772946859904,0.014492753623188406,,0.8648264144763775,6.894495702910165,0.5256118711948438,False,0.959,detectable,50,8,1000,0,50,,False,,,results/canonical/resolution_panel.csv
adamson2016,Adamson 2016,whole resource,v1,prespecified,genetic,RNA,93,,,,,,,0.4838709677419355,0.03225806451612903,,0.8529978962131838,4.716125711513279,0.541458666032854,False,0.977,not detectable,50,8,1000,0,50,,False,,"the perturbation column carries a level whose literal value is <NA>, holding 2,613 cells and therefore clearing the 200-cell inclusion threshold. The first evaluation scored it as one of 94 perturbations. Norman, Replogle and the Virtual Cell Challenge training dataset were checked for the same defect and carry no such level.",results/canonical/resolution_panel.csv
gse306429_CD34,GSE306429,CD34+,v2,additional,chemical,RNA,102,103,102,102,0,173548,18354,0.4215686274509804,0.049019607843137254,0.049019607843137254,0.8911740438749758,6.128896842905892,0.4366247023602884,False,0.397,not detectable,50,8,1000,0,50,pca,False,,,results/resolution_panel_v2/panel/gse306429_CD34.json
parse10m_Donor12,Parse 10M PBMC cytokines,whole resource,v2,additional,cytokine,RNA,90,90,90,90,0,1054708,71179,0.4111111111111111,0.0,0.0,0.832521847690387,1.7150386036073604,0.36926974337572616,False,0.944,not detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/panel/parse10m_Donor12.json
kolf_ipsc,KOLF2.1J iPSC atlas,whole resource,v2,additional,genetic,RNA,1500,1500,1500,1500,0,564835,146747,0.312,0.0,0.0,0.7987065821658883,2.0089237970969704,-0.018970484488774027,True,0.999,not detectable,50,8,1000,0,50,rsvd,False,,,results/resolution_panel_v2/panel/kolf_ipsc.json
