source,gene,depth_m,n_var,eta2,rho2,rho2_nn_median,rho2_nn_median_lo,rho2_nn_median_hi,rho2_nn_geomean,frac_above_noise,nn_nonpositive,ceiling_pds,p_correct,p_winner,eff_rank,rho2_target,rank,hetero
real,TP53,25,98,37.833,-0.00272,-0.0026,-0.00583,0.00137,,0.448,56,0.492,0.028,0.094,,,,
real,TP53,50,98,18.893,-0.00184,0.00048,-0.00791,0.00487,,0.4673,48,0.498,0.17,0.274,,,,
real,TP53,100,68,9.408,-0.00276,0.00186,-0.00333,0.01277,,0.4765,31,0.4969,0.148,0.346,,,,
real,KRAS,25,92,37.577,-0.00173,0.00038,-0.00564,0.0053,,0.4772,45,0.4974,0.066,0.106,,,,
real,KRAS,50,92,18.776,-0.00084,0.00095,-0.00634,0.00528,,0.4652,45,0.499,0.04,0.072,,,,
real,KRAS,100,84,9.436,-0.00548,-0.00727,-0.01333,-0.00179,,0.4321,54,0.4938,0.044,0.102,,,,
real,GATA1,25,247,97.746,0.01332,0.01571,0.00271,0.02793,,0.483,106,0.5106,0.706,0.77,,,,
real,GATA1,50,209,49.326,0.02142,0.00099,-0.01082,0.01815,,0.4402,102,0.5198,0.584,0.644,,,,
real,GATA1,100,107,24.679,0.01323,0.0051,-0.01408,0.02007,,0.4411,51,0.5167,0.27,0.41,,,,
real,JAK1,25,14,78.162,0.61404,0.07495,0.04861,0.10526,,0.7857,2,0.7714,0.986,0.988,,,,
real,JAK1,50,9,39.961,1.0411,0.12725,0.09096,0.67533,0.191277,1.0,0,0.8194,0.0,0.0,,,,
real,JAK1,100,5,19.853,3.25771,0.16704,0.14195,1.48296,0.382301,1.0,0,0.97,0.0,0.702,,,,
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,-1.0,0.0
dialled,TP53,25,20,37.666,0.04903,0.05736,0.03929,0.0719,,0.775,1,0.6526,0.96,0.998,17.95,0.05,-1.0,0.0
dialled,TP53,25,20,37.666,0.19862,0.19243,0.18517,0.20943,0.195716,0.995,0,0.9221,0.996,0.996,17.95,0.2,-1.0,0.0
dialled,TP53,25,20,37.666,0.59719,0.57062,0.55401,0.59095,0.572477,1.0,0,0.9992,0.0,0.0,17.95,0.6,-1.0,0.0
dialled,TP53,25,20,37.666,1.99153,1.85346,1.82538,1.90176,1.858983,1.0,0,1.0,0.0,0.0,17.95,2.0,-1.0,0.0
dialled,TP53,25,20,37.666,5.97436,5.44985,5.39341,5.51787,5.460085,1.0,0,1.0,0.0,0.0,17.95,6.0,-1.0,0.0
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,-1.0,1.0
dialled,TP53,25,20,37.666,0.04885,0.0193,0.0092,0.04746,,0.62,4,0.6258,0.938,0.994,5.65,0.05,-1.0,1.0
dialled,TP53,25,20,37.666,0.19826,0.04483,0.03159,0.08496,,0.745,4,0.7345,0.99,0.99,5.65,0.2,-1.0,1.0
dialled,TP53,25,20,37.666,0.59655,0.13318,0.04524,0.187,,0.855,1,0.8276,0.688,0.688,5.65,0.6,-1.0,1.0
dialled,TP53,25,20,37.666,1.99037,0.38783,0.14026,0.57228,0.349863,0.93,0,0.9029,0.804,0.924,5.65,2.0,-1.0,1.0
dialled,TP53,25,20,37.666,5.97235,1.08021,0.39496,1.75836,0.932305,0.97,0,0.9397,0.95,0.956,5.65,6.0,-1.0,1.0
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,-1.0,2.0
dialled,TP53,25,20,37.666,0.04953,0.00156,-0.00216,0.02866,,0.555,8,0.5868,0.326,0.36,2.49,0.05,-1.0,2.0
dialled,TP53,25,20,37.666,0.19961,0.0121,-0.00041,0.03803,,0.615,6,0.6453,0.818,0.928,2.49,0.2,-1.0,2.0
dialled,TP53,25,20,37.666,0.59889,0.02167,0.01582,0.04578,,0.66,5,0.6755,0.8,0.916,2.49,0.6,-1.0,2.0
dialled,TP53,25,20,37.666,1.99464,0.05062,0.026,0.10745,,0.73,4,0.7426,1.0,1.0,2.49,2.0,-1.0,2.0
dialled,TP53,25,20,37.666,5.97975,0.11665,0.02594,0.30474,,0.795,4,0.8024,1.0,1.0,2.49,6.0,-1.0,2.0
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,5.0,0.0
