scope,k,n_variants,candidate_pool_size,observed_hit_rate,ci_lo,ci_hi,null_hit_rate,mean_rank,pds
GATA1,1,172,254,0.00814,0.003488,0.013566,0.003937,107.8603,0.577627
GATA1,3,172,254,0.025194,0.015116,0.037597,0.011811,107.8603,0.577627
GATA1,5,172,254,0.040698,0.025969,0.057752,0.019685,107.8603,0.577627
GATA1,10,172,254,0.079845,0.056589,0.105436,0.03937,107.8603,0.577627
JAK1,1,26,26,0.325641,0.161538,0.500064,0.038462,5.8282,0.806872
JAK1,3,26,26,0.479487,0.307692,0.651282,0.115385,5.8282,0.806872
JAK1,5,26,26,0.546154,0.371667,0.720513,0.192308,5.8282,0.806872
JAK1,10,26,26,0.833333,0.684551,0.95641,0.384615,5.8282,0.806872
KRAS,1,51,92,0.010458,0.002614,0.020915,0.01087,48.2183,0.481118
KRAS,3,51,92,0.026144,0.013072,0.043137,0.032609,48.2183,0.481118
KRAS,5,51,92,0.043137,0.023529,0.066667,0.054348,48.2183,0.481118
KRAS,10,51,92,0.088889,0.057516,0.12549,0.108696,48.2183,0.481118
TP53,1,59,98,0.00452,0.0,0.010169,0.010204,52.1944,0.472223
TP53,3,59,98,0.015819,0.00678,0.027119,0.030612,52.1944,0.472223
TP53,5,59,98,0.033898,0.018079,0.054237,0.05102,52.1944,0.472223
TP53,10,59,98,0.076836,0.050847,0.106243,0.102041,52.1944,0.472223
ALL,1,308,-1,0.034632,0.017965,0.05303,0.0092,78.7081,0.560808
ALL,3,308,-1,0.061905,0.041553,0.083117,0.0276,78.7081,0.560808
ALL,5,308,-1,0.082468,0.059518,0.106926,0.045999,78.7081,0.560808
ALL,10,308,-1,0.144372,0.115141,0.174248,0.091999,78.7081,0.560808
