method,PDS_mean,PDS_sd,lo,hi
PerturbNet,0.542,0.007,0.535,0.549
KNN-esm+theta,0.517,0.011,0.506,0.527
GBoost-esm+theta,0.511,0.009,0.502,0.521
CellFlow,0.511,0.012,0.499,0.523
Lasso-theta,0.508,0.01,0.498,0.518
scVIDR,0.504,0.009,0.494,0.513
KNN-theta,0.503,0.012,0.492,0.515
GBoost-theta,0.503,0.009,0.493,0.512
GBoost-esm,0.502,0.01,0.493,0.512
WT-null,0.5,0.0,0.5,0.5
RF-esm+theta,0.499,0.01,0.489,0.509
KNN-esm,0.498,0.01,0.488,0.508
RF-esm,0.498,0.011,0.487,0.509
RF-theta,0.498,0.01,0.488,0.508
Lasso-esm,0.497,0.01,0.487,0.506
Ridge-esm,0.497,0.01,0.487,0.507
MLP-esm,0.495,0.009,0.486,0.503
Lasso-esm+theta,0.495,0.01,0.485,0.504
MLP-theta,0.495,0.009,0.486,0.505
Ridge-esm+theta,0.494,0.011,0.483,0.505
Biolord,0.494,0.008,0.486,0.502
MLP-esm+theta,0.493,0.01,0.483,0.504
Gene-mean,0.489,0.01,0.479,0.498
Ridge-theta,0.487,0.011,0.476,0.498
scGen,0.486,0.007,0.48,0.493
