method,PDS_cos,ci_lo,ci_hi,ci_crosses_0p5,perm_p,sig,pearson_delta,per_gene,n
Biolord,0.522,0.49,0.554,True,0.226,False,0.129,"{'GATA1': 0.506, 'JAK1': 0.513, 'KRAS': 0.555, 'TP53': 0.492}",518
KNN-esm+theta,0.508,0.475,0.541,True,0.326,False,0.595,"{'GATA1': 0.482, 'JAK1': 0.465, 'KRAS': 0.535, 'TP53': 0.508}",511
KNN-theta,0.502,0.469,0.535,True,0.102,False,0.587,"{'GATA1': 0.485, 'JAK1': 0.443, 'KRAS': 0.541, 'TP53': 0.506}",518
WT-null,0.5,0.5,0.5,True,1.0,False,0.0,"{'GATA1': 0.5, 'JAK1': 0.5, 'KRAS': 0.5, 'TP53': 0.5}",518
scGen,0.499,0.466,0.53,True,0.399,False,0.183,"{'GATA1': 0.501, 'JAK1': 0.424, 'KRAS': 0.527, 'TP53': 0.485}",518
KNN-esm,0.496,0.466,0.527,True,0.88,False,0.588,"{'GATA1': 0.465, 'JAK1': 0.458, 'KRAS': 0.524, 'TP53': 0.503}",511
GBoost-esm+theta,0.495,0.466,0.525,True,0.008,True,0.619,"{'GATA1': 0.472, 'JAK1': 0.472, 'KRAS': 0.477, 'TP53': 0.507}",511
Lasso-theta,0.489,0.457,0.521,True,0.001,True,0.666,"{'GATA1': 0.455, 'JAK1': 0.517, 'KRAS': 0.495, 'TP53': 0.44}",518
GBoost-theta,0.489,0.461,0.517,True,0.035,True,0.615,"{'GATA1': 0.496, 'JAK1': 0.483, 'KRAS': 0.468, 'TP53': 0.475}",518
GBoost-esm,0.488,0.459,0.519,True,0.096,False,0.614,"{'GATA1': 0.473, 'JAK1': 0.448, 'KRAS': 0.483, 'TP53': 0.504}",511
Ridge-esm+theta,0.479,0.448,0.513,True,0.468,False,0.635,"{'GATA1': 0.465, 'JAK1': 0.455, 'KRAS': 0.491, 'TP53': 0.462}",511
RF-esm+theta,0.478,0.445,0.511,True,0.289,False,0.661,"{'GATA1': 0.461, 'JAK1': 0.458, 'KRAS': 0.487, 'TP53': 0.441}",511
Lasso-esm+theta,0.477,0.443,0.508,True,0.46,False,0.66,"{'GATA1': 0.455, 'JAK1': 0.458, 'KRAS': 0.495, 'TP53': 0.44}",511
Ridge-esm,0.476,0.442,0.51,True,0.815,False,0.668,"{'GATA1': 0.459, 'JAK1': 0.463, 'KRAS': 0.486, 'TP53': 0.44}",511
Lasso-esm,0.476,0.443,0.509,True,0.812,False,0.67,"{'GATA1': 0.455, 'JAK1': 0.458, 'KRAS': 0.493, 'TP53': 0.439}",511
RF-theta,0.476,0.443,0.508,True,0.055,False,0.651,"{'GATA1': 0.477, 'JAK1': 0.453, 'KRAS': 0.474, 'TP53': 0.448}",518
Ridge-theta,0.474,0.443,0.506,True,0.124,False,0.637,"{'GATA1': 0.463, 'JAK1': 0.424, 'KRAS': 0.505, 'TP53': 0.462}",518
RF-esm,0.474,0.439,0.509,True,0.774,False,0.661,"{'GATA1': 0.461, 'JAK1': 0.455, 'KRAS': 0.476, 'TP53': 0.444}",511
MLP-esm,0.473,0.438,0.508,True,0.894,False,0.656,"{'GATA1': 0.453, 'JAK1': 0.458, 'KRAS': 0.497, 'TP53': 0.432}",511
MLP-esm+theta,0.473,0.441,0.508,True,0.347,False,0.648,"{'GATA1': 0.451, 'JAK1': 0.474, 'KRAS': 0.492, 'TP53': 0.434}",511
MLP-theta,0.471,0.439,0.503,True,0.038,True,0.636,"{'GATA1': 0.453, 'JAK1': 0.433, 'KRAS': 0.507, 'TP53': 0.458}",518
Gene-mean,0.468,0.436,0.501,True,1.0,False,0.664,"{'GATA1': 0.455, 'JAK1': 0.432, 'KRAS': 0.493, 'TP53': 0.439}",518
scVIDR,,,,False,0.0,True,0.133,"{'GATA1': 0.502, 'JAK1': nan, 'KRAS': 0.532, 'TP53': 0.492}",518
