features,model,PDS,lo,hi,top1,resid_r,perm_p,perm_null_mean,headroom_recovery,n_perm,secs
esm2_sitedelta,nn,0.27777777777777773,0.17102396514161222,0.3976034858387799,0.0,0.6537647877010929,0.0074962518740629685,0.22246840958605663,-0.6163141993957703,2000,27.5
esm2_sitedelta+theta,nn,0.27777777777777773,0.16666666666666666,0.39324618736383443,0.0,0.6537647877010929,0.0074962518740629685,0.22246840958605663,-0.6163141993957703,2000,28.9
position,nn,0.2538126361655773,0.15359477124183007,0.37581699346405223,0.0,0.6643027675909446,0.10044977511244378,0.22285021786492376,-0.6827794561933533,2000,1.6
position,position_nn,0.2538126361655773,0.15141612200435733,0.37037037037037035,0.0,0.6643027675909446,0.10044977511244378,0.22285021786492376,-0.6827794561933533,2000,1.0
esm2_window16,nn,0.23420479302832245,0.1470588235294118,0.3420479302832244,0.0,0.6746877512778611,0.3058470764617691,0.22260784313725493,-0.7371601208459212,2000,29.8
theta,nn,0.22875816993464054,0.1383442265795207,0.3289760348583878,0.0,0.6539385767768562,0.3828085957021489,0.22241721132897602,-0.7522658610271901,2000,1.6
esm2_globaldelta,nn,0.2254901960784314,0.12962962962962965,0.340958605664488,0.0,0.6616887750832611,0.42828585707146427,0.2228828976034858,-0.7613293051359513,2000,26.8
region,nn,0.22440087145969498,0.11979847494553379,0.3518518518518518,0.0,0.6541614227233988,0.44127936031984005,0.21884313725490195,-0.7643504531722052,2000,1.6
esm2_window16,pls,0.18845315904139437,0.09474400871459697,0.30610021786492375,0.0,0.7164092782884913,0.03698150924537731,0.1742701525054466,-0.8640483383685796,2000,271.4
esm2_window16,krr,0.18518518518518523,0.09150326797385622,0.3028322440087146,0.0,0.7170761039724476,0.026986506746626688,0.17247766884531593,-0.873111782477341,2000,58.9
position,pls,0.1840958605664488,0.08932461873638346,0.2962962962962963,0.0,0.7171545718312663,0.12993503248375812,0.17372821350762527,-0.876132930513595,2000,138.2
esm2_globaldelta,krr,0.1830065359477124,0.08823529411764706,0.2984749455337691,0.0,0.7168092805008306,0.06746626686656672,0.17226851851851854,-0.8791540785498486,2000,59.0
region,pls,0.18082788671023964,0.09041394335511983,0.2973856209150326,0.0,0.7172108581208094,0.21839080459770116,0.17376797385620915,-0.8851963746223562,2000,138.2
esm2_sitedelta+theta,krr,0.18082788671023964,0.08278867102396516,0.30283224400871456,0.0,0.7166282441975897,0.08295852073963018,0.17262527233115468,-0.8851963746223562,2000,59.2
esm2_sitedelta,krr,0.18082788671023964,0.08387799564270154,0.30065359477124187,0.0,0.7166307565905333,0.08245877061469266,0.17262527233115468,-0.8851963746223562,2000,61.1
region,region_mean,0.18082788671023964,0.09041394335511983,0.2952069716775598,0.0,0.7172108581208094,0.21839080459770116,0.17376797385620915,-0.8851963746223562,2000,1.0
position,krr,0.1775599128540305,0.08278867102396516,0.2908496732026144,0.0,0.7174123540437134,0.2098950524737631,0.1724395424836601,-0.8942598187311175,2000,27.2
esm2_globaldelta,pls,0.1775599128540305,0.08169934640522876,0.2930283224400871,0.0,0.7151333678943991,0.3618190904547726,0.17464596949891067,-0.8942598187311175,2000,254.9
theta,pls,0.17647058823529413,0.08714596949891068,0.28651960784313685,0.0,0.7108766191627303,0.4577711144427786,0.17573093681917212,-0.8972809667673712,2000,191.6
theta,ridge,0.17538126361655776,0.08061002178649238,0.29411764705882354,0.0,0.716780328359245,0.1619190404797601,0.17379248366013075,-0.900302114803625,2000,32.1
theta,krr,0.17538126361655776,0.08278867102396514,0.29084967320261434,0.0,0.7146290870593924,0.3733133433283358,0.17275871459694989,-0.900302114803625,2000,28.4
esm2_window16,ridge,0.17429193899782136,0.07734204793028324,0.2962962962962963,0.0,0.7168350675493785,0.6646676661669165,0.17367483660130723,-0.9033232628398788,2000,60.0
esm2_sitedelta,ridge,0.17429193899782136,0.0784313725490196,0.289760348583878,0.0,0.7168235331873002,0.6691654172913544,0.17381372549019608,-0.9033232628398788,2000,60.7
region,krr,0.17429193899782136,0.079520697167756,0.2908496732026144,0.0,0.7173651796690196,0.3613193403298351,0.17225871459694989,-0.9033232628398788,2000,26.8
esm2_globaldelta,ridge,0.17429193899782136,0.08058278867102399,0.29193899782135074,0.0,0.7168350601087186,0.6401799100449775,0.17368300653594776,-0.9033232628398788,2000,62.0
esm2_sitedelta+theta,ridge,0.17429193899782136,0.07734204793028325,0.29084967320261434,0.0,0.7168235355841526,0.6701649175412294,0.1738066448801743,-0.9033232628398788,2000,60.9
position,ridge,0.17429193899782136,0.079520697167756,0.29302832244008714,0.0,0.7168198933650829,0.6621689155422289,0.17365141612200438,-0.9033232628398788,2000,32.1
theta,mean,0.17429193899782136,0.0784313725490196,0.29193899782135074,0.0,0.7168198583523039,1.0,0.17429193899782142,-0.9033232628398788,2000,0.9
region,ridge,0.17429193899782136,0.07843137254901962,0.2886710239651416,0.0,0.7168198903669677,0.6626686656671664,0.17365359477124184,-0.9033232628398788,2000,30.2
esm2_sitedelta+theta,pls,0.17211328976034856,0.07843137254901962,0.28322440087145967,0.0,0.7154083331142416,0.638680659670165,0.17462799564270154,-0.9093655589123865,2000,248.2
esm2_sitedelta,pls,0.1699346405228758,0.07734204793028325,0.2854030501089324,0.0,0.7153975827288876,0.7471264367816092,0.17462636165577342,-0.9154078549848941,2000,268.3
