features,model,PDS,lo,hi,top1,resid_r,perm_p,perm_null_mean,headroom_recovery,n_perm,secs
position,position_nn,0.6546840958605664,0.5555555555555556,0.747276688453159,0.0,0.031877435441391926,0.06896551724137931,0.5712162309368191,0.3107221006564551,2000,1.1
position,nn,0.6546840958605664,0.5566448801742919,0.7494553376906318,0.0,0.031877435441391926,0.06896551724137931,0.5712162309368191,0.3107221006564551,2000,1.5
esm2_window16,ridge,0.6263616557734203,0.5598856209150326,0.6971677559912853,0.0,0.04288043888728164,0.012993503248375811,0.5364128540305011,0.2538293216630193,2000,60.3
esm2_window16,nn,0.6165577342047931,0.517429193899782,0.7145969498910675,0.0,0.029275540941451596,0.18640679660169915,0.5705190631808279,0.23413566739606143,2000,30.4
theta,mean,0.6018518518518519,0.4607843137254901,0.7342047930283224,0.09259259259259259,1.3812735677465326e-10,1.0,0.601851851851852,0.20459518599562365,2000,0.9
esm2_sitedelta+theta,ridge,0.5904139433551198,0.5043572984749455,0.676470588235294,0.0,0.015522277343087452,0.04097951024487756,0.5204286492374728,0.18161925601750536,2000,60.0
esm2_window16,krr,0.588235294117647,0.5163398692810457,0.6590413943355119,0.0,0.02515736414363238,0.10944527736131934,0.5360708061002178,0.17724288840262564,2000,59.0
esm2_sitedelta,ridge,0.5860566448801743,0.5010893246187363,0.6732026143790849,0.0,0.01581915484347759,0.05297351324337831,0.5204858387799564,0.17286652078774617,2000,60.2
esm2_globaldelta,ridge,0.5806100217864922,0.5065359477124183,0.6514161220043573,0.0,0.020870249677651408,0.09145427286356822,0.5263202614379084,0.16192560175054677,2000,60.8
region,nn,0.5751633986928103,0.49128540305010887,0.6666666666666665,0.0,0.003892941525421736,0.3988005997001499,0.5636399782135076,0.1509846827133476,2000,1.5
theta,nn,0.5729847494553377,0.49673202614379086,0.6481753812636163,0.0,0.007812212468765951,0.47226386806596704,0.5688671023965142,0.14660831509846836,2000,1.6
esm2_globaldelta,krr,0.5675381263616557,0.47167755991285404,0.6688453159041393,0.0,0.013261434820864702,0.25337331334332835,0.5372990196078431,0.13566739606126896,2000,59.1
esm2_sitedelta+theta,nn,0.565359477124183,0.47167755991285404,0.662309368191721,0.0,0.004675121378359243,0.5262368815592204,0.5702434640522875,0.13129102844638948,2000,28.8
esm2_sitedelta,nn,0.565359477124183,0.4727668845315903,0.6612200435729847,0.0,0.004675121378359243,0.5262368815592204,0.5702434640522875,0.13129102844638948,2000,28.1
position,ridge,0.5620915032679737,0.4999999999999999,0.6209150326797386,0.0,0.03870536502725704,0.025987006496751622,0.5073981481481481,0.1247264770240698,2000,31.9
position,pls,0.5620915032679737,0.5010893246187362,0.6230936819172113,0.0,0.0387053650271303,0.025987006496751622,0.5073981481481481,0.1247264770240698,2000,137.8
region,pls,0.559912854030501,0.49782135076252715,0.6220043572984749,0.0,0.03962453481785092,0.031984007996002,0.5076661220043573,0.1203501094091901,2000,137.7
region,ridge,0.559912854030501,0.49782135076252726,0.6220043572984749,0.0,0.03962453481781096,0.031984007996002,0.5076661220043573,0.1203501094091901,2000,30.1
region,krr,0.559912854030501,0.49782135076252726,0.6209150326797386,0.0,0.03962453481776227,0.031984007996002,0.5076661220043573,0.1203501094091901,2000,26.6
region,region_mean,0.559912854030501,0.49782135076252715,0.6209150326797386,0.0,0.039624534817850915,0.031984007996002,0.5076661220043573,0.1203501094091901,2000,1.0
esm2_globaldelta,pls,0.5577342047930283,0.48801742919389973,0.6296296296296295,0.0,0.02329570191086616,0.11294352823588207,0.5081666666666667,0.11597374179431061,2000,258.0
esm2_globaldelta,nn,0.5555555555555557,0.4509803921568627,0.6644880174291938,0.0,0.007367064648630765,0.6196901549225388,0.5716552287581699,0.11159737417943136,2000,27.9
esm2_sitedelta,krr,0.5490196078431373,0.48583877995642705,0.6122004357298474,0.0,0.0005348812559560555,0.4817591204397801,0.5459308278867102,0.09846827133479222,2000,61.2
esm2_sitedelta+theta,krr,0.5490196078431373,0.485838779956427,0.6132897603485837,0.0,0.0004749939396009398,0.48125937031484256,0.5461704793028321,0.09846827133479222,2000,58.8
esm2_window16,pls,0.5446623093681917,0.4901960784313725,0.6002178649237472,0.0,0.029172654748930764,0.1539230384807596,0.5026018518518518,0.0897155361050328,2000,272.2
position,krr,0.5413943355119826,0.47276688453159044,0.6056644880174291,0.0,0.014418162456876512,0.5402298850574713,0.5440697167755991,0.08315098468271336,2000,27.0
theta,pls,0.5315904139433552,0.4847494553376906,0.5795206971677559,0.0,0.0035575351079377257,0.29735132433783107,0.5111966230936819,0.06345733041575499,2000,192.9
theta,ridge,0.5315904139433552,0.4836601307189542,0.5784313725490196,0.0,0.003557569525772212,0.30134932533733133,0.5119014161220043,0.06345733041575499,2000,31.9
esm2_sitedelta+theta,pls,0.5261437908496732,0.47712418300653603,0.5762527233115468,0.0,0.012224808400049634,0.32983508245877063,0.5086993464052287,0.05251641137855584,2000,250.0
theta,krr,0.522875816993464,0.44880174291938996,0.5991285403050108,0.0,0.004360257022043027,0.6596701649175413,0.5426470588235294,0.045951859956236164,2000,28.3
esm2_sitedelta,pls,0.522875816993464,0.4749455337690632,0.574074074074074,0.0,0.0120655005787807,0.3658170914542729,0.5085582788671024,0.045951859956236164,2000,268.2
