perturbation,native_rankable,native_n_work,native_n_cells,matched50_rankable,matched50_n_work,matched50_n_cells,dataset,native_unrankable,matched50_unrankable
AAAS,False,100,212,False,50,212,Replogle,1,1
AARS2,False,50,181,False,50,181,Replogle,1,1
AATF,True,100,298,True,50,298,Replogle,0,0
ABCB7,False,50,199,False,50,199,Replogle,1,1
ABCE1,True,100,249,True,50,249,Replogle,0,0
ABCF1,True,100,329,False,50,329,Replogle,0,1
ABCG1,False,50,144,False,50,144,Replogle,1,1
ABT1,True,50,107,True,50,107,Replogle,0,0
ACIN1,False,50,191,False,50,191,Replogle,1,1
ACOT12,False,50,180,False,50,180,Replogle,1,1
ACTB,False,50,168,False,50,168,Replogle,1,1
ACTR10,False,50,116,False,50,116,Replogle,1,1
ACTR1A,False,50,143,False,50,143,Replogle,1,1
ACTR1B,False,100,206,False,50,206,Replogle,1,1
ACTR2,False,100,236,False,50,236,Replogle,1,1
ACTR3,False,50,118,False,50,118,Replogle,1,1
ACTR6,False,50,108,False,50,108,Replogle,1,1
ACTR8,True,100,252,True,50,252,Replogle,0,0
ADAT3,False,50,125,False,50,125,Replogle,1,1
ADRM1,False,50,105,False,50,105,Replogle,1,1
ADSL,False,50,133,False,50,133,Replogle,1,1
AHCTF1,False,100,290,False,50,290,Replogle,1,1
AHCY,False,50,147,False,50,147,Replogle,1,1
AKIRIN2,False,50,169,False,50,169,Replogle,1,1
ALG13,False,50,170,False,50,170,Replogle,1,1
ALG14,False,50,183,False,50,183,Replogle,1,1
ALG1L,False,100,216,False,50,216,Replogle,1,1
ALG2,True,100,247,False,50,247,Replogle,0,1
ALYREF,False,100,319,False,50,319,Replogle,1,1
ANAPC1,False,50,124,False,50,124,Replogle,1,1
ANAPC13,False,50,112,False,50,112,Replogle,1,1
ANAPC15,False,200,424,False,50,424,Replogle,1,1
ANAPC2,True,100,237,False,50,237,Replogle,0,1
ANKLE2,False,50,126,False,50,126,Replogle,1,1
ANKRD11,True,100,260,True,50,260,Replogle,0,0
ANKRD49,False,50,144,False,50,144,Replogle,1,1
AP2M1,False,100,215,False,50,215,Replogle,1,1
AP2S1,True,50,123,True,50,123,Replogle,0,0
AQP7,False,50,108,False,50,108,Replogle,1,1
ARCN1,True,100,333,True,50,333,Replogle,0,0
ARFRP1,False,50,138,False,50,138,Replogle,1,1
ARGLU1,True,200,498,False,50,498,Replogle,0,1
ARHGAP11B,False,100,212,False,50,212,Replogle,1,1
ARL4D,False,50,120,False,50,120,Replogle,1,1
ARMC7,False,50,110,False,50,110,Replogle,1,1
ARPC2,False,100,227,False,50,227,Replogle,1,1
ARPC3,False,50,141,False,50,141,Replogle,1,1
ARPC4,False,100,220,False,50,220,Replogle,1,1
ASF1B,False,100,284,False,50,284,Replogle,1,1
ATF5,True,50,141,True,50,141,Replogle,0,0
ATL2,False,50,120,False,50,120,Replogle,1,1
ATP2A2,False,50,158,False,50,158,Replogle,1,1
ATP6AP1,True,50,119,True,50,119,Replogle,0,0
ATP6AP2,False,50,175,False,50,175,Replogle,1,1
ATP6V0B,False,50,147,False,50,147,Replogle,1,1
ATP6V0D1,False,50,101,False,50,101,Replogle,1,1
ATP6V1B2,True,200,442,True,50,442,Replogle,0,0
ATP6V1D,False,50,139,False,50,139,Replogle,1,1
ATP6V1E1,False,50,188,False,50,188,Replogle,1,1
ATR,True,50,141,True,50,141,Replogle,0,0
ATRIP,False,50,184,False,50,184,Replogle,1,1
BANF1,False,50,162,False,50,162,Replogle,1,1
BANP,False,50,110,False,50,110,Replogle,1,1
BAP1,True,100,200,True,50,200,Replogle,0,0
BARD1,False,50,140,False,50,140,Replogle,1,1
BCAR1,False,100,246,False,50,246,Replogle,1,1
BCAS2,True,100,227,True,50,227,Replogle,0,0
BCL2L1,False,50,173,False,50,173,Replogle,1,1
BCR,True,200,561,True,50,561,Replogle,0,0
BDP1,True,100,331,True,50,331,Replogle,0,0
BET1,False,50,131,False,50,131,Replogle,1,1
BGLAP,True,100,236,True,50,236,Replogle,0,0
BNIP1,True,50,111,True,50,111,Replogle,0,0
BOP1,False,100,253,False,50,253,Replogle,1,1
BRCA1,False,50,104,False,50,104,Replogle,1,1
BRCA2,False,50,147,False,50,147,Replogle,1,1
BRD4,False,50,116,False,50,116,Replogle,1,1
BRF1,False,50,166,False,50,166,Replogle,1,1
BRF2,False,50,174,False,50,174,Replogle,1,1
BRIP1,False,50,132,False,50,132,Replogle,1,1
BRIX1,True,50,132,True,50,132,Replogle,0,0
BRK1,False,50,180,False,50,180,Replogle,1,1
BTF3L4,False,50,141,False,50,141,Replogle,1,1
BUB1,False,200,648,False,50,648,Replogle,1,1
BUB1B,False,50,141,False,50,141,Replogle,1,1
BUB3,True,200,409,False,50,409,Replogle,0,1
BUD13,True,50,174,True,50,174,Replogle,0,0
C12orf45,True,50,100,True,50,100,Replogle,0,0
C12orf60,True,50,110,True,50,110,Replogle,0,0
C14orf178,True,50,143,True,50,143,Replogle,0,0
C16orf86,False,50,184,False,50,184,Replogle,1,1
C19orf25,False,50,189,False,50,189,Replogle,1,1
C19orf53,False,50,169,False,50,169,Replogle,1,1
C1D,False,50,160,False,50,160,Replogle,1,1
C1QBP,True,100,210,True,50,210,Replogle,0,0
