dataset,pilot_cells,method,auroc,lo,hi,n,n_pos,n_neg,valid_bootstraps
Replogle,25,Learned effect,0.9603440038222648,0.936740754686822,0.979370398722237,239,161,78,2000
Norman,25,Learned effect,0.9158197083517455,0.8717470569788198,0.9519330931742279,177,146,31,2000
Adamson,25,Learned effect,0.893687707641196,0.8263058448478118,0.9496856838391347,92,49,43,2000
Replogle,50,Learned effect,0.9880554228380316,0.9756872510966782,0.9964915489944374,239,161,78,2000
Norman,50,Learned effect,0.9383561643835616,0.9002861099697149,0.9661304303357281,177,146,31,2000
Adamson,50,Learned effect,0.851922164214523,0.7598455868815636,0.928871250604741,92,49,43,2000
Replogle,25,Training-free SNR,0.9343844561235866,0.9038614026312591,0.9618729488982654,239,161,78,2000
Norman,25,Training-free SNR,0.8508616880247458,0.7881259830554146,0.9098774271196298,177,146,31,2000
Adamson,25,Training-free SNR,0.8561936402467963,0.7748457210470395,0.9250191801596859,92,49,43,2000
Replogle,50,Training-free SNR,0.9774645644210861,0.9614607145952638,0.9898074301533022,239,161,78,2000
Norman,50,Training-free SNR,0.9255413168360583,0.8842367777150386,0.9623758703346903,177,146,31,2000
Adamson,50,Training-free SNR,0.8386331276696726,0.7455650399512253,0.9171402191558441,92,49,43,2000
