method,pearson_delta,ci_lo,ci_hi,n
Ridge-theta,0.6017394971541241,0.5827509847167398,0.6195416412870857,518
Ridge-esm,0.6454334659331885,0.6299271919772244,0.6604558855952615,511
Ridge-esm+theta,0.6014697326870927,0.5822929519579301,0.6194843023380132,511
Lasso-theta,0.6306923197595331,0.6122047152896425,0.6485348784243533,518
Lasso-esm,0.6470905517212768,0.6310365870203272,0.6610362780799345,511
Lasso-esm+theta,0.6307561506240942,0.6118813972093929,0.6481933130446818,511
RF-theta,0.6236369605746527,0.606773800782251,0.6391381796470047,518
RF-esm,0.635255473224976,0.6191674057849182,0.650756143343649,511
RF-esm+theta,0.6346586439015728,0.6188198577158526,0.6499353341427949,511
GBoost-theta,0.58461045012561,0.5676479956201933,0.600697587477902,518
GBoost-esm,0.585700607901942,0.5706557950947113,0.6010956785959436,511
GBoost-esm+theta,0.5867273602509013,0.5713573288464168,0.6017460466049012,511
KNN-theta,0.5545444205888834,0.5381932396888005,0.570458060153248,518
KNN-esm,0.5556666953151966,0.5402235343648679,0.5710150164451099,511
KNN-esm+theta,0.5666098447023152,0.552493368460877,0.5812457219017974,511
MLP-theta,0.6079092042272658,0.5907133040172675,0.624237998560686,518
MLP-esm,0.6318544576981819,0.6160434405058872,0.6468986673854857,511
MLP-esm+theta,0.6286775846724104,0.6135996273756555,0.6429108618909735,511
Gene-mean,0.641806349097652,0.6251009013712472,0.6581067223300915,518
