method,split,gene,metric,n_test,obs_pds,null_mean,null_lo,null_hi,p_above_obs
Ridge-theta,split1,TP53,PDS_cos,16,0.5167,0.501,0.4667,0.5333,0.216
Ridge-theta,split1,TP53,PDS_L1,16,0.525,0.5003,0.4583,0.5458,0.134
Ridge-theta,split1,TP53,PDS_L2,16,0.5375,0.4998,0.4583,0.5417,0.048
Ridge-esm,split1,TP53,PDS_cos,16,0.5,0.4999,0.4917,0.5083,0.649
Ridge-esm,split1,TP53,PDS_L1,16,0.5,0.5001,0.4875,0.5125,0.643
Ridge-esm,split1,TP53,PDS_L2,16,0.4917,0.4998,0.4833,0.5125,0.914
Ridge-esm+theta,split1,TP53,PDS_cos,16,0.5167,0.5005,0.4708,0.5333,0.196
Ridge-esm+theta,split1,TP53,PDS_L1,16,0.5292,0.4993,0.4583,0.5417,0.106
Ridge-esm+theta,split1,TP53,PDS_L2,16,0.5292,0.4996,0.4542,0.5459,0.094
Lasso-theta,split1,TP53,PDS_cos,16,0.5,0.5,0.5,0.5,1.0
Lasso-theta,split1,TP53,PDS_L1,16,0.5,0.5,0.5,0.5,1.0
Lasso-theta,split1,TP53,PDS_L2,16,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split1,TP53,PDS_cos,16,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split1,TP53,PDS_L1,16,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split1,TP53,PDS_L2,16,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split1,TP53,PDS_cos,16,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split1,TP53,PDS_L1,16,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split1,TP53,PDS_L2,16,0.5,0.5,0.5,0.5,1.0
RF-theta,split1,TP53,PDS_cos,16,0.5083,0.5009,0.4625,0.5375,0.401
RF-theta,split1,TP53,PDS_L1,16,0.4917,0.4991,0.45,0.5417,0.658
RF-theta,split1,TP53,PDS_L2,16,0.4958,0.5001,0.45,0.5458,0.607
RF-esm,split1,TP53,PDS_cos,16,0.4917,0.5,0.4708,0.5292,0.728
RF-esm,split1,TP53,PDS_L1,16,0.4958,0.5007,0.4667,0.5333,0.646
RF-esm,split1,TP53,PDS_L2,16,0.4833,0.4993,0.4708,0.5292,0.86
RF-esm+theta,split1,TP53,PDS_cos,16,0.5,0.4998,0.475,0.5292,0.511
RF-esm+theta,split1,TP53,PDS_L1,16,0.5083,0.5002,0.4708,0.525,0.346
RF-esm+theta,split1,TP53,PDS_L2,16,0.4875,0.5004,0.475,0.5292,0.814
GBoost-theta,split1,TP53,PDS_cos,16,0.4917,0.4993,0.4417,0.5583,0.567
GBoost-theta,split1,TP53,PDS_L1,16,0.5042,0.5026,0.4292,0.5792,0.505
GBoost-theta,split1,TP53,PDS_L2,16,0.4625,0.5016,0.4333,0.5792,0.852
GBoost-esm,split1,TP53,PDS_cos,16,0.5375,0.4989,0.4333,0.5667,0.143
GBoost-esm,split1,TP53,PDS_L1,16,0.5042,0.5011,0.4291,0.5792,0.479
