dataset,depth,n_perturbations,pds_P,pds_P_lo,pds_P_hi,pds_X,pds_X_lo,pds_X_hi,delta_PX,delta_PX_lo,delta_PX_hi,delta_PX_signflip_p,verdict_flip_frac,pds_W,W_comparable,published_ceiling_m50,anchor_gap,verdict
GATA1,30,209,0.5168813642497853,0.5054943795239848,0.5286515074837443,0.5061434179855233,0.4938051696110906,0.5186046190651454,0.010737946264262051,-0.004074730094466952,0.025892720218378098,0.1715828417158284,0.11004784688995216,,False,0.52,,CONCORDANT
GATA1,50,209,0.5302401545822598,0.5174008940620782,0.5432832244509876,0.5187461661145871,0.5048979803091644,0.5328937400318979,0.011493988467672668,-0.0042343347442031715,0.027061518525334304,0.14778522147785222,0.11004784688995216,,False,0.52,0.010240154582259797,CONCORDANT
GATA1,100,200,0.543675041876047,0.5274967755443887,0.5608163735343383,0.5270954773869346,0.5052593383584589,0.5493569095477386,0.01657956448911224,-0.006209840871021769,0.04009932998324956,0.1603839616038396,0.165,,False,0.52,,CONCORDANT
KRAS,30,97,0.497057560137457,0.48195858390607105,0.5125082331042382,0.49644186712485683,0.480318943298969,0.5130444587628865,0.0006156930126002407,-0.020597615979381416,0.022423575315005717,0.9573042695730427,0.05154639175257732,,False,0.493,,NOT_INFORMATIVE
KRAS,50,97,0.4961411798396335,0.4778133949026346,0.5142046105383735,0.5057202176403206,0.4857595933562429,0.52553031930126,-0.009579037800687293,-0.036046857101947306,0.01603719215349369,0.4791520847915208,0.10309278350515463,,False,0.493,0.0031411798396335233,NOT_INFORMATIVE
Norman,30,195,0.7944840955150234,0.7724704819807914,0.8162044232972068,0.7966569741827475,0.7730088554057626,0.8191543748347873,-0.0021728786677240324,-0.01330548947043794,0.009085029518019197,0.7095290470952905,0.06666666666666667,,False,0.848,,CONCORDANT
Norman,50,195,0.8130390342761478,0.7897253061943784,0.8353712661908539,0.8337139836108909,0.8112537668517051,0.855014582782624,-0.020674949334743162,-0.032672614327253505,-0.008686227861485617,0.0010998900109989002,0.09743589743589744,,False,0.848,-0.03496096572385221,CONCORDANT
Norman,100,191,0.8992633416000736,0.8817009277119501,0.9154793790759622,0.9086341508220813,0.8896903187287591,0.9255499219252319,-0.009370809222007906,-0.01995595664554057,0.0011720859740975526,0.0888911108889111,0.05759162303664921,,False,0.848,,CONCORDANT
Replogle,30,400,0.7639502923976608,0.7460178571428571,0.7815412907268171,0.7442159565580618,0.7260664055973268,0.7617664160401003,0.019734335839598993,0.012018661236424389,0.027398527568922318,9.999000099990002e-05,0.145,,False,0.783,,CONCORDANT
Replogle,50,367,0.7885980454926717,0.7687591012641265,0.8084074835097749,0.7836676047110673,0.7633549232441448,0.803710176540949,0.004930440781604401,-0.00485851163621745,0.014841078403637034,0.3274672532746725,0.1335149863760218,,False,0.783,0.005598045492671622,CONCORDANT
TP53,30,98,0.49075671505715684,0.47616224840451643,0.5051828669612175,0.49455782312925173,0.47689880075741636,0.5123155550880146,-0.0038011080720948237,-0.026369485938705372,0.01874623045094328,0.7503249675032497,0.061224489795918366,,False,0.492,,NOT_INFORMATIVE
TP53,50,98,0.49684409846412786,0.4813303878252332,0.512258924188232,0.4916333543726769,0.46963970124132126,0.5129746125254225,0.005210744091450997,-0.019391436987166003,0.02975839820464263,0.6832316768323168,0.07142857142857142,,False,0.492,0.004844098464127866,NOT_INFORMATIVE
VCC,30,139,0.7011156292357419,0.6679066312167657,0.734272321273416,0.6917457338477043,0.6622632328919473,0.721350050394467,0.00936989538803738,-0.007925398811385683,0.026188527438918398,0.29027097290270976,0.1223021582733813,,False,0.731,,CONCORDANT
VCC,50,139,0.7366419907552219,0.7058213429256596,0.7675184200465714,0.7276474472595836,0.6967190595349807,0.7584337747193549,0.008994543495638259,-0.003924512563861983,0.021631390539742112,0.1755824417558244,0.11510791366906475,,False,0.731,0.005641990755221871,CONCORDANT
VCC,100,139,0.7957911931324506,0.7642878740485871,0.8266536336148472,0.8034198727974142,0.7732342821395057,0.8330456504361728,-0.007628679664963685,-0.02125612553435514,0.005887463941889967,0.27177282271772824,0.04316546762589928,,False,0.731,,CONCORDANT
sciPlex,30,188,0.5760477111540941,0.5602348105586528,0.5922104809041605,0.5751981643721319,0.5606363067470703,0.5897873762657868,0.0008495467819622928,-0.014438597489285852,0.016078858042249768,0.9129087091290871,0.20212765957446807,0.5883775173512344,True,0.602,,CONCORDANT
sciPlex,50,188,0.6189308605453787,0.602049436795995,0.6358845336974248,0.581363067470702,0.5621609398111276,0.6005367030758144,0.03756779307467669,0.021009073842302897,0.05386496378048319,9.999000099990002e-05,0.2393617021276596,0.6403003754693367,True,0.602,0.016930860545378734,INCONCLUSIVE
sciPlex,100,188,0.6342264952402624,0.6153353623847992,0.6537135908522016,0.6110972048393825,0.587011273561649,0.6354271911859521,0.023129290400879896,0.00322164068722267,0.04328151666856297,0.023897610238976102,0.31382978723404253,0.6576212690105054,True,0.602,,CONCORDANT
