perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"(+)-JQ1 | 10.0",False,False,False,5412.85,41663.8
"(+)-JQ1 | 100.0",False,False,False,8260.22,33696.7
"(+)-JQ1 | 1000.0",True,False,False,4819.65,33807.2
"(+)-JQ1 | 10000.0",False,False,False,-148.388,17191.9
"2-Methoxyestradiol (2-MeOE2) | 10.0",False,False,False,-281.897,20796.8
"2-Methoxyestradiol (2-MeOE2) | 100.0",False,False,False,-1704.36,13008.8
"2-Methoxyestradiol (2-MeOE2) | 1000.0",False,False,False,3407.48,29065.4
"A-366 | 10.0",False,False,False,5931.13,67558.1
"A-366 | 100.0",False,False,False,9626.53,56157.1
"A-366 | 1000.0",False,False,False,-662.713,20656.9
"A-366 | 10000.0",True,False,False,-3244,14951.9
"ABT-737 | 10.0",False,False,False,-1487.44,28634.3
"AC480 (BMS-599626) | 10.0",True,False,False,1468.94,24114
"AC480 (BMS-599626) | 100.0",False,False,False,6018.37,29973.4
"AC480 (BMS-599626) | 1000.0",False,False,False,-3514.24,11395.1
"AG-14361 | 10.0",False,False,False,10021.1,41089.8
"AG-14361 | 100.0",False,False,False,2988.65,33276.2
"AG-14361 | 1000.0",False,False,False,4857,25340.8
"AG-14361 | 10000.0",False,False,False,2421.56,27528.7
"AG-490 (Tyrphostin B42) | 10.0",False,False,False,6601.52,48485.8
"AG-490 (Tyrphostin B42) | 100.0",False,False,False,6640.82,46833.8
"AG-490 (Tyrphostin B42) | 1000.0",False,False,False,2927.11,32109.8
"AG-490 (Tyrphostin B42) | 10000.0",False,False,False,-767.244,14025.7
"AICAR (Acadesine) | 10.0",False,False,False,743.773,19886.2
"AICAR (Acadesine) | 100.0",False,False,False,4984.37,30371.5
"AICAR (Acadesine) | 1000.0",False,False,False,6166.79,36774.5
"AICAR (Acadesine) | 10000.0",False,False,False,9658.25,49798.2
"AMG-900 | 10.0",False,False,False,13169.3,33802.6
"AMG-900 | 100.0",True,False,False,47702.4,102268
"AMG-900 | 10000.0",False,False,False,9102.76,47965.4
"AR-42 | 10.0",False,False,False,7238.73,31142.4
"AR-42 | 100.0",False,False,False,903.744,20703.2
"AR-42 | 1000.0",False,False,False,-512.601,16236.1
"AR-42 | 10000.0",True,False,False,2719.77,22018.7
"AT9283 | 10.0",False,False,False,-802.706,17301.9
"AZ 960 | 10.0",False,False,False,15074.7,60194.2
"AZ 960 | 100.0",False,False,False,-1211.49,13889.1
"AZ 960 | 1000.0",False,False,False,283.288,18125.6
"AZD1480 | 10.0",False,False,False,-1415.94,15768.5
"AZD1480 | 100.0",False,False,False,-2430.81,10712
"Abexinostat (PCI-24781) | 10.0",False,False,False,799.886,18110.6
"Abexinostat (PCI-24781) | 100.0",False,False,False,3997.11,26766.9
"Abexinostat (PCI-24781) | 1000.0",True,False,False,-1570.87,13371.8
"Abexinostat (PCI-24781) | 10000.0",False,False,False,-3252.97,6316.46
