perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"(+)-JQ1 | 10.0",False,False,False,-9302.63,55670.7
"(+)-JQ1 | 100.0",False,False,False,-9908.56,44594.6
"(+)-JQ1 | 1000.0",True,False,False,2841.49,97311.6
"(+)-JQ1 | 10000.0",False,False,False,-15224.4,28722.9
"2-Methoxyestradiol (2-MeOE2) | 10.0",False,False,False,11855.2,201290
"2-Methoxyestradiol (2-MeOE2) | 100.0",False,False,False,-14144.3,39169.5
"2-Methoxyestradiol (2-MeOE2) | 1000.0",False,False,False,-2526.87,74168.3
"A-366 | 10.0",False,False,False,-2876.77,103842
"A-366 | 100.0",False,False,False,-16905.4,50545.9
"A-366 | 1000.0",False,False,False,-5731.93,98366.1
"A-366 | 10000.0",False,False,False,14077.5,142922
"ABT-737 | 10.0",False,False,False,2475.81,120464
"AC480 (BMS-599626) | 10.0",False,False,False,-2631.31,71237.9
"AC480 (BMS-599626) | 100.0",False,False,False,3961.68,52894
"AC480 (BMS-599626) | 1000.0",False,False,False,-11189.7,77977.5
"AG-14361 | 10.0",False,False,False,14034.8,142103
"AG-14361 | 100.0",False,False,False,11259.3,123649
"AG-14361 | 1000.0",False,False,False,10831.2,116726
"AG-14361 | 10000.0",False,False,False,-11493.5,36408.6
"AG-490 (Tyrphostin B42) | 10.0",False,False,False,-21536.8,22533.5
"AG-490 (Tyrphostin B42) | 100.0",False,False,False,-6325.25,47199
"AG-490 (Tyrphostin B42) | 1000.0",False,False,False,-10074.9,45902.4
"AG-490 (Tyrphostin B42) | 10000.0",False,False,False,-657.013,65343.1
"AICAR (Acadesine) | 10.0",False,False,False,12789.9,138171
"AICAR (Acadesine) | 100.0",False,False,False,33521.5,165631
"AICAR (Acadesine) | 1000.0",False,False,False,-3228.4,66788.2
"AICAR (Acadesine) | 10000.0",False,False,False,18006.4,162986
"AMG-900 | 10.0",False,False,False,32561.4,226288
"AMG-900 | 100.0",True,False,False,102212,363574
"AMG-900 | 10000.0",False,False,False,-856.952,81973.8
"AR-42 | 10.0",False,False,False,-22805.5,16448.4
"AR-42 | 100.0",False,False,False,1011.26,83474.6
"AR-42 | 1000.0",False,False,False,32113,173056
"AR-42 | 10000.0",False,False,False,-20319.3,43930.4
"AT9283 | 10.0",False,False,False,51584.8,255866
"AZ 960 | 10.0",False,False,False,-7789.76,34463.1
"AZ 960 | 100.0",False,False,False,-2937.82,71613.6
"AZ 960 | 1000.0",False,False,False,-12553.8,53443.9
"AZD1480 | 10.0",False,False,False,-14654,35213.1
"AZD1480 | 100.0",False,False,False,-17941.9,59697.7
"Abexinostat (PCI-24781) | 10.0",False,False,False,-14331.9,41113.6
"Abexinostat (PCI-24781) | 100.0",True,False,False,-6038.45,78488.1
"Abexinostat (PCI-24781) | 1000.0",False,False,False,-2221.25,108866
"Abexinostat (PCI-24781) | 10000.0",False,False,False,-9865.14,38841.7
"Alendronate sodium trihydrate | 10.0",False,False,False,3223.34,83376.2
"Alisertib (MLN8237) | 10.0",False,False,False,1361.13,38256.4
"Altretamine | 10.0",False,False,False,-6787.84,54950.6
"Altretamine | 100.0",False,False,False,-11588.5,83273.4
"Altretamine | 1000.0",False,False,False,-23950,30654.3
