perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"AAAS",False,False,False,4023.68,20324.3
"AATF",True,False,False,1830.04,10736
"ABCE1",True,False,False,4944.77,9187.49
"ABCF1",False,False,False,772.118,9620.8
"ACTR1B",False,False,False,-1136.84,3597.12
"ACTR2",False,False,False,1035.93,16652.1
"ACTR8",True,False,False,1269.87,9920.31
"AHCTF1",False,False,False,-220.961,7893.02
"ALG1L",False,False,False,1111.76,11675
"ALG2",False,False,False,-1987.21,3420.45
"ALYREF",False,False,False,66.0495,8441.93
"ANAPC15",False,False,False,-970.88,7691.81
"ANAPC2",False,False,False,4792.58,20463.7
"ANKRD11",True,True,True,33182.4,28668.4
"AP2M1",False,False,False,-1082.26,6318.28
"ARCN1",False,False,False,4411.5,11780.3
"ARGLU1",True,False,False,2944.97,18970.7
"ARHGAP11B",False,False,False,-466.064,7805.59
"ARPC2",False,False,False,3057.54,14082
"ARPC4",True,False,False,1881.23,9696.95
"ASF1B",False,False,False,616.213,3901.52
"ATP6V1B2",True,False,False,6278.62,18459.4
"BAP1",False,False,False,3777.65,7938.16
"BCAR1",False,False,False,868.194,7586.02
"BCAS2",True,False,False,5273.25,14401.7
"BCR",True,False,False,987.476,11120.1
"BDP1",True,False,False,6890.36,15096.5
"BGLAP",False,False,False,2609.37,8202.99
"BOP1",False,False,False,454.171,9879.42
"BUB1",False,False,False,422.367,10001.8
"BUB3",False,False,False,3436.26,11171.6
"C1QBP",False,False,False,3753.1,11268.2
"C1orf109",False,False,False,-1902.77,2711.66
"C9orf16",False,False,False,775.441,8828.75
"C9orf78",False,False,False,1186.18,12783.5
"CACNB3",False,False,False,-1590.27,3800.56
"CADM4",False,False,False,-570.729,7054.01
"CASP8AP2",True,False,False,9188.03,21367.2
"CBLN1",False,False,False,347.481,9523.9
"CCDC115",False,False,False,-1253.24,7131.9
"CCDC86",True,False,False,1321.83,14099.4
"CCNK",False,False,False,2656.8,7646.44
"CCT3",True,False,False,2873.83,18707.2
"CCT4",False,False,False,2862,15676.9
"CDC27",False,False,False,78.3038,5180.85
"CDIPT",False,False,False,1800.65,11004.8
"CDK1",True,False,False,9687.97,22285
"CDK11A",False,False,False,-1764.21,4439.18
"CENPJ",True,False,False,4496.41,16835.8
"CEP192",False,False,False,8221.89,22115.6
"CHEK1",False,False,False,5112.59,14786.7
"CHMP6",False,False,False,9545.05,12481.2
"CHMP7",False,False,False,-1291.75,4487.49
"CHORDC1",False,False,False,861.553,12282.4
"CIAO1",False,False,False,2261.92,10482.6
"CKAP5",False,False,False,698.111,6948.69
"CNOT1",True,True,True,19061.4,17307.5
"CNOT3",True,False,False,5856.51,16399.8
"COASY",False,False,False,-230.843,7873.57
"COG2",False,False,False,904.213,8319.81
"COPA",False,False,False,4085.67,18735.1
"COPG1",False,False,False,-1443.3,5436.63
"COPS4",True,False,False,737.671,11295.1
"COPS6",False,False,False,-516.844,6898.83
"COPS8",True,False,False,8254.12,18998.9
"COPZ1",True,False,False,2246.09,11812.6
"CPAMD8",False,False,False,-1930.76,3066.19
"CPSF3",True,False,False,6704.04,9175.68
"CRNKL1",False,False,False,2465.16,9992.38
"CS",False,False,False,-901.418,5069.25
"CSE1L",True,False,False,7827.29,16891.9
"CTR9",True,False,False,2563.21,18269.3
"CUL1",False,False,False,3014,11830.5
"DCTN3",False,False,False,-173.643,5401.08
"DDN",False,False,False,566.743,13185.5
"DDX19B",False,False,False,-155.049,5087.21
"DDX24",True,False,False,2842.64,10861.4
"DDX41",True,False,False,2166,7485.14
"DDX46",False,False,False,2546.76,9857.24
"DDX47",True,False,False,1996.55,13502.7
"DENR",False,False,False,3730.42,19854.5
"DHODH",False,False,False,4684.08,10018.6
"DHX15",True,False,False,11566.9,18022.3
"DHX16",False,False,False,2459.83,12634.4
"DHX36",True,False,False,14537.4,25829.2
"DHX37",True,False,False,134.731,5870.33
"DLD",False,False,False,7196.38,17149.7
"DNAJA1",False,False,False,1166.31,9509.33
"DNAJC19",True,False,False,1317.36,7932.49
"DNAJC8",False,False,False,-96.9005,4106.34
"DNTTIP2",True,False,False,4370.33,19811.5
"DONSON",True,False,False,10022.7,17273.1
"DPH1",False,False,False,5203.78,35785.6
"DRAP1",False,False,False,5619.27,29810.8
"DSN1",True,False,False,3533.07,13276.2
"DYNC1H1",False,False,False,2046.79,12054.3
"DYNC1I2",False,False,False,3784.69,12710.9
"DYNLRB1",False,False,False,3886.5,18341
"EEF2",True,False,False,8270.03,18636.2
"EGLN2",False,False,False,4530.23,21316.7
"EIF2B2",True,False,False,-29.1825,12950.1
"EIF2B4",True,False,False,-701.132,7364.05
"EIF2B5",True,False,False,-506.214,6570.25
"EIF2S1",True,True,True,15680,10770.3
"EIF3A",True,False,False,6553.68,14261.3
"EIF3E",True,False,False,36081.9,40684.9
"EIF3H",True,False,False,10473.5,22682
"EIF3M",True,False,False,10033.7,23987.2
"EIF4E",True,False,False,-412.105,5024.14
"EIF4G1",True,False,False,1586.12,10978.8
"EIF4G2",False,False,False,5899.19,15953.6
"ESPN",False,False,False,424.607,12208.6
"EXOC3",False,False,False,-892.354,6849.11
"EXOSC2",True,False,False,7856.29,20549
"FAM32A",True,False,False,3355.43,8142.63
"FBXO5",False,False,False,12995.4,35999.1
"FCF1",True,False,False,1852.4,12310.6
"FOLR3",False,False,False,1903.12,11261.7
"FTSJ3",True,False,False,1616.27,9303.48
"GAB2",True,False,False,-229.191,7283.76
"GARS",False,False,False,4148.1,13185.4
"GFER",False,False,False,3546.48,17336
"GFM1",True,False,False,5548.13,14550.7
"GNL2",True,False,False,969.06,6163.97
"GOLT1B",False,False,False,4141.17,14573.1
"GON4L",False,False,False,-1683.97,4973.77
"GPN3",True,False,False,2318.66,9496.21
"GPS1",True,False,False,837.62,9845.42
"GTF2H1",True,False,False,2559.38,10711.6
"GTF3C6",False,False,False,-521.312,4826.99
"GUCD1",False,False,False,4412.96,12528.3
"H3F3A",False,False,False,-210.484,8061.94
"HARS",True,False,False,-294.025,4922.02
"HAUS7",False,False,False,1983.78,19184.7
"HEATR1",True,False,False,9922.19,20614.6
"HIRA",False,False,False,6596.87,22382.7
"HIST1H2BL",False,False,False,-127.174,5553.76
"HMGB1",False,False,False,1044.52,12637.1
"HMGCS1",False,False,False,2562.24,9379.49
"HNRNPC",True,False,False,4852.63,6049.58
"HNRNPM",True,False,False,6540.92,30294.9
"HSPA5",True,False,False,6581.25,8392.2
"HSPA8",False,False,False,8230.58,14754.9
"HSPA9",True,False,False,5182.96,15232
"HUS1",False,False,False,842.762,13970.2
"IARS2",True,False,False,7409.24,11573.2
"ICE1",False,False,False,27.5972,9437.35
"IGBP1",False,False,False,4403.27,15443.6
"IK",False,False,False,2633.17,9289.72
"INTS1",False,False,False,2343.83,9893.21
"INTS2",True,False,False,7265.34,25704.8
"INTS8",True,False,False,9288.56,16977.2
"INTS9",True,False,False,7606.68,15724.7
"ISCA2",False,False,False,1608.42,14766.5
"JAZF1",False,False,False,1842.1,7395.1
"KAT8",False,False,False,5744.79,9950.77
"KIF11",False,False,False,-380.611,8109.96
"KPNB1",False,False,False,5966.89,20378.6
"KRR1",True,False,False,-486.664,7562.73
"KRT8",False,False,False,1490.32,13475.8
"LIMS1",False,False,False,-1169.31,3985.45
"LIN54",False,False,False,-1240.19,3458.92
"LSM2",True,False,False,6140.61,13618.7
"LSM5",False,False,False,3398.12,13908.1
"LSM6",True,False,False,9939.11,18198.1
"LTV1",True,False,False,-1225.51,2866.55
"MAD2L2",False,False,False,371.439,11773
"MAGOH",True,False,False,4553.92,15332.4
"MAK16",True,False,False,-1186.85,5258.33
"MBTPS2",False,False,False,1058.83,11907.9
"MCM10",True,False,False,7329.85,13722.5
"MED1",True,False,False,974.726,6585.79
"MED10",True,False,False,5344.45,23333.1
"MED11",True,False,False,4578.36,24260.2
"MED12",True,False,False,3181.15,19224
"MED19",True,False,False,4166.77,21256.3
"MED22",True,False,False,8657.35,18162.2
"MED30",True,False,False,1689.15,7518.58
"MED6",True,False,False,1373.75,9969.39
"MED7",True,False,False,-461.52,8127.17
"METTL1",False,False,False,141.698,4581.53
"MRPL14",True,False,False,3360.9,10354.7
"MRPS35",True,False,False,10516.7,24223.2
"MSRB1",False,False,False,-1364.49,5407.53
"MYCBP",False,False,False,907.777,10508.6
"MZT1",False,False,False,2385.04,8186.94
"NAA38",True,False,False,8462.7,14384.7
"NACA",True,False,False,11683.9,14968.4
"NAGLU",False,False,False,99.7083,7804.09
"NCBP2",True,False,False,3751.62,15500.4
"NCL",False,False,False,853.603,16321
"NDC80",False,False,False,3037.33,13097.9
"NELFCD",False,False,False,4897.8,21545.7
"NFRKB",True,False,False,4114.4,16578.4
"NIFK",True,False,False,5981.62,15226.5
"NIP7",True,False,False,-359.812,6920.2
"NLE1",True,False,False,2028.36,21869.4
"NOL11",True,False,False,5733.13,14794.2
"NRDE2",True,False,False,7782.77,18644.4
"NSRP1",True,False,False,4463.75,26056.2
"NUF2",False,False,False,-242.011,4373.76
"NUMA1",True,False,False,719.443,8172.41
"NUP107",True,False,False,73.495,2980.73
"NUP160",False,False,False,6908.4,33615
