perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"63(mod)_pBA580",False,False,False,914.694,12376.3
"AARS_pDS381",True,False,False,3673.49,18870.3
"AMIGO3_pDS434",False,False,False,1307.72,10370.2
"ARHGAP22_pDS458",False,False,False,7988.28,8505.75
"ASCC3_pDS051",False,False,False,6606.72,28211.1
"ASCC3_pDS052",False,False,False,6327.27,22203.8
"ATF4_pBA608",False,False,False,1045.14,17789.2
"ATP5B_pDS055",True,False,False,8069.17,21979.5
"CAD_pDS468",True,True,True,19218.3,19115.8
"CARS_pDS460",True,False,False,6603.66,33561.2
"CCND3_pDS006",True,False,False,22786.6,24243.3
"CHERP_pDS024",True,False,False,30017.4,37104.5
"COPB1_pDS065",False,False,False,4474.81,15567.4
"COPZ1_pDS462",True,False,False,5326.46,16574.8
"DAD1_pDS499",False,False,False,-299.157,8312.42
"DARS_pDS495",True,False,False,4754.29,15599.6
"DDOST_pDS382",False,False,False,866.898,9273.11
"DDRGK1_pDS041",False,False,False,1798.29,14445.3
"DERL2_pDS042",False,False,False,3471.78,13475.5
"DHDDS_pDS383",True,False,False,5864.93,14909.5
"DNAJC19_pDS026",True,False,False,850.325,12085.4
"DNAJC19_pDS074",True,False,False,9848.24,30501.4
"EIF2B2_pDS463",True,False,False,-2049.1,4571.09
"EIF2B3_pDS508",True,False,False,3872.09,23324.5
"EIF2B4_pDS491",True,False,False,71.3546,19486.9
"EIF2S1_pDS386",True,False,False,12451.2,27347.3
"FARSB_pDS390",True,False,False,9893.71,21189.5
"FECH_pDS494",True,False,False,7133.57,17789.3
"GBF1_pDS043",False,False,False,800.604,5822.56
"GMPPB_pDS391",False,False,False,1309.77,15015.5
"GNPNAT1_pDS506",True,False,False,279.834,6552.97
"HARS_pDS466",True,False,False,3397.88,18756
"HSD17B12_pDS087",True,False,False,14590,16283.3
"HSPA5_pDS017",True,False,False,-812.547,6812.73
"HSPA5_pDS371",True,False,False,-1566.79,5305.61
"HSPA9_pDS088",True,False,False,8267.6,19497.9
"HYOU1_pDS089",False,False,False,5677.33,25659
"IARS2_pDS090",True,False,False,8366.05,33544.8
"IARS2_pDS091",True,False,False,1325.03,9597.58
"IDH3A_pDS393",False,False,False,10348.1,22197.9
"IER3IP1_pDS002",True,False,False,-907.218,8625.25
"IER3IP1_pDS110",False,False,False,2682.53,11319.8
"KCTD16_pDS096",False,False,False,1785.15,14782.9
"MANF_pDS027",False,False,False,4659.49,26923.5
"MARS_pDS394",True,False,False,32864.2,37088.4
"MRGBP_pDS124",False,False,False,11890.3,14100.7
"MRPL39_pDS498",False,False,False,5701.99,18188.8
"MTHFD1_pDS395",True,True,True,31263.6,28783.3
"NEDD8_pDS396",True,False,False,7911.11,10694.7
"OST4_pDS353",False,False,False,2190.04,16461.3
"P4HB_pDS397",False,False,False,4798.87,12434.5
"PDIA6_pDS029",False,False,False,-1456.11,7074.32
"PPWD1_pDS398",True,False,False,12080.8,38264.1
"PSMD4_pDS488",True,True,True,83840.5,65924.5
"PTDSS1_pDS478",False,False,False,290.621,12952.3
"QARS_pDS510",True,False,False,-473.115,7837.11
"SAMM50_pDS156",False,False,False,12764.7,16947.7
"SARS_pDS467",True,False,False,746.101,17211.3
"SCYL1_pDS159",False,False,False,3833.03,20122
"SCYL1_pDS160",False,False,False,1619.01,6678.26
"SEC61A1_pDS031",True,False,False,2343.73,13297.2
"SEC61A1_pDS032",True,False,False,4805.49,26096.5
"SEC61B_pDS033",False,False,False,1026.8,15266.7
"SEC61B_pDS162",False,False,False,1948.81,9582.35
"SEC61G_pDS440",False,False,False,5346.95,12212.9
"SEC63_pDS218",False,False,False,442.822,7329.1
"SEL1L_pDS373",False,False,False,2986.89,31165.5
"SLC35B1_pDS046",False,False,False,583.924,5832.28
"SLC39A7_pDS219",False,False,False,2324.16,6852.94
"SLMO2_pDS433",True,False,False,13170.5,37387.9
"SOCS1_pDS479",False,False,False,1128.68,14510
"SPCS2_pDS401",False,False,False,3047.52,20745.1
"SPCS3_pDS402",True,False,False,4757.81,10700.2
"SRP68_pDS403",False,False,False,2865.34,10370.8
"SRP72_pDS505",False,False,False,3798.21,11308.6
"SRPRB_pDS404",False,False,False,4890.68,23434.1
"SRPR_pDS482",False,False,False,6136.79,26973.7
"STT3A_pDS011",False,False,False,946.394,7330.87
"SYVN1_pDS442",False,False,False,1621.44,18161.8
"TARS_pDS405",True,False,False,4916.04,27601.9
"TELO2_pDS496",False,False,False,10527.2,28397.6
"TIMM23_pDS284",True,False,False,9823.61,30327.3
"TIMM44_pDS430",True,False,False,7427.1,28591.7
"TMED10_pDS036",True,False,False,3531.41,21935.1
"TMED2_pDS175",False,False,False,615.94,14881.4
"TMEM167A_pDS038",True,False,False,825.582,10896.2
"TTI1_pDS407",True,False,False,30245.9,33785.1
"TTI2_pDS408",False,False,False,1655.9,15870.6
"UFL1_pDS410",False,False,False,5825.7,20048.8
"UFM1_pDS040",False,False,False,1427.11,9901.18
"XRN1_pDS411",True,False,False,7483.92,19902.6
"YIPF5_pDS186",False,False,False,-1194.83,7412.81
"YIPF5_pDS226",True,False,False,860.614,14453.7
"nan",False,False,False,721.541,8701.12
