perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"63(mod)_pBA580",False,False,False,925.449,12377.4
"AARS_pDS381",True,False,False,3684.42,18869.7
"AMIGO3_pDS434",False,False,False,1318.52,10371.3
"ARHGAP22_pDS458",False,False,False,7738.83,9439.13
"ASCC3_pDS051",False,False,False,6617.69,28211.7
"ASCC3_pDS052",False,False,False,6338.58,22202.3
"ATF4_pBA608",False,False,False,1055.78,17790
"ATP5B_pDS055",True,False,False,8080.87,21979.5
"CAD_pDS468",True,True,True,19253.8,19113.6
"CARS_pDS460",True,False,False,6614.3,33562.7
"CCND3_pDS006",True,False,False,22805.9,24258.9
"CHERP_pDS024",True,False,False,30035.7,37105.5
"COPB1_pDS065",False,False,False,4885.35,15567.1
"COPZ1_pDS462",True,False,False,5712.68,19050.5
"DAD1_pDS499",False,False,False,-288.322,8312.77
"DARS_pDS495",True,False,False,4964.29,15598.3
"DDOST_pDS382",False,False,False,1031.87,9273.54
"DDRGK1_pDS041",False,False,False,1809.08,14445.2
"DERL2_pDS042",False,False,False,3482.82,13477.9
"DHDDS_pDS383",True,False,False,5877.79,14904
"DNAJC19_pDS026",True,False,False,861.121,12085.7
"DNAJC19_pDS074",True,False,False,9859.32,30501.2
"EIF2B2_pDS463",True,False,False,-2038.08,4571.91
"EIF2B3_pDS508",True,False,False,3882.76,23324.5
"EIF2B4_pDS491",True,False,False,82.4377,19486.2
"EIF2S1_pDS386",True,False,False,12465.2,27346.5
"FARSB_pDS390",True,False,False,9906.02,21183.7
"FECH_pDS494",True,False,False,7144.8,17788.8
"GBF1_pDS043",False,False,False,811.34,5823.26
"GMPPB_pDS391",False,False,False,1320.93,15014.8
"GNPNAT1_pDS506",True,False,False,290.765,6552.21
"HARS_pDS466",True,False,False,3407.92,18756.5
"HSD17B12_pDS087",True,False,False,13591.6,16308.5
"HSPA5_pDS017",True,False,False,-802.43,6812.89
"HSPA5_pDS371",True,False,False,-1556.57,5303.54
"HSPA9_pDS088",True,False,False,8278.49,19499.6
"HYOU1_pDS089",False,False,False,5687.82,25658.2
"IARS2_pDS090",True,False,False,8376.65,33547.5
"IARS2_pDS091",True,False,False,1334.6,9598.95
"IDH3A_pDS393",False,False,False,10273.2,21906.3
"IER3IP1_pDS002",True,False,False,-897.325,8624
"IER3IP1_pDS110",False,False,False,2693.75,11319.9
"KCTD16_pDS096",False,False,False,2456.84,14783.2
"MANF_pDS027",False,False,False,4670.17,26922.3
"MARS_pDS394",True,False,False,32863.2,37092.4
"MRGBP_pDS124",False,False,False,11896.8,14099.2
"MRPL39_pDS498",False,False,False,5715.73,18187.2
"MTHFD1_pDS395",True,True,True,31268.7,28781.5
"NEDD8_pDS396",True,False,False,7926.27,10699.8
"OST4_pDS353",False,False,False,2200.48,16460.6
"P4HB_pDS397",False,False,False,4809.27,12435.7
"PDIA6_pDS029",False,False,False,-1445.81,7075.89
"PPWD1_pDS398",True,False,False,14583.4,37854
"PSMD4_pDS488",True,True,True,83847.4,65925
"PTDSS1_pDS478",False,False,False,302.972,12949.9
"QARS_pDS510",True,False,False,-462.083,7837.33
"SAMM50_pDS156",False,False,False,12775.2,16945.2
"SARS_pDS467",True,False,False,757.645,17210.2
"SCYL1_pDS159",False,False,False,3844.04,20121.2
"SCYL1_pDS160",False,False,False,2558.14,5466.02
"SEC61A1_pDS031",True,False,False,2355.54,13297.5
"SEC61A1_pDS032",True,False,False,4818.27,26099.6
"SEC61B_pDS033",False,False,False,1037.7,15266.2
"SEC61B_pDS162",False,False,False,1959.47,9580.52
"SEC61G_pDS440",False,False,False,5477.44,12235.7
"SEC63_pDS218",False,False,False,453.328,7329.08
"SEL1L_pDS373",False,False,False,2997.73,31164.9
"SLC35B1_pDS046",False,False,False,2970.34,21509.9
"SLC39A7_pDS219",False,False,False,2334.03,6854.38
"SLMO2_pDS433",True,False,False,13181.7,37387.6
"SOCS1_pDS479",False,False,False,1139.51,14509.1
"SPCS2_pDS401",False,False,False,3058.73,20744.4
"SPCS3_pDS402",True,False,False,4768.84,10700.8
"SRP68_pDS403",False,False,False,2877.22,10370.9
"SRP72_pDS505",False,False,False,3809.34,11306.6
"SRPRB_pDS404",False,False,False,6450.41,24607.7
"SRPR_pDS482",False,False,False,6148.1,26973.4
"STT3A_pDS011",False,False,False,957.114,7331.65
"SYVN1_pDS442",False,False,False,1632.34,18163.7
"TARS_pDS405",True,False,False,1200.54,19359.9
"TELO2_pDS496",False,False,False,10538,28396.7
"TIMM23_pDS284",True,False,False,9834.41,30327.6
"TIMM44_pDS430",True,False,False,7438.39,28591
"TMED10_pDS036",True,False,False,3542.69,21936.2
"TMED2_pDS175",False,False,False,626.273,14881.2
"TMEM167A_pDS038",True,False,False,836.883,10898.1
"TTI1_pDS407",True,False,False,30527.5,34169.1
"TTI2_pDS408",False,False,False,1666.13,15870.3
"UFL1_pDS410",False,False,False,5837.13,20050.7
"UFM1_pDS040",False,False,False,1437.58,9899.06
"XRN1_pDS411",True,False,False,7493.09,19901.8
"YIPF5_pDS186",False,False,False,-1138.43,7348.74
"YIPF5_pDS226",True,False,False,871.686,14453.8
