perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"AHR",True,False,False,6755.32,25437.5
"AHR_FEV",True,False,False,17347.1,26927.2
"AHR_KLF1",True,False,False,13192.6,15922.8
"ARID1A",True,False,False,3185.72,9190.79
"ARRDC3",True,False,False,-148.855,4448.63
"ATL1",True,False,False,7354.26,15752.5
"BAK1",False,False,False,-293.012,11160.7
"BCL2L11",False,False,False,69.4128,14844
"BCL2L11_TGFBR2",False,False,False,3526.92,14095.2
"BCORL1",False,False,False,-853.552,4773.13
"BPGM",False,False,False,8234.98,27651.2
"BPGM_SAMD1",True,False,False,4501.58,18923
"BPGM_ZBTB1",True,False,False,1748.37,5520.47
"C19orf26",False,False,False,13772.6,50606.1
"C3orf72",True,False,False,18127.1,51439
"CBFA2T3",False,False,False,406.939,10044.9
"CBL",False,False,False,7604.7,20601.3
"CBL_CNN1",True,False,False,2994.82,16690.5
"CBL_PTPN12",True,False,False,2698.82,14078
"CBL_PTPN9",True,False,False,1829.49,13467.1
"CBL_UBASH3B",True,False,False,2778.27,18596.7
"CDKN1A",True,False,False,6581.4,28231.9
"CDKN1B",True,False,False,8989.99,35838.5
"CDKN1C",True,False,False,7206.81,38414.7
"CEBPA",True,False,False,18507.9,33193.8
"CEBPB",True,False,False,7288.28,33219.1
"CEBPB_MAPK1",True,False,False,2157.11,23999.6
"CEBPB_OSR2",True,False,False,10702.6,54056
"CEBPB_PTPN12",True,False,False,3352.95,13680
"CEBPE",True,False,False,2693.15,20017.9
"CEBPE_CNN1",True,False,False,5139.19,18910.9
"CEBPE_KLF1",False,False,False,4889.86,10042.8
"CEBPE_PTPN12",False,False,False,4435.42,44907.9
"CEBPE_RUNX1T1",True,False,False,818.898,7473.1
"CELF2",False,False,False,2528.33,13565.3
"CITED1",True,False,False,19012,38313.9
"CKS1B",True,False,False,4968.74,20496.3
"CLDN6",True,False,False,9318.96,23296.8
"CNN1",True,False,False,7403.78,28165.8
"CNN1_MAPK1",False,False,False,5847.38,7220.33
"CNNM4",True,False,False,5611.7,10679.5
"COL1A1",True,False,False,17969.9,52026.6
"COL2A1",False,False,False,13037.8,27652.8
"CSRNP1",False,False,False,2252.54,11141.3
"DLX2",True,False,False,3375.54,14718.8
"DUSP9",True,False,False,217.629,15246.4
"DUSP9_ETS2",True,False,False,1204.92,13619
"DUSP9_IGDCC3",True,False,False,-153.349,11611.6
"DUSP9_KLF1",True,False,False,11670.5,26322.8
"DUSP9_MAPK1",True,False,False,6899.69,18631.6
"DUSP9_PRTG",True,False,False,1183.54,9799.62
"EGR1",True,False,False,7220.1,21482
"ELMSAN1",False,False,False,1425.53,10743.3
"ETS2",True,False,False,7.81572,11581.1
"ETS2_CEBPE",True,False,False,1165.6,13793.1
"ETS2_CNN1",True,False,False,2892.92,15198.8
"ETS2_IGDCC3",False,False,False,5799.25,23524.3
"ETS2_IKZF3",True,False,False,2506.18,16781.1
"ETS2_MAP7D1",False,False,False,12220.8,45638.7
"ETS2_MAPK1",True,False,False,8712.46,22043.2
"ETS2_PRTG",True,False,False,1322.23,15654
"FEV",True,False,False,8591.39,32842.7
"FEV_ISL2",True,False,False,22234,44065.8
"FEV_MAP7D1",True,False,False,13440.2,15104
"FOSB",False,False,False,6155.95,22187.6
