perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A1CF",True,False,False,24.1966,700.435
"AAAS",True,False,False,365.785,1616.86
"ABCA2",False,False,False,80.6723,704.939
"ABCA3",True,False,False,-225.739,430.833
"ABCA7",False,False,False,-179.685,718.227
"ABCB10",False,False,False,-69.3561,928.658
"ABCC10",False,False,False,182.061,1725.04
"ABCD1",True,False,False,-158.51,656.074
"ABCF2",False,False,False,51.8208,972.575
"ABCG1",False,False,False,-265.013,492.831
"ABHD13",False,False,False,-189.313,449.317
"ABHD16B",False,False,False,-45.6239,580.811
"ABHD17A",False,False,False,377.496,1481.85
"ABHD17C",True,False,False,180.784,931.475
"ABHD4",True,False,False,-47.7529,899.493
"ABL2",True,False,False,8.56565,808.203
"ABRAXAS1",True,False,False,30.4532,908.627
"ABRAXAS2",False,False,False,-46.248,731.258
"ACAA2",True,False,False,97.4388,1058.46
"ACACB",False,False,False,141.879,571.268
"ACAD8",False,False,False,114.764,1231.23
"ACAP3",False,False,False,-167.067,453.27
"ACBD5",True,False,False,-139.64,682.206
"ACHE",False,False,False,-223.769,436.947
"ACOT2",False,False,False,104.374,1146.29
"ACOT8",False,False,False,136.222,1271.85
"ACSF3",False,False,False,509.592,1250.04
"ACSL3",False,False,False,42.8707,1592.31
"ACSM2A",True,False,False,-232.651,335.074
"ACSM4",False,False,False,-159.947,503.576
"ACSM5",True,False,False,-137.04,666.689
"ACSS1",True,False,False,-82.1421,877.943
"ACSS2",False,False,False,-121.813,752.107
"ACSS3",False,False,False,38.6551,1075.26
"ACTA1",False,False,False,-9.61042,941.878
"ACTB",False,False,False,188.183,787.568
"ACTR1B",False,False,False,-128.158,549.384
"ACTR3B",False,False,False,360.084,2365.14
"ACVR1B",False,False,False,-100.954,615.747
"ACVR2A",True,False,False,116.875,2243.78
"ADAL",True,False,False,-154.426,352.233
"ADAM10",False,False,False,352.287,2146.45
"ADAM15",True,False,False,-31.9251,1114.85
"ADAM17",True,False,False,-24.9115,1206.39
"ADAM19",True,False,False,-189.844,830.112
"ADAM8",False,False,False,-135.074,559.544
"ADAMTS1",False,False,False,164.119,1212.13
"ADAMTS13",True,False,False,51.4598,1676.81
"ADAR",False,False,False,-165.376,480.707
"ADCY5",True,False,False,820.717,3123.72
"ADGRA3",False,False,False,389.191,2187.72
"ADGRL2",True,False,False,-128.705,749.728
"ADH5",False,False,False,-5.88834,1366.38
"ADI1",False,False,False,137.632,1220.56
"ADIPOR2",False,False,False,173.102,1469.37
"ADM5",True,False,False,23.3819,737.224
