perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"AHR",True,False,False,6752.28,25452.1
"AHR_FEV",True,False,False,17341.2,26913.4
"AHR_KLF1",True,False,False,13180.8,15934.9
"ARID1A",True,False,False,3171.77,9174.82
"ARRDC3",True,False,False,830.128,9457.09
"ATL1",True,False,False,7353.5,15760.2
"BAK1",False,False,False,-291.958,11161.7
"BCL2L11",False,False,False,64.2054,14849
"BCL2L11_TGFBR2",False,False,False,3528.88,14092.7
"BCORL1",False,False,False,-846.209,4779.67
"BPGM",False,False,False,8235.93,27678.6
"BPGM_SAMD1",True,False,False,4484.11,18976.7
"BPGM_ZBTB1",True,False,False,1755.11,5534.72
"C19orf26",False,False,False,13764.7,50610.5
"C3orf72",True,False,False,18126.4,51426.8
"CBFA2T3",False,False,False,546.711,10036.9
"CBL",False,False,False,8221.31,20610.4
"CBL_CNN1",True,False,False,2997.79,16689.9
"CBL_PTPN12",True,False,False,2693.53,14070.6
"CBL_PTPN9",True,False,False,1839.32,13484.3
"CBL_UBASH3B",True,False,False,2780.22,18568.6
"CDKN1A",True,False,False,6584.15,28235.8
"CDKN1B",True,False,False,8990.21,35848.1
"CDKN1C",True,False,False,7214.28,38448.9
"CEBPA",True,False,False,18500.3,33212
"CEBPB",True,False,False,7279.73,33200.2
"CEBPB_MAPK1",True,False,False,2159.9,23982.8
"CEBPB_OSR2",True,False,False,10704.2,54065.8
"CEBPB_PTPN12",True,False,False,3346.33,13665
"CEBPE",True,False,False,2692.5,20030.7
"CEBPE_CNN1",True,False,False,5139.08,18915.6
"CEBPE_KLF1",False,False,False,4872.96,10030.5
"CEBPE_PTPN12",False,False,False,4434.53,44914.4
"CEBPE_RUNX1T1",True,False,False,822.634,7455.89
"CELF2",False,False,False,2527.28,13547
"CITED1",True,False,False,19008,38328.8
"CKS1B",True,False,False,4946.01,20476.6
"CLDN6",True,False,False,9310.55,23314.2
"CNN1",True,False,False,7156.04,28624
"CNN1_MAPK1",False,False,False,6102.93,7040.47
"CNNM4",True,False,False,5613.68,10680.9
"COL1A1",True,False,False,17978,51997.9
"COL2A1",False,False,False,13040,27642.8
"CSRNP1",False,False,False,2259.88,11157.4
"DLX2",True,False,False,3371.35,14724.7
"DUSP9",True,False,False,214.662,15242.9
"DUSP9_ETS2",True,False,False,1202.02,13624.2
"DUSP9_IGDCC3",True,False,False,-152.633,11603.5
"DUSP9_KLF1",True,False,False,11663.9,26329.5
"DUSP9_MAPK1",True,False,False,6889.57,18627.6
"DUSP9_PRTG",True,False,False,1193.7,9805.5
"EGR1",True,False,False,7218.03,21484.5
"ELMSAN1",False,False,False,1426.84,10755.8
"ETS2",True,False,False,8.13896,11594.9
"ETS2_CEBPE",True,False,False,1171.28,13802.6
"ETS2_CNN1",True,False,False,3119.14,15581.1
"ETS2_IGDCC3",False,False,False,5805.83,23532.1
"ETS2_IKZF3",True,False,False,2495.42,16751.3
"ETS2_MAP7D1",False,False,False,12220.3,45634.3
"ETS2_MAPK1",True,False,False,8707.53,22056.5
"ETS2_PRTG",True,False,False,1328.84,15642.5
"FEV",True,False,False,8578.03,32841.6
"FEV_ISL2",True,False,False,22222.1,44069.2
"FEV_MAP7D1",True,False,False,13421.7,15097.5
"FOSB",False,False,False,6150.11,22187.8
"FOSB_IKZF3",True,False,False,5214.04,21155.6
"FOSB_OSR2",True,False,False,2725.8,13431.3
"FOSB_PTPN12",False,False,False,3614,21538.7
"FOSB_UBASH3B",False,False,False,5555.02,36856.2
"FOXA1",True,False,False,7730.13,22814.5
"FOXA1_FOXF1",True,False,False,1259.67,10321.3
"FOXA1_HOXB9",True,False,False,11352.6,54319.2
"FOXA3",True,False,False,1285.47,18298.3
"FOXA3_FOXA1",True,False,False,4978.87,23243.5
"FOXA3_HOXB9",True,False,False,4723.05,21005.1
"FOXF1",False,False,False,1553.21,15668.2
"FOXF1_HOXB9",True,False,False,3901.56,21947.1
"FOXL2",True,False,False,4257.82,21083.7
"FOXO4",True,False,False,5476.81,10272.5
"GLB1L2",False,False,False,2120.03,10901.4
"HK2",True,False,False,4526.35,22415.1
"HNF4A",True,False,False,6208.95,18604.4
"HOXA13",True,False,False,8131.92,25282.6
"HOXB9",True,False,False,5064.85,9861.46
"HOXC13",True,False,False,2874.9,18597.7
"IER5L",True,False,False,9593.55,24272.8
"IGDCC3",False,False,False,9450.87,26247.7
"IGDCC3_MAPK1",False,False,False,-1658.37,9191.12
"IKZF3",True,False,False,6103.41,31431.1
"IRF1",False,False,False,8155.13,11118.7
"IRF1_SET",True,False,False,12776.6,41898.9
"ISL2",False,False,False,2710.03,25175.8
"JUN",True,False,False,6240.31,21411.4
"KIAA1804",True,False,False,1686.93,12441.6
"KIF18B",True,False,False,3968.23,17273.5
"KIF2C",False,False,False,252.585,8954.96
"KLF1",False,False,False,5828.95,14491.2
"KLF1_BAK1",False,False,False,5491.36,15780.5
"KLF1_CEBPA",True,False,False,7255.55,23169.7
"KLF1_CLDN6",True,False,False,12757.3,22823.8
"KLF1_COL2A1",False,False,False,26736.4,55840
"KLF1_FOXA1",True,False,False,6422.66,18719.7
"KLF1_MAP2K6",True,False,False,10785.1,38147.6
"KLF1_TGFBR2",False,False,False,8295.18,17975
"KMT2A",True,False,False,108.396,11854.3
"LHX1",True,False,False,2798.88,13638
"LHX1_ELMSAN1",True,False,False,950.969,18077.5
"LYL1",False,False,False,2037.35,12719.8
"LYL1_IER5L",True,False,False,3901.49,9877.4
"MAML2",False,False,False,1925.9,13134.6
"MAP2K3",True,False,False,10805.7,57242
"MAP2K3_ELMSAN1",True,False,False,13619.5,36863.9
"MAP2K3_IKZF3",True,False,False,21066.6,34736.7
"MAP2K3_MAP2K6",False,False,False,7862.67,29526.8
"MAP2K3_SLC38A2",False,False,False,14805.8,45127.9
"MAP2K6",False,False,False,12835,37076.9
"MAP2K6_ELMSAN1",True,False,False,8874.71,27468.2
"MAP2K6_IKZF3",True,False,False,20617.1,39292.4
"MAP2K6_SPI1",False,False,False,9518.9,26137.2
"MAP4K3",False,False,False,2997.04,26110.4
"MAP4K5",False,False,False,-7.84787,12777.5
"MAP7D1",False,False,False,10798,35297.5
"MAPK1",True,False,False,-507.719,14139.8
"MAPK1_IKZF3",True,False,False,4123.58,17519.2
"MAPK1_PRTG",False,False,False,-32.0668,15120.5
"MAPK1_TGFBR2",True,False,False,-48.9884,9173
"MEIS1",True,False,False,10694.5,31864.7
"MIDN",True,False,False,4698.6,23648.5
"NCL",False,False,False,1822.46,13263.5
"OSR2",False,False,False,2416.07,15185.9
"POU3F2",True,False,False,6332.86,19755.9
"POU3F2_CBFA2T3",True,False,False,-210.277,11063.3
"POU3F2_FOXL2",True,False,False,5287.79,15837.1
"PRDM1",True,False,False,7143.5,22834.8
"PRTG",True,False,False,7829.36,19000.7
"PTPN1",True,False,False,7078.93,24622.3
"PTPN12",True,False,False,3797.12,11874.5
"PTPN12_OSR2",False,False,False,4064.34,11687.6
"PTPN12_PTPN9",True,False,False,1205.42,9925.15
"PTPN12_SNAI1",True,False,False,5761.57,20722.7
"PTPN12_UBASH3A",True,False,False,1998.98,19077.7
"PTPN12_ZBTB25",True,False,False,2385.52,13751.6
"PTPN13",False,False,False,10869.7,39438.2
"PTPN9",True,False,False,1792.94,19261.4
"RHOXF2",True,False,False,12492.3,26764.5
"RHOXF2_SET",True,True,True,33165.4,30235.7
"RHOXF2_ZBTB25",True,False,False,14495.9,36463.9
"RREB1",True,False,False,1355.15,11912
"RUNX1T1",False,False,False,5790.18,11927.4
"S1PR2",False,False,False,1806.38,9900.4
"SAMD1",True,False,False,12761,35844.7
"SAMD1_PTPN12",True,False,False,8209.54,46775
"SAMD1_UBASH3B",True,False,False,9314.06,13674.8
"SET",True,False,False,9220.08,27078.6
"SET_CEBPE",True,False,False,9809.31,19246.3
"SET_KLF1",True,False,False,12524.9,17524.1
"SGK1",True,False,False,4298.39,26218.2
"SGK1_S1PR2",True,False,False,802.238,7199.2
"SGK1_TBX2",True,False,False,20367.8,46724
"SGK1_TBX3",True,False,False,13530.8,17842.7
"SLC38A2",False,False,False,4939.97,16876.4
"SLC4A1",False,False,False,4360.12,18674
"SLC6A9",False,False,False,11730.5,27045.3
"SNAI1",True,False,False,8245.27,32066.4
"SNAI1_UBASH3B",True,False,False,14013.2,44765.2
"SPI1",True,False,False,6284.69,14105.4
"STIL",False,False,False,670.951,8814.42
"TBX2",True,False,False,4962.27,26541.7
"TBX3",True,False,False,8282.13,20378.4
"TBX3_TBX2",True,False,False,15424.4,34454.7
"TGFBR2",False,False,False,4758.84,22714.9
"TGFBR2_C19orf26",True,False,False,9843.75,20642.6
"TGFBR2_ETS2",False,False,False,761.875,14375
"TGFBR2_IGDCC3",True,False,False,4195.94,15660.5
"TGFBR2_PRTG",True,False,False,3287.73,13487.8
"TMSB4X",True,False,False,-237.25,13270.3
"TMSB4X_BAK1",True,False,False,-237.25,13270.3
"TP73",True,False,False,22067.1,49614.6
"TSC22D1",False,False,False,2005.43,8729.29
"UBASH3A",False,False,False,3283.82,13983.3
"UBASH3B",False,False,False,2498.25,14117.2
"UBASH3B_CNN1",True,False,False,199.778,15868.1
"UBASH3B_OSR2",False,False,False,4309.4,23176.6
"UBASH3B_PTPN12",True,False,False,6480.3,12819.2
