perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"AHR",True,False,False,6755.34,25437.7
"AHR_FEV",True,False,False,17347,26926.9
"AHR_KLF1",True,False,False,13192.6,15922.9
"ARID1A",True,False,False,3185.7,9190.86
"ARRDC3",True,False,False,-148.851,4448.7
"ATL1",True,False,False,7354.24,15752.6
"BAK1",False,False,False,-293.01,11160.8
"BCL2L11",False,False,False,69.4077,14844
"BCL2L11_TGFBR2",False,False,False,3526.95,14095.3
"BCORL1",False,False,False,-853.557,4773.16
"BPGM",False,False,False,8235.05,27651.4
"BPGM_SAMD1",True,False,False,4501.54,18923.1
"BPGM_ZBTB1",True,False,False,1748.32,5520.44
"C19orf26",False,False,False,13772.6,50606.6
"C3orf72",True,False,False,18127.1,51439.3
"CBFA2T3",False,False,False,406.929,10045
"CBL",False,False,False,7604.71,20601.4
"CBL_CNN1",True,False,False,2994.88,16690.7
"CBL_PTPN12",True,False,False,2698.85,14078.1
"CBL_PTPN9",True,False,False,1829.48,13467.1
"CBL_UBASH3B",True,False,False,2778.29,18596.8
"CDKN1A",True,False,False,6581.45,28232.1
"CDKN1B",True,False,False,8990.04,35838.7
"CDKN1C",True,False,False,7206.83,38414.9
"CEBPA",True,False,False,18508,33194.1
"CEBPB",True,False,False,7288.27,33219.3
"CEBPB_MAPK1",True,False,False,2157.09,23999.6
"CEBPB_OSR2",True,False,False,10702.7,54056.4
"CEBPB_PTPN12",True,False,False,3352.93,13680.2
"CEBPE",True,False,False,2693.17,20018
"CEBPE_CNN1",True,False,False,5139.18,18910.9
"CEBPE_KLF1",False,False,False,4889.87,10042.9
"CEBPE_PTPN12",False,False,False,4435.46,44908.2
"CEBPE_RUNX1T1",True,False,False,818.865,7473.03
"CELF2",False,False,False,2528.35,13565.4
"CITED1",True,False,False,19011.9,38313.8
"CKS1B",True,False,False,4968.75,20496.4
"CLDN6",True,False,False,9318.89,23296.8
"CNN1",True,False,False,7403.76,28165.9
"CNN1_MAPK1",False,False,False,5847.39,7220.45
"CNNM4",True,False,False,5611.76,10679.6
"COL1A1",True,False,False,17969.9,52026.9
"COL2A1",False,False,False,13037.8,27653
"CSRNP1",False,False,False,2252.54,11141.3
"DLX2",True,False,False,3375.55,14718.9
"DUSP9",True,False,False,217.6,15246.3
"DUSP9_ETS2",True,False,False,1204.97,13619.1
"DUSP9_IGDCC3",True,False,False,-153.4,11611.6
"DUSP9_KLF1",True,False,False,11670.6,26323.1
"DUSP9_MAPK1",True,False,False,6899.75,18631.7
"DUSP9_PRTG",True,False,False,1183.56,9799.76
"EGR1",True,False,False,7220.14,21482.2
"ELMSAN1",False,False,False,1425.5,10743.3
"ETS2",True,False,False,7.80383,11581.1
"ETS2_CEBPE",True,False,False,1165.61,13793.1
"ETS2_CNN1",True,False,False,2892.89,15198.9
"ETS2_IGDCC3",False,False,False,5799.24,23524.3
"ETS2_IKZF3",True,False,False,2506.17,16781.2
"ETS2_MAP7D1",False,False,False,12220.9,45639.1
"ETS2_MAPK1",True,False,False,8712.47,22043.2
"ETS2_PRTG",True,False,False,1322.2,15653.9
"FEV",True,False,False,8591.4,32842.6
"FEV_ISL2",True,False,False,22233.9,44065.3
"FEV_MAP7D1",True,False,False,13440.2,15104.1
"FOSB",False,False,False,6156,22187.7
"FOSB_IKZF3",True,False,False,5216.09,21187.3
"FOSB_OSR2",True,False,False,2729.85,13425.5
"FOSB_PTPN12",False,False,False,3615.49,21542.3
"FOSB_UBASH3B",False,False,False,5558.34,36874.9
"FOXA1",True,False,False,7735.1,22800.6
"FOXA1_FOXF1",True,False,False,1262.6,10309.7
"FOXA1_HOXB9",True,False,False,11352.4,54326.2
"FOXA3",True,False,False,1285.21,18271.9
"FOXA3_FOXA1",True,False,False,4978.87,23252.2
"FOXA3_HOXB9",True,False,False,4723.46,21017.4
"FOXF1",False,False,False,1550.37,15657.8
"FOXF1_HOXB9",True,False,False,3901.22,21949.6
"FOXL2",True,False,False,4263.86,21103.6
"FOXO4",True,False,False,5484.34,10303.4
"GLB1L2",False,False,False,1716.6,9872.45
"HK2",True,False,False,4529.3,22429.6
"HNF4A",True,False,False,6262.07,18521.1
"HOXA13",True,False,False,8138.52,25260.1
"HOXB9",True,False,False,5067.51,9864.22
"HOXC13",True,False,False,2873.02,18601.2
"IER5L",True,False,False,9595,24258.6
"IGDCC3",False,False,False,9255.7,26239.8
"IGDCC3_MAPK1",False,False,False,-1662.85,9188.01
"IKZF3",True,False,False,6109.27,31431.6
"IRF1",False,False,False,7915.39,11048.3
"IRF1_SET",True,False,False,12769.4,41903.8
"ISL2",False,False,False,2708.98,25185.1
"JUN",True,False,False,6242.45,21418.9
"KIAA1804",True,False,False,1639.54,12442.8
"KIF18B",True,False,False,3960.91,17265.3
"KIF2C",False,False,False,-323.62,10260.2
"KLF1",False,False,False,5835.75,14508.6
"KLF1_BAK1",False,False,False,5495.78,15766.1
"KLF1_CEBPA",True,False,False,7265.88,23182
"KLF1_CLDN6",True,False,False,12777.4,22787.7
"KLF1_COL2A1",False,False,False,26755.1,55840.2
"KLF1_FOXA1",True,False,False,6452.33,18711.2
"KLF1_MAP2K6",True,False,False,10795.1,38147.4
"KLF1_TGFBR2",False,False,False,8315.83,18012.6
"KMT2A",True,False,False,111.024,11852.3
"LHX1",True,False,False,2798.75,13640.5
"LHX1_ELMSAN1",True,False,False,952.727,18068.4
"LYL1",False,False,False,2036.17,12731.6
"LYL1_IER5L",True,False,False,3903.61,9876.83
"MAML2",False,False,False,1926.81,13136
"MAP2K3",True,False,False,10800.7,57243.7
"MAP2K3_ELMSAN1",True,False,False,13606.8,36835.9
"MAP2K3_IKZF3",True,False,False,21062,34735.3
"MAP2K3_MAP2K6",False,False,False,7856.32,29508.3
"MAP2K3_SLC38A2",False,False,False,14800.3,45124.9
"MAP2K6",False,False,False,12831.7,37081.6
"MAP2K6_ELMSAN1",True,False,False,8871.38,27479
"MAP2K6_IKZF3",True,False,False,20618.1,39294.4
"MAP2K6_SPI1",False,False,False,9558.72,26124.7
"MAP4K3",False,False,False,3005.48,26112.5
"MAP4K5",False,False,False,-10.008,12797.1
"MAP7D1",False,False,False,10800.4,35300
"MAPK1",True,False,False,-514.163,14144.7
"MAPK1_IKZF3",True,False,False,4123.66,17522.2
"MAPK1_PRTG",False,False,False,-36.6706,15126.9
"MAPK1_TGFBR2",True,False,False,-52.9037,9169.77
"MEIS1",True,False,False,10698.8,31867.2
"MIDN",True,False,False,4321.41,23114.3
"NCL",False,False,False,1823.3,13255.1
"OSR2",False,False,False,2425.03,15185.2
"POU3F2",True,False,False,6335.41,19758.2
"POU3F2_CBFA2T3",True,False,False,-210.269,11061.9
"POU3F2_FOXL2",True,False,False,5286.17,15836.1
"PRDM1",True,False,False,7142.33,22843.7
"PRTG",True,False,False,7822.95,18952.3
"PTPN1",True,False,False,7079.48,24612
"PTPN12",True,False,False,3795.28,11879.7
"PTPN12_OSR2",False,False,False,4065.23,11675
"PTPN12_PTPN9",True,False,False,1066.02,9186.91
"PTPN12_SNAI1",True,False,False,5765.53,20736.7
"PTPN12_UBASH3A",True,False,False,2001.16,19087.5
"PTPN12_ZBTB25",True,False,False,2389.39,13745.4
"PTPN13",False,False,False,10880.1,39433.1
"PTPN9",True,False,False,1797.84,19271.3
"RHOXF2",True,False,False,12488.8,26773.2
"RHOXF2_SET",True,True,True,33173.7,30235.9
"RHOXF2_ZBTB25",True,False,False,14489.6,36485.4
"RREB1",True,False,False,1367.04,11925.9
"RUNX1T1",False,False,False,5790,11924.8
"S1PR2",False,False,False,1495.05,9952.02
"SAMD1",True,False,False,13315.2,35833.5
"SAMD1_PTPN12",True,False,False,8201.79,46798.2
"SAMD1_UBASH3B",True,False,False,9308.58,13679
"SET",True,False,False,9214.14,27085.8
"SET_CEBPE",True,False,False,9804.6,19244
"SET_KLF1",True,False,False,12459.4,17698.3
"SGK1",True,False,False,4280.6,26230.4
"SGK1_S1PR2",True,False,False,798.41,7213.18
"SGK1_TBX2",True,False,False,20369,46719.4
"SGK1_TBX3",True,False,False,13478.7,17838.3
"SLC38A2",False,False,False,4936.06,16891.5
"SLC4A1",False,False,False,4382.38,18668.1
"SLC6A9",False,False,False,11744.4,27069.6
"SNAI1",True,False,False,8254.14,32081
"SNAI1_UBASH3B",True,False,False,14012.8,44765.1
"SPI1",True,False,False,6290.39,14109
"STIL",False,False,False,675.872,8809.57
"TBX2",True,False,False,4650,28573.7
"TBX3",True,False,False,8257.39,20382.8
"TBX3_TBX2",True,False,False,15424.8,34449.7
"TGFBR2",False,False,False,4655.53,22550.4
"TGFBR2_C19orf26",True,False,False,9838.08,20652.7
"TGFBR2_ETS2",False,False,False,755.819,14391.5
"TGFBR2_IGDCC3",True,False,False,4189.13,15652.7
"TGFBR2_PRTG",True,False,False,3280.92,13483.1
"TMSB4X",True,False,False,-242.508,13259.9
"TMSB4X_BAK1",True,False,False,-242.508,13259.9
"TP73",True,False,False,22049,49630.3
"TSC22D1",False,False,False,1863.56,8750.59
"UBASH3A",False,False,False,3283.54,13991.4
"UBASH3B",False,False,False,2500.64,14104.2
"UBASH3B_CNN1",True,False,False,197.209,15832.1
"UBASH3B_OSR2",False,False,False,4304.56,23178.3
"UBASH3B_PTPN12",True,False,False,6476.39,12809.9
"UBASH3B_PTPN9",True,False,False,2092.6,17474.4
"UBASH3B_UBASH3A",True,False,False,9145.7,27435.2
"UBASH3B_ZBTB25",True,False,False,-587.378,9976.3
"ZBTB1",True,False,False,10928.7,23201
"ZBTB10_PTPN12",True,False,False,7146.35,15198.4
"ZBTB25",False,False,False,20475.7,59734.8
"ZC3HAV1",False,False,False,1823.42,12778.9
"ZC3HAV1_CEBPE",False,False,False,7064.22,18243.4
"ZC3HAV1_HOXC13",True,False,False,8592.01,17538.2
"ZNF318",False,False,False,9380.38,33806.6
"ZNF318_FOXL2",True,False,False,4985.02,21386.1
