perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A2M",False,False,False,3032.1,19710.7
"ACTA2",False,False,False,3654.04,20675.1
"AEBP1",False,False,False,12673.4,34974.3
"AGA",False,False,False,1321.64,15954.4
"AHNAK",False,False,False,2671.43,14057.9
"APOC2",False,False,False,10466,63776.2
"APOD",False,False,False,-2859.31,9287.36
"APOE",False,False,False,-839.862,11814.1
"ARMC6",False,False,False,3439.56,20721.1
"ATP1B1",False,False,False,4787.6,18426.7
"ATP5MD",True,False,False,-127.164,12388.5
"B2M",False,False,False,7185.44,37300.8
"BOLA2",False,False,False,5748.54,22683.1
"BOLA2B",False,False,False,7448.7,29961.6
"BZW2",False,False,False,-778.634,13153.7
"C19orf48",False,False,False,4423.72,27111
"C6orf226",False,False,False,1533.06,19168.9
"CCND2",False,False,False,4215.53,22251.6
"CCR10",False,False,False,338.198,18256.7
"CD151",False,False,False,3575.65,11063.3
"CD274",False,False,False,1682.57,21969.8
"CD44",False,False,False,2212.41,19681.2
"CD47",False,False,False,-1357.13,9525.74
"CD58",False,False,False,2982,17701.3
"CD59",False,False,False,-1003.67,14960.3
"CD63",False,False,False,2163.4,21653.6
"CDH19",False,False,False,1109.76,13936.8
"CDK4",False,False,False,3242.02,14723.9
"CDKN1A",False,False,False,1719.56,17343.9
"CDKN2A",False,False,False,2543.09,24703.5
"CDKN2B",False,False,False,3330.92,20642.4
"CGAS",False,False,False,314.348,19903.4
"CHCHD2",False,False,False,1439.94,17103
"CITED1",False,False,False,-745.099,15807.9
"CKS1B",False,False,False,6537.84,21460.4
"CMSS1",False,False,False,3239.95,20916.8
"CORO1A",False,False,False,5894.88,24645.5
"CSPG4",False,False,False,383.18,18222.9
"CST3",False,False,False,-1036.02,12882.3
"CTSA",False,False,False,-1112.07,15924.5
"CTSB",False,False,False,-1444.9,13177.5
"CTSD",False,False,False,170.037,26031.5
"CTSL",False,False,False,6464.4,33185.8
"CTSO",False,False,False,4484.81,24625.2
"CXCR4",False,False,False,-103.155,21562.4
"CYP27A1",False,False,False,4474.43,26461.5
"DAG1",False,False,False,3942.91,20774.4
"DDR1",False,False,False,1097.65,22965
"DDX17",False,False,False,6763.59,42623.2
"DDX39A",False,False,False,-149.691,11143.4
"DLL3",False,False,False,4903.5,30461.2
"EEA1",False,False,False,6914.26,25524.5
"EIF3K",True,False,False,1328.51,14819.4
"EMP1",False,False,False,-2015.58,8154.14
"ENPP1",False,False,False,256.23,13271.7
"EVA1A",False,False,False,9360.39,65886.4
"FBXO32",False,False,False,963.523,18260.5
"FGFR1",False,False,False,-1731.59,16142.4
"FKBP4",False,False,False,1603.77,17345.2
"FMN1",False,False,False,1970.54,20775.5
"FOS",False,False,False,-2547.11,15984.1
"FRZB",False,False,False,7175.47,39686.5
"FSTL3",False,False,False,-2238.29,13372.6
"GAA",False,False,False,4236.04,15051.5
"GAS5",False,False,False,1517.85,19332.9
"GPATCH4",False,False,False,2068.59,19516.6
"GPNMB",False,False,False,-317.298,14427.1
"GRN",False,False,False,1933.11,20101.2
"GSN",False,False,False,-629.985,15384.3
"HLA-A",False,False,False,-27.2715,7812.79
"HLA-C",False,False,False,383.263,14610.4
"HLA-DRB5",False,False,False,-301.861,13326
"HLA-E",False,False,False,-788.05,19133.2
"HLA-F",False,False,False,1017.9,15763.4
"HLA-H",False,False,False,2690.46,21735.1
"HNRNPA1",False,False,False,10189.5,21662.7
"HSPA1A",True,False,False,-64.0688,20521.1
"IDH2",False,False,False,999.388,16549.1
"IDI2-AS1",False,False,False,-328.548,13111.1
"IFNGR1",False,False,False,-1461.43,15311
"IFNGR2",False,False,False,407.447,29335.5
"IRF3",False,False,False,-2851.82,10487.3
"IRF4",False,False,False,4386.72,22250.2
"ITGA3",False,False,False,7061.13,20791.3
