perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A2M",False,False,False,3031.85,21225.3
"ACTA2",False,False,False,6329.7,36954.1
"AEBP1",False,False,False,-737.723,9327.7
"AGA",False,False,False,4595.94,21457
"AHNAK",False,False,False,371.663,11992.2
"APOC2",False,False,False,5763.61,23418.8
"APOD",False,False,False,17567.5,26046.6
"APOE",False,False,False,1776.65,14789
"ARMC6",False,False,False,-3987.02,6963.43
"ATP1B1",False,False,False,-3718.21,10020
"B2M",False,False,False,3462.24,15574.1
"BOLA2B",False,False,False,4865.16,20565
"BZW2",False,False,False,5149.68,29893.7
"C19orf48",False,False,False,924.246,22868.3
"C6orf226",False,False,False,3789.61,23618.5
"CCND1",True,False,False,17094.5,45889.6
"CCND2",False,False,False,900.436,12987.1
"CCR10",False,False,False,-109.476,9551.51
"CD151",False,False,False,-9.47273,17577.5
"CD274",False,False,False,-936.86,8556.77
"CD44",False,False,False,3671.88,25793.7
"CD47",False,False,False,11069.1,30002
"CD58",False,False,False,-2759.53,6227.95
"CD59",False,False,False,6593.98,43929.6
"CD63",False,False,False,-1946.41,14006.9
"CDH19",False,False,False,4513.26,31637.8
"CDK4",False,False,False,952.198,27621.1
"CDKN1A",False,False,False,-409.916,12316.5
"CDKN2A",False,False,False,3322.43,27428.6
"CDKN2B",False,False,False,-1789.55,9194.67
"CHCHD2",False,False,False,-696.656,16703.2
"CITED1",False,False,False,312.618,13809.4
"CKS1B",False,False,False,1807.62,14564.3
"CMSS1",False,False,False,1288.28,22198.2
"CORO1A",False,False,False,-1277.11,15782.5
"CSPG4",False,False,False,1078.95,22226.3
"CTSA",False,False,False,1181.22,13985.4
"CTSB",False,False,False,967.347,21077
"CTSD",False,False,False,-263.585,11188.1
"CTSL",False,False,False,-1880.95,13484.7
"CTSO",False,False,False,970.851,17141.4
"CXCR4",False,False,False,-911.442,7923.53
"CYP27A1",False,False,False,4151.4,19108.8
"DAG1",False,False,False,-2435.05,7578.05
"DDR1",False,False,False,850.843,21091.1
"DDX17",False,False,False,-62.9598,12830.6
"DLL3",False,False,False,51.6667,16313.4
"EIF3K",False,False,False,-568.556,14182.2
"EMP1",False,False,False,335.193,14987
"ENPP1",False,False,False,3991.91,16544.6
"EVA1A",False,False,False,-253.123,17055
"FBXO32",False,False,False,2192.79,21102.4
"FGFR1",False,False,False,-376.284,14761.5
"FMN1",False,False,False,-111.615,13393.6
"FOS",False,False,False,3596.32,20071.8
"FSTL3",False,False,False,189.676,20090.3
"GAA",False,False,False,-649.245,17249.8
"GAS5",False,False,False,-2454.4,7231.14
"GPNMB",False,False,False,-34.7425,20541.3
"GSN",False,False,False,-191.899,18175.1
"HLA-A",False,False,False,-2044.07,9984.26
"HLA-DRB5",False,False,False,1433.38,27838
"HLA-E",False,False,False,-1410.02,11421.7
"HLA-F",False,False,False,-2354.69,5254.91
"HLA-H",False,False,False,-1787.65,5235.48
"HSPA1A",False,False,False,6389.45,30697.8
"IDH2",False,False,False,14.492,14198.3
"IDI2-AS1",False,False,False,1876.19,22265.1
"IFNGR1",False,False,False,-2388.14,8786.2
"IFNGR2",False,False,False,2830.25,25647.9
"ITGA3",False,False,False,3311.94,25564
"JAK1",False,False,False,-202.292,13118.1
"JAK2",False,False,False,1665.42,23773.4
"JMJD7",False,False,False,353.944,18673
"KDR",False,False,False,644.039,13605
"KLF4",False,False,False,-788.904,13189.4
"LAMP2",False,False,False,-2981.47,6446.42
"LCP1",False,False,False,-1243.31,8830.49
"LEF1-AS1",False,False,False,3430.69,18557.3
"LINC00518",False,False,False,2457.83,31110.5
"MFGE8",False,False,False,-586.316,15579.9
"NMRK1",False,False,False,-1293.96,8233.14
"NT5E",False,False,False,3555.44,28218.6
"PFDN4",False,False,False,2200.11,15892.5
"PSAP",True,False,False,-3115.7,12062.3
"RTP4",False,False,False,1200.65,19475.4
"SLC22A18",False,False,False,-1976.24,11075.1
