perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A2M",False,False,False,2225.8,11655.9
"ACSL3",False,False,False,195.737,6859.05
"ACTA2",False,False,False,3957.67,17068.7
"AEBP1",False,False,False,3874.18,11849.1
"AGA",False,False,False,1079.19,8149.56
"AHNAK",False,False,False,1839.77,12372.7
"APOC2",False,False,False,228.811,8051.95
"APOD",False,False,False,746.206,6595.24
"APOE",False,False,False,379.013,10366.5
"ARMC6",False,False,False,771.618,8714.91
"ATP1B1",False,False,False,4125.11,10828.1
"ATP5MD",False,False,False,-595.81,5464.95
"B2M",False,False,False,2444.54,9984.72
"BOLA2",False,False,False,5087.39,12036.7
"BOLA2B",False,False,False,-190.688,7807.48
"BZW2",False,False,False,1416.1,5876.69
"C19orf48",False,False,False,535.688,3070.11
"C1QBP",False,False,False,3673.97,7790.05
"C6orf226",False,False,False,594.768,5789.77
"CCND1",True,False,False,4246.5,10106
"CCND2",False,False,False,1011.46,4667.31
"CCR10",False,False,False,446.815,5239.15
"CD151",False,False,False,-1097.7,4180.49
"CD274",False,False,False,235.226,5831.08
"CD44",False,False,False,-591.119,10101.4
"CD47",False,False,False,2807.95,7455.26
"CD58",False,False,False,1054.19,7319.7
"CD59",False,False,False,466.506,4789.64
"CD63",False,False,False,2324.89,9186.86
"CDH19",False,False,False,2224.97,13325.3
"CDK4",False,False,False,3120.86,12235.3
"CDKN1A",False,False,False,2073.66,9386.76
"CDKN2A",False,False,False,2125.25,9746.38
"CDKN2B",False,False,False,-266.951,6375.87
"CGAS",False,False,False,-995.34,4528.41
"CHCHD2",False,False,False,3249.08,11847
"CITED1",False,False,False,1715.31,10864.6
"CKS1B",False,False,False,959.276,7741.51
"CMSS1",False,False,False,-319.153,3357.77
"CORO1A",False,False,False,943.642,13348.6
"CSPG4",False,False,False,-1.14698,1801.34
"CST3",False,False,False,3279.69,13979.8
"CTSA",False,False,False,-140.833,4595.48
"CTSB",False,False,False,780.825,13199.5
"CTSD",False,False,False,738.124,11380.1
"CTSL",False,False,False,-399.447,5848.12
"CTSO",True,False,False,3582.28,16154.1
"CXCR4",False,False,False,1114.1,7395.82
"CYP27A1",False,False,False,521.919,7788.66
"DAG1",False,False,False,283.399,7565.71
"DDR1",False,False,False,941.016,6544.56
"DDX17",False,False,False,3438.3,19460.6
"DDX39A",False,False,False,1762.67,7325.26
"DLL3",False,False,False,2150.84,5477.92
"E2F1",False,False,False,3762.55,10717.7
"EEA1",False,False,False,1699.2,7796.77
"EIF3K",False,False,False,2137.87,4849.48
"EMP1",False,False,False,1655.1,14856.1
"ENPP1",False,False,False,1547.49,10252
"EVA1A",False,False,False,2457.39,13495.2
"FBXO32",False,False,False,260.196,9343.2
"FGFR1",False,False,False,1319.9,9902.26
"FKBP4",False,False,False,576.616,5764.14
"FMN1",False,False,False,1225.09,9982.02
"FOS",False,False,False,230.88,4844.36
"FRZB",False,False,False,649.672,7103.48
"FSTL3",False,False,False,2638.69,12791.7
"GAA",False,False,False,785.194,6293.95
"GAS5",False,False,False,422.626,11922.9
"GPATCH4",False,False,False,1997.84,14728
"GPNMB",False,False,False,3386.11,13313
"GRN",False,False,False,1886.56,5606.94
"GSN",False,False,False,140.579,5003.24
"HASPIN",False,False,False,771.331,6496.3
"HLA-A",False,False,False,1555.79,6528.89
"HLA-B",False,False,False,-664.195,3298.62
"HLA-C",False,False,False,347.259,7116.71
"HLA-DRB5",False,False,False,-356.932,6500.22
"HLA-E",False,False,False,2184.34,9053.37
"HLA-F",False,False,False,262.262,5415.62
"HLA-H",False,False,False,99.3064,5299.99
"HNRNPA1",False,False,False,467.431,8248.86
"HSPA1A",False,False,False,2715.47,12602.7
"IDH2",False,False,False,2457.5,11765.3
"IDI2-AS1",False,False,False,219.818,6248.88
"IFNGR1",False,False,False,1769.92,8525.91
"IFNGR2",False,False,False,1713.43,8725.2
"IRF3",False,False,False,-966.995,3454.69
"IRF4",False,False,False,1211.85,12043.2
"ISYNA1",False,False,False,132.193,7928.81
"ITGA3",False,False,False,146.83,4440.61
"JAK1",False,False,False,1817.95,7931.09
"JAK2",False,False,False,989.671,3466.62
"JMJD7",False,False,False,-781.698,7417.25
"KCNN4",False,False,False,741.535,14959.6
"KDR",False,False,False,128.172,4138.76
"KLF4",False,False,False,-807.567,3777.11
"LAMP2",False,False,False,-415.57,4033.31
"LCP1",False,False,False,-549.143,6712.16
"LEF1-AS1",False,False,False,540.042,4684.38
"LGALS3",False,False,False,3150.72,21623.6
"LGALS3BP",False,False,False,335.596,8441.53
"LINC00518",False,False,False,1230.51,10532.1
"LRPAP1",False,False,False,2553.64,10605.7
"LY96",False,False,False,1007.22,8810.09
"MC1R",False,False,False,181.38,6809.38
"MDH2",False,False,False,2623.67,3661.03
"MFGE8",False,False,False,-119.137,5980.52
"MIA",False,False,False,823.032,5798.89
"MT2A",False,False,False,1942.43,9012.19
"NEAT1",False,False,False,850.157,6999.22
"NGFR",False,False,False,-256.211,7297.2
"NME1",True,False,False,1293.77,15930.8
"NMRK1",False,False,False,-389.724,6353.01
"NONO",False,False,False,1474.35,11836.1
"NPC1",False,False,False,2195.22,13614.1
"NPC2",False,False,False,1461.73,3584.67
"NSG1",False,False,False,-389.768,5026.51
"NT5E",False,False,False,-739.244,2871.28
"NUP50-AS1",False,False,False,-199.296,5653.24
"PFDN4",False,False,False,47.0967,9194.03
"PIK3IP1",False,False,False,1657.73,4501.24
"PPIA",False,False,False,2792.88,12153.2
"PSAP",True,False,False,194.306,5545.82
"PSMB8-AS1",False,False,False,277.873,7428.69
"PTMA",False,False,False,984.297,8995.93
"PYGB",False,False,False,-483.92,3673.58
"RAB27A",False,False,False,304.495,6116.05
"RB1",False,False,False,946.497,9840.71
"RBP7",False,False,False,-727.355,2979.85
"RNF213",False,False,False,1696.99,12184.6
"RTP4",False,False,False,917.924,11291.3
"S100A6",False,False,False,1706.96,8668.88
"S100B",False,False,False,2032.37,8885.01
"SAT1",False,False,False,-842.341,3999.34
"SCARB2",False,False,False,379.57,6875
"SDC3",False,False,False,-542.232,5059.09
"SDCBP",False,False,False,1575.06,11719.8
"SEC11C",False,False,False,-572.99,4632.94
"SERPINA3",False,False,False,687.256,9300.88
"SERPINE2",True,False,False,688.675,6865.46
"SERPINF1",False,False,False,2020.21,14315.3
"SGK1",False,False,False,1231.2,7887.54
"SHMT2",False,False,False,3145.02,11665.1
"SLC22A18",False,False,False,1776.96,11151.7
"SLC25A13",False,False,False,1960.96,8267.09
"SLC26A2",False,False,False,2218.86,12483.3
"SLC5A3",False,False,False,169.185,4398.47
"SLC7A5P1",False,False,False,752.935,9910.56
"SMAD3",False,False,False,1202.54,13549.7
"SMAD4",False,False,False,423.518,6926.02
"SNHG6",False,False,False,438,9269.28
"SOX4",False,False,False,-1255.58,2996.18
"SP100",False,False,False,1504.4,18347.3
"SPESP1",False,False,False,317.886,5065.44
"SPINT1",False,False,False,911.618,8915.44
"ST3GAL6-AS1",False,False,False,320.486,5019.59
"ST6GALNAC2",False,False,False,4653.66,19818.3
"STAT1",False,False,False,1251.39,8331.71
"STAT3",False,False,False,1157.22,5631.64
"STOM",False,False,False,1763.16,8594.19
"STX7",False,False,False,817.303,6957.8
"TAPBP",False,False,False,-894.547,3534.71
"TAPBPL",False,False,False,648.145,5552.25
"TFAP2A",False,False,False,1327.75,8652.87
"TGFB1",False,False,False,-306.269,7058.05
"TIMP1",False,False,False,-802.413,2958.37
"TM4SF1",False,False,False,1891.37,16080.4
"TMEM173",False,False,False,-329.269,4619.03
"TOP1MT",True,False,False,2053.11,5965.59
"TP53",False,False,False,208.534,10046.1
"TPP1",False,False,False,169.2,12956.2
"TSC22D3",False,False,False,1184.94,8893.65
"TTLL1",False,False,False,3508.53,8280.15
"TXNDC17",False,False,False,371.168,8683.65
"TYR",False,False,False,1795.67,11938.5
"VDAC2",False,False,False,382.192,7880.93
"WBP2",False,False,False,1568.67,8774.75
"WNT7A",False,False,False,3170.63,14383.2
