perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"ATF2",False,False,False,-9193.6,22955.9
"BRD4",False,False,False,115834,206392
"CAV1",False,False,False,-95.6446,53680.6
"CD86",False,False,False,11522.3,114012
"CMTM6",False,False,False,7594.67,71971.7
"CUL3",False,False,False,71013.5,193804
"ETV7",False,False,False,-3180.19,43763.7
"IFNGR1",False,False,False,1274.95,37472.9
"IFNGR2",False,False,False,10139.9,81728.4
"IRF1",False,False,False,28260,95861
"IRF7",False,False,False,-450.909,43967
"JAK2",False,False,False,4385.37,74864.4
"MARCH8",False,False,False,-8105.9,40163.3
"NFKBIA",False,False,False,10580.9,95040.9
"PDCD1LG2",False,False,False,-2430.22,39381.2
"POU2F2",False,False,False,9233.41,71731.5
"SMAD4",True,False,False,71172.2,125083
"STAT1",True,False,False,5008.78,55038.6
"STAT2",False,False,False,4851.72,61949.6
"STAT3",False,False,False,-8705.17,21219
"STAT5A",False,False,False,-1454.61,57245.9
"TNFRSF14",False,False,False,1580.7,96015.6
"UBE2L6",False,False,False,7918.2,67806.9
