perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Acvr1",False,False,False,0.303126,1.01369
"Alb",False,False,False,0.300841,1.03074
"Arfrp1",False,False,False,0.327889,0.767769
"Atp2a2",True,False,False,0.783056,1.31467
"Atp6ap1",False,False,False,0.601788,1.40005
"B2m",False,False,False,0.321837,0.794732
"B3galt6",False,False,False,0.251016,0.929299
"Bccip",False,False,False,0.301507,1.29056
"Ccdc84",False,False,False,0.0729932,0.623647
"Cct5",False,False,False,0.480621,0.913687
"Chmp4b",False,False,False,0.204043,0.744921
"Cltc",False,False,False,0.159785,0.551638
"Copb2",False,False,False,0.448899,0.895741
"Crnkl1",False,False,False,0.503046,1.50098
"Cul5",False,False,False,0.124425,0.974855
"Cyp2e1",False,False,False,0.0726608,0.87785
"Cyp2f2",False,False,False,0.206306,1.06235
"Ddost",False,False,False,-0.0500192,0.799682
"Ddx20",False,False,False,0.199536,1.0915
"Dhdds",False,False,False,0.18762,0.848712
"Dnajb9",False,False,False,0.225163,0.551867
"Dnajc17",False,False,False,0.198714,1.76024
"Dnm2",False,False,False,0.020529,1.14579
"Dut",False,False,False,0.235164,0.999361
"Eftud2",False,False,False,0.116332,0.791986
"Eif2b4",False,False,False,0.19441,0.821296
"Fau",False,False,False,0.233149,1.94157
"Gja1",False,False,False,0.550944,1.37978
"Gpn1",False,False,False,0.328422,0.905056
"Gsk3b",False,False,False,0.240929,1.12558
"H2-T23",False,False,False,0.0652726,0.417578
"Hnf4a",False,False,False,0.0827755,0.722286
"Hnrnpu",False,False,False,0.744111,1.11591
"Hs2st1",False,False,False,0.077033,0.642584
"Hsp90aa1",False,False,False,0.305854,1.22526
"Hspa5",False,False,False,0.316138,0.695431
"Hspa8",False,False,False,0.32689,0.93979
"Hspe1",False,False,False,0.169225,0.92976
"Hyou1",False,False,False,-0.101009,0.470892
"Jtb",False,False,False,0.0650183,0.704751
"Kin",False,False,False,0.403152,0.909564
"Lamtor2",False,False,False,0.155998,0.968332
"Lars",False,False,False,0.145929,1.366
"Lgr4",True,True,True,4.25104,3.44662
"Met",False,False,False,0.409136,0.685301
"Msto1",False,False,False,0.185367,1.28366
"Mtbp",False,False,False,0.254263,1.28993
"Myl12b",False,False,False,0.220139,1.13818
"Nars",False,False,False,0.117016,0.935291
"Nfyc",False,False,False,0.0980574,0.716643
"Nifk",False,False,False,0.0332949,0.957476
"Npc1",False,False,False,0.222381,1.16682
"Nploc4",False,False,False,0.0919863,0.535155
"Nubp1",False,False,False,0.232345,1.52875
"Orc2",False,False,False,0.0358507,0.499755
"Pcsk9",False,False,False,0.280841,1.15254
"Pikfyve",False,False,False,0.203939,0.799489
"Plin2",False,False,False,0.407788,1.04302
"Pmpcb",False,False,False,-0.0487183,0.933368
"Polr1a",False,False,False,0.181653,0.669585
"Polr2l",False,False,False,0.0204733,0.706211
"Polr3a",False,False,False,0.43074,1.45425
"Prkar1a",False,False,False,0.782607,2.09033
"Psma1",False,False,False,0.148478,0.815258
"Psmc1",False,False,False,0.266692,0.458005
"Pten",False,False,False,0.232193,1.47063
"Qars",False,False,False,0.731328,2.15749
"Ran",False,False,False,0.320386,0.886755
"Rars",False,False,False,0.00849517,0.292922
"Rngtt",True,True,True,10.3926,6.78669
"Rpl18a",False,False,False,-0.0369305,0.889685
"Rpl19",False,False,False,-0.0250642,0.684599
"Rpl27",False,False,False,0.123458,0.923971
"Rpl27a",False,False,False,0.142978,1.24878
"Rpl37a",False,False,False,0.0798483,0.896353
"Rpl38",False,False,False,0.119443,0.741504
"Rpl8",False,False,False,0.275787,1.21466
"Rpsa",False,False,False,0.161253,1.17146
"Rptor",False,False,False,0.0600192,0.960364
"Rrbp1",False,False,False,0.389842,1.26526
"Rrn3",False,False,False,0.289,1.64811
"Sars",False,False,False,0.313893,1.00401
"Sbno1",True,False,False,0.501823,1.17734
"Sec23a",False,False,False,0.15505,1.63459
"Sec61a1",False,False,False,0.232858,1.02776
"Sec61b",False,False,False,0.191419,0.789221
"Sec61g",False,False,False,0.0923359,0.855718
"Serpinc1",False,False,False,0.100829,1.41096
"Sf3a2",False,False,False,0.163962,0.523394
"Sf3b6",False,False,False,0.304275,1.29231
"Slc35b1",False,False,False,0.0613657,0.792098
"Slc39a9",False,False,False,0.249598,1.33562
"Slu7",False,False,False,0.0848128,0.695209
"Snip1",False,False,False,-0.113075,0.908393
"Snrpa1",False,False,False,0.327987,0.354859
"Snw1",False,False,False,0.135822,0.83173
"Srp72",False,False,False,0.17648,0.601944
"Ssu72",False,False,False,0.202798,0.830446
"Taf1a",False,False,False,0.450371,1.37794
"Tap1",False,False,False,0.184147,1.64222
"Tapbp",False,False,False,0.269482,1.44069
"Tbcb",False,False,False,0.0401954,0.439128
"Tsc1",False,True,False,0.443915,0.437589
"Tuba1a",False,False,False,0.210066,1.10679
"Ubtf",False,False,False,0.28241,0.368585
"Uqcrfs1",False,False,False,0.13919,1.11269
"Vcp",False,False,False,0.277577,0.752342
"Xbp1",False,False,False,-0.0415062,0.605856
"Zfp830",False,False,False,-0.13975,1.0227
"Zw10",False,False,False,0.0341029,0.823994
