perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A2M",False,False,False,4818.11,21844.6
"ACTA2",False,False,False,592.57,19128.6
"AEBP1",False,False,False,3671.98,16491.4
"AGA",False,False,False,1971.22,27856.6
"AHNAK",False,False,False,1069.19,23789.6
"APOC2",False,False,False,1644.58,23117.9
"APOD",False,False,False,7857.93,22216.2
"APOE",False,False,False,5212.85,19426
"ARMC6",False,False,False,-1765.68,11840.7
"ATP1B1",False,False,False,5778.54,28957.2
"ATP5MD",True,False,False,-297.277,17003.7
"B2M",False,False,False,-371.387,11199.9
"BOLA2",False,False,False,2100.75,28569.5
"BOLA2B",False,False,False,3381.99,26824.8
"BZW2",False,False,False,-861.941,17845.3
"C19orf48",False,False,False,7896.93,42978
"C6orf226",False,False,False,3500.33,21900.8
"CCND2",False,False,False,1550.62,15280.6
"CCR10",False,False,False,-1580.26,11033.6
"CD151",False,False,False,2973.1,21793.8
"CD274",False,False,False,2452.29,20855
"CD44",True,False,False,21961.1,52502.8
"CD47",False,False,False,5171.48,23863.8
"CD58",False,False,False,2295.17,19762.8
"CD59",False,False,False,-1960.13,11149.9
"CD63",False,False,False,9390.31,28383.6
"CDH19",False,False,False,-873.839,24248.6
"CDK4",False,False,False,5260.79,40942.7
"CDKN1A",False,False,False,-795.772,14977
"CDKN2A",False,False,False,247.424,20803.9
"CDKN2B",False,False,False,3384.08,29386.7
"CGAS",True,False,False,2080.86,23354.9
"CHCHD2",False,False,False,4454.14,18865.2
"CITED1",False,False,False,518.041,16303.2
"CKS1B",False,False,False,7256.86,41767.8
"CMSS1",False,False,False,2295.79,23635
"CORO1A",False,False,False,6899.27,26852.8
"CSPG4",False,False,False,1293.35,18208.6
"CST3",False,False,False,4774.81,29505.6
"CTSA",False,False,False,2674.26,32597.5
"CTSB",False,False,False,-209.148,24701.6
"CTSD",False,False,False,-724.096,17614.1
"CTSL",False,False,False,-1656.32,8176.48
"CTSO",False,False,False,24932.2,54550.5
"CXCR4",False,False,False,-1874.45,12567.8
"CYP27A1",False,False,False,1748.46,26484.2
"DAG1",False,False,False,1698.32,15959.5
"DDR1",False,False,False,381.549,28970.7
"DDX17",False,False,False,-1229.73,15632.9
"DDX39A",False,False,False,-430.25,14298.2
"DLL3",False,False,False,-1293.61,16991.9
"EEA1",False,False,False,3823.69,32153.6
"EIF3K",False,False,False,4116.98,21875.4
"EMP1",False,False,False,2695.65,21181.3
"ENPP1",False,False,False,-4508.79,8259.03
