perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A2M",False,False,False,-238317,24704
"ACSL3",False,False,False,-220617,130552
"ACTA2",False,False,False,-222885,40967.9
"AEBP1",False,False,False,-237213,27628.2
"AGA",False,False,False,-229587,53604.8
"AHNAK",False,False,False,-157541,344098
"APOC2",False,False,False,-229747,88477.6
"APOD",False,False,False,-226243,13476.7
"APOE",False,False,False,440229,4.498e+06
"ARMC6",False,False,False,-228373,87967.6
"ATP1B1",False,False,False,-228362,42579.5
"ATP5MD",False,False,False,-238719,34932.5
"B2M",False,False,False,-237982,25776.1
"BOLA2",False,False,False,455542,4.50222e+06
"BOLA2B",False,False,False,-152984,367827
"BZW2",False,False,False,-237975,40487
"C19orf48",False,False,False,-223014,96341.7
"C1QBP",False,False,False,-228987,43684.1
"C6orf226",False,False,False,-234672,40126.3
"CCND1",False,False,False,4.54265e+06,3.15034e+07
"CCND2",False,False,False,-214099,116471
"CCR10",False,False,False,-223299,99477.1
"CD151",False,False,False,-238298,24201.9
"CD274",False,False,False,-233448,38329.6
"CD44",False,False,False,-223412,35086.8
"CD47",False,False,False,-240239,24630.1
"CD58",False,False,False,-235633,23932.5
"CD59",False,False,False,-232097,38149.5
"CD63",False,False,False,-238170,23150.6
"CDH19",False,False,False,-236253,26128.4
"CDK4",False,False,False,-237892,22154.7
"CDKN1A",False,False,False,-222391,92425.4
"CDKN2A",False,False,False,-225487,98345.4
"CDKN2B",False,False,False,-107626,825826
"CGAS",False,False,False,-240385,21751.4
"CHCHD2",False,False,False,-224526,53412.8
"CITED1",False,False,False,436239,4.48687e+06
"CKS1B",False,False,False,-238550,26691.1
"CMSS1",False,False,False,-108564,381675
"CORO1A",False,False,False,-243201,14174.4
"CSPG4",False,False,False,-238494,31370.1
"CST3",False,False,False,-230003,45779.6
"CTSA",False,False,False,-237477,23726.6
"CTSB",False,False,False,-189503,280405
"CTSD",False,False,False,-232021,54505.7
"CTSL",False,False,False,-244279,11002.4
"CTSO",False,False,False,-220179,118094
"CXCR4",False,False,False,-116920,837467
"CYP27A1",False,False,False,4.5194e+06,3.14087e+07
"DAG1",False,False,False,-238294,15072.1
"DDR1",False,False,False,-239264,29706.4
"DDX17",False,False,False,1.40676e+07,3.8542e+07
"DDX39A",False,False,False,-242362,18127.8
"DLL3",False,False,False,-145839,621721
"E2F1",False,False,False,-220417,75600.4
"EEA1",False,False,False,-240127,17868.1
"EIF3K",False,False,False,-226841,44364.3
"EMP1",False,False,False,-233431,40758.8
"ENPP1",False,False,False,4.58734e+06,3.18766e+07
"EVA1A",False,False,False,-237278,35947.4
"FBXO32",False,False,False,-235918,55318.8
"FGFR1",False,False,False,-179062,181686
"FKBP4",False,False,False,-242866,16451.4
"FMN1",False,False,False,-235473,37716.2
"FOS",False,False,False,-238294,23594.6
"FRZB",False,False,False,-232672,59718.3
"FSTL3",False,False,False,-193881,310716
"GAA",False,False,False,-237551,37589.9
"GAS5",False,False,False,-240551,23576.1
"GPATCH4",False,False,False,-240855,17308.5
"GPNMB",False,False,False,-181930,378779
"GRN",False,False,False,-243657,12314.9
"GSN",False,False,False,-209516,144010
"HASPIN",False,False,False,-237940,26366
"HLA-A",False,False,False,-223401,119463
"HLA-B",False,False,False,2.65825e+06,1.12013e+07
"HLA-C",False,False,False,-233537,41386.9
"HLA-DRB5",False,False,False,-222575,54710
"HLA-E",False,False,False,-239262,31098.8
"HLA-F",False,False,False,-228419,46344.6
"HLA-H",False,False,False,-202279,157581
"HNRNPA1",False,False,False,-245156,16511
"HSPA1A",False,False,False,-214014,99817.4
"IDH2",False,False,False,-231060,41432.8
"IDI2-AS1",False,False,False,-235272,47334.5
"IFNGR1",False,False,False,12372.9,513121
"IFNGR2",False,False,False,-238053,38210.6
"IRF3",False,False,False,-243640,14416.5
"IRF4",False,False,False,-234344,31472.9
"ISYNA1",False,False,False,-218035,167475
"ITGA3",False,False,False,-229060,83682.2
"JAK1",False,False,False,-178947,424638
"JAK2",False,False,False,-224498,104449
"JMJD7",False,False,False,-238078,20498.9
"KCNN4",False,False,False,-147777,645998
"KDR",False,False,False,-242938,15256.9
"KLF4",False,False,False,-225396,100544
"LAMP2",False,False,False,-237581,43564.1
"LCP1",False,False,False,-164615,328116
"LEF1-AS1",False,False,False,-225196,80842
