perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A1CF",True,False,False,-224.816,360.731
"ABCC10",False,False,False,-169.962,580.74
"ABCF3",False,False,False,154.888,1364.35
"ABHD13",False,False,False,-173.179,731.797
"ABRAXAS1",False,False,False,-120.79,1087.12
"ABTB1",False,False,False,-22.8499,770.825
"ACAA2",False,False,False,81.4871,908.58
"ACAP1",True,False,False,-228.04,513.876
"ACAP3",False,False,False,-138.724,627.583
"ACBD4",True,False,False,-186.184,372.994
"ACER3",False,False,False,-141.716,589.594
"ACHE",True,False,False,-217.413,417.489
"ACO2",False,False,False,-91.1615,681.04
"ACOT13",False,False,False,5.56821,1178.43
"ACSBG1",True,False,False,-167.776,313.144
"ACSL4",False,False,False,-164.358,413.881
"ACSM6",False,False,False,-16.9755,744.481
"ACTR3B",False,False,False,44.2702,966.734
"ACVR2A",False,False,False,-77.6194,1159.54
"ADAL",False,False,False,-245.657,408.879
"ADAM19",True,False,False,55.4109,828.445
"ADAMTS1",False,False,False,108.551,971.591
"ADAMTS13",False,False,False,-24.2203,837.753
"ADAMTS7",False,False,False,348.629,1198.53
"ADCY7",False,False,False,-211.236,606.884
"ADM2",False,False,False,-301.226,87.5064
"ADSS1",True,False,False,111.737,1516.35
"AEN",True,False,False,84.2522,998.965
"AGRN",False,False,False,173.624,1201.47
"AGTRAP",False,False,False,75.9024,1551.52
"AGXT",False,False,False,-113.166,411.609
"AHCY",False,False,False,-199.102,534.358
"AIF1L",False,False,False,111.607,1046.09
"AJUBA",True,False,False,123.882,1118.81
"AKAP8",False,False,False,469.008,1993.68
"AKIRIN1",False,False,False,615.059,2605.97
"AKR1B1",False,False,False,109.879,934.354
"ALDH3A2",False,False,False,-221.157,453.017
"ALG13",False,False,False,54.7396,1156.17
"AMER1",False,False,False,-134.772,543.702
"AMFR",True,False,False,-22.8195,1165.86
"AMMECR1",True,False,False,-72.6454,825.721
"ANG",True,False,False,40.1906,651.028
"ANKLE1",True,False,False,-84.112,885.01
"ANKRD27",True,False,False,-132.193,807.82
"ANKRD33B",False,False,False,-118.019,535.078
"ANKRD39",False,False,False,77.8572,1077.06
"ANKS3",False,False,False,296.117,1650.03
"ANO9",False,False,False,-160.494,494.88
"ANTXR1",True,False,False,-198.064,623.977
"ANXA5",False,False,False,-22.6972,1685.96
"AP4B1",False,False,False,29.285,941.099
"AP5S1",True,False,False,-137.932,492.712
"APBA3",False,False,False,21.4696,888.946
"APBB3",True,False,False,231.125,1371.03
"APEX2",True,False,False,-3.82165,967.499
"APLNR",False,False,False,-121.812,607.784
"APMAP",False,False,False,286.206,1543.7
"APOBEC2",False,False,False,103.626,1531.51
"APOC1",False,False,False,134.386,1008.92
"ARFIP1",False,False,False,65.3324,1243.46
"ARHGEF2",False,False,False,120.02,637.672
"ARHGEF25",False,False,False,490.969,1531.28
"ARHGEF40",False,False,False,322.785,1640.65
"ARID3A",False,False,False,-141.408,680.997
"ARID5A",False,False,False,140.481,631.434
"ARL3",True,False,False,-26.5729,804.85
"ARL6IP4",False,False,False,11.8924,697.481
"ARMC10",False,False,False,57.2495,517.925
"ARMC6",False,False,False,-175.592,612.327
"ARRDC2",True,False,False,-99.4877,577.441
"ARRDC4",True,False,False,-236.667,310.47
"ARVCF",False,False,False,83.7011,1340.74
"ASAH1",False,False,False,104.14,1212.29
"ASB1",False,False,False,-11.793,1321.36
"ASCL1",False,False,False,153.092,1672.6
"ASCL3",True,False,False,-86.0829,590.666
"ASS1",False,False,False,8.75931,994.555
"ATAT1",False,False,False,-1.76026,756.716
"ATF4",False,False,False,-147.77,575.794
"ATF6",False,False,False,-53.1835,599.015
"ATF7IP",True,False,False,257.246,1942.16
"ATG9A",False,False,False,-3.06708,950.353
"ATOSB",True,False,False,-69.4536,825.479
"ATP11A",False,False,False,97.9942,1132.09
"ATP13A3",True,False,False,284.101,1354.32
"ATP1A3",False,False,False,69.8419,1051
"ATP5IF1",False,False,False,5.87141,749.142
"ATP6V0A1",False,False,False,-235.907,522.322
"ATP8B2",False,False,False,145.222,1071.17
"ATPSCKMT",False,False,False,-21.7415,645.596
"ATRAID",False,False,False,59.4128,796.821
"ATRX",False,False,False,65.2371,1170.85
"AXIN1",False,False,False,153.434,1823.62
"AXL",False,False,False,74.2184,1215.9
"AZI2",False,False,False,-21.9767,681.677
"B3GALNT1",False,False,False,321.604,1177.17
"B3GNT2",False,False,False,-186.067,749.719
"B4GAT1",False,False,False,1.05656,819.034
"BABAM1",False,False,False,-157.386,418.303
"BACE1",True,False,False,9.93229,1286.52
"BAG1",True,False,False,-42.9078,518.924
"BARHL2",False,False,False,-208.779,425.745
"BARX2",False,False,False,51.919,527.419
"BASP1",False,False,False,-122.104,669.599
"BAZ2A",False,False,False,-38.1422,596.046
"BBC3",False,False,False,433.29,2415.31
"BBX",False,False,False,91.7418,1089.83
"BCAM",False,False,False,-141.284,407.841
"BCAP31",False,False,False,110.19,1219.33
"BCAT1",False,False,False,-31.8709,691.618
"BCL2L11",False,False,False,74.6288,1425.4
"BCL2L12",False,False,False,-271.994,289.25
"BCR",False,False,False,-181.728,489.151
"BEND6",False,False,False,-36.521,914.629
"BFAR",False,False,False,-113.11,948.941
"BHLHE22",False,False,False,3.31259,1284.98
"BHMT",True,False,False,-86.5191,850.229
"BICRAL",True,False,False,-218.753,394.205
"BLOC1S1",False,False,False,21.3429,1064.57
"BPGM",True,False,False,-148.718,615.491
"BPHL",False,False,False,-208.51,393.192
"BRD1",True,False,False,96.2988,1208.33
"BRD2",False,False,False,63.3867,1120.02
"BRD7",False,False,False,53.9719,905.274
"BRMS1L",False,False,False,-213.52,450.365
"BRPF1",True,False,False,-55.1281,1127.18
"BSX",False,False,False,-235.771,340.505
"BTBD1",False,False,False,627.784,2440.89
"C14orf28",True,False,False,-187.048,434.493
"C19orf25",False,False,False,-141.829,694.792
"C1GALT1",False,False,False,198.016,1216.89
"C1R",False,False,False,-91.7915,758.469
"C1orf35",True,False,False,-24.7805,860.551
"C1orf56",False,False,False,-88.4057,729.33
"C22orf23",False,False,False,-155.679,617.896
"C2orf15",True,False,False,-1.61741,781.427
"C4orf48",True,False,False,7.14019,822.831
"C8orf48",False,False,False,-13.197,1358.99
"CA2",False,False,False,145.82,863.462
"CABLES1",True,False,False,-149.673,739.463
"CACNG7",False,False,False,160.434,1187.63
"CACUL1",True,False,False,-121.679,544.583
"CADM4",False,False,False,56.6135,931.73
"CALCOCO1",False,False,False,-21.4701,1069.17
"CAMTA2",False,False,False,11.2717,764.925
"CAND1",False,False,False,-176.424,692.915
"CAP1",False,False,False,18.8316,782.83
"CAPNS1",True,False,False,-114.824,920.895
"CAPRIN2",True,False,False,172.701,1148.35
"CARD10",False,False,False,1.19465,970.198
"CARNS1",False,False,False,-86.287,718.72
"CASKIN2",False,False,False,-142.615,798.726
"CBFB",True,False,False,100.245,798.881
"CBLN1",False,False,False,299.625,1190
"CBX3",False,False,False,-76.1799,707.606
"CBY3",False,False,False,-248.255,591.321
"CCDC112",True,False,False,7.06379,902.586
"CCDC115",False,False,False,236.021,900.946
"CCDC142",False,False,False,-197.993,559.243
"CCDC153",False,False,False,19.4154,813.107
"CCDC24",True,False,False,-203.447,563.622
"CCDC25",False,False,False,-17.8366,330.767
"CCDC88A",False,False,False,220.951,1849.04
"CCDC97",False,False,False,336.666,1655.97
"CCER2",False,False,False,-88.6481,583.741
"CCNC",True,False,False,117.799,1138.09
"CCND1",False,False,False,-38.0746,833.523
"CCNE2",False,False,False,27.2236,1045.72
"CCNG2",True,False,False,175.492,987.993
"CCNI2",True,False,False,-171.855,561.464
"CCNL2",False,False,False,-74.2937,741.891
"CCNQ",False,False,False,342.445,1345.34
"CCNYL2",True,False,False,122.918,892.126
"CD24",False,False,False,53.0649,710.462
"CD2BP2",False,False,False,7.46208,1070.1
"CD47",True,False,False,-68.6217,798.859
"CD59",False,False,False,47.7245,1495.25
"CD63",False,False,False,115.421,1659.42
"CD68",False,False,False,-51.5883,1077.93
"CDC42SE1",False,False,False,246.284,1266
"CDH3",False,False,False,-45.3761,634.543
"CDKN3",True,False,False,32.9324,932.883
"CDV3",False,False,False,-28.0234,652.878
"CDY1",False,False,False,61.8468,895.962
"CELF2",False,False,False,-0.755571,656.971
"CELSR1",True,False,False,-88.3137,650.532
"CENPT",False,False,False,-75.2092,566.165
"CEP68",False,False,False,-72.1706,602.174
"CEP85",False,False,False,80.5947,921.04
"CERS2",False,False,False,150.912,745.666
"CFAP126",True,False,False,-190.514,257.077
