perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"ATF2",False,False,False,1324.61,6195.66
"BRD4",False,False,False,5179.33,12698.2
"CAV1",False,False,False,189.686,4064.78
"CD86",False,False,False,1338.46,6808.75
"CMTM6",True,False,False,3052.37,10637.9
"CUL3",False,False,False,7429.62,15901.7
"ETV7",False,False,False,2101.88,7937.44
"IFNGR1",True,False,False,-327.616,4878.32
"IFNGR2",True,False,False,-512.74,3030.56
"IRF1",False,False,False,3354.06,11597.8
"IRF7",False,False,False,1714.54,5639
"JAK2",True,False,False,-176.938,3765.02
"MARCH8",False,False,False,-888.558,3206.55
"NFKBIA",False,False,False,27.6347,5066.5
"PDCD1LG2",False,False,False,2284.92,12320
"POU2F2",False,False,False,1803.92,11497.8
"SMAD4",False,False,False,1004.71,7111.33
"STAT1",True,False,False,-823.244,1667.32
"STAT2",False,False,False,932.286,3806.57
"STAT3",False,False,False,-1022.16,1128.96
"STAT5A",False,False,False,-109.704,2502.47
"TNFRSF14",False,False,False,-596.266,2166.67
"UBE2L6",False,False,False,338.842,4075.88
