perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"ATF2",False,False,False,-9105.93,22920
"BRD4",False,False,False,116269,206903
"CAV1",False,False,False,-3886.38,49936.3
"CD86",False,False,False,10605.5,114005
"CMTM6",False,False,False,14207.9,115955
"CUL3",False,False,False,71452.7,194153
"ETV7",False,False,False,-5368.18,42892.1
"IFNGR1",False,False,False,1332.08,37581
"IFNGR2",False,False,False,10108.8,82095.8
"IRF1",False,False,False,28522.3,96179.8
"IRF7",False,False,False,-487.15,44204.8
"JAK2",False,False,False,1665.28,75498.3
"MARCH8",False,False,False,-8103.65,40441.6
"NFKBIA",False,False,False,10579.2,95014.1
"PDCD1LG2",False,False,False,-2473.77,39619.8
"POU2F2",False,False,False,9682.54,72041.8
"SMAD4",True,False,False,71660.7,124878
"STAT1",True,False,False,5179.91,55052.2
"STAT2",False,False,False,5207.57,61668.1
"STAT3",False,False,False,-8536.92,22231.2
"STAT5A",False,False,False,-1239.74,57315.6
"TNFRSF14",False,False,False,1581.5,96338.4
"UBE2L6",False,False,False,9088.56,75335.6
