perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"4-1BBL",False,False,False,28.0142,1370.97
"ADSF",True,False,False,533.129,3184.5
"APRIL",True,False,False,34.7479,1779.42
"BAFF",True,False,False,495.433,2482.81
"C3a",False,False,False,-122.713,1031.04
"C5a",True,False,False,-158.051,775.609
"CD27L",False,False,False,363.318,4078.39
"CD30L",True,False,False,-75.8697,1580.05
"CD40L",True,False,False,908.045,2676.71
"CT-1",True,False,False,986.211,1329.82
"Decorin",True,False,False,-161.752,1081.08
"EGF",True,False,False,61.4231,746.515
"EPO",False,False,False,266.276,2448.45
"FGF-beta",False,False,False,154.998,1785.24
"FLT3L",True,False,False,428.695,4437.06
"FasL",True,False,False,-101.465,1112.87
"G-CSF",True,False,False,1242.58,5283.57
"GDNF",True,False,False,338.498,2182.67
"GITRL",False,False,False,469.676,2532.95
"GM-CSF",True,False,False,1100.37,3454.56
"HGF",False,False,False,177.828,957.828
"IFN-alpha1",True,False,False,709.606,3014.96
"IFN-beta",True,False,False,938.035,5147.44
"IFN-epsilon",False,False,False,627.367,5314.75
"IFN-gamma",True,False,False,573.322,3410.91
"IFN-lambda1",True,False,False,1057.6,6283.19
"IFN-lambda2",True,False,False,-41.6781,1304.34
"IFN-lambda3",True,False,False,863.652,2574.81
"IFN-omega",True,False,False,2277.58,3916.8
"IGF-1",True,False,False,746.843,2539.16
"IL-1-alpha",True,False,False,1700.21,3611.71
"IL-1-beta",True,False,False,977.038,3309.72
"IL-10",False,False,False,747.645,4192.97
"IL-11",True,False,False,1489.25,3348.97
"IL-12",True,False,False,395.727,2397.21
"IL-13",True,False,False,1067.01,4887.08
"IL-15",True,False,False,572.349,1060.19
"IL-16",True,False,False,352.108,1294.83
"IL-17A",False,False,False,356.402,1376.29
"IL-17B",True,False,False,-182.598,926.857
"IL-17C",False,False,False,221.365,2520.19
"IL-17D",False,False,False,35.2654,1609.2
"IL-17E",True,False,False,559.882,1433.78
"IL-17F",False,False,False,428.314,2202.15
"IL-18",True,False,False,582.043,1322.07
"IL-19",True,False,False,1365.8,4033.35
"IL-1Ra",True,False,False,1213.4,4465.21
"IL-2",True,False,False,2488.16,11163.6
"IL-20",True,False,False,-35.4614,1892.81
"IL-21",False,False,False,188.707,2193.73
"IL-22",False,False,False,470.883,1943.96
"IL-23",True,False,False,189.617,1053.18
"IL-24",False,False,False,232.972,1924.35
"IL-26",True,False,False,564.248,2970.86
"IL-27",True,False,False,1640.37,3982.57
"IL-3",True,False,False,903.458,3782.41
"IL-31",True,False,False,428.85,1799.61
"IL-32-beta",True,False,False,1603.86,5115.43
"IL-33",True,False,False,1159.39,5246.49
"IL-34",True,False,False,298.881,1223.51
"IL-35",False,False,False,247.281,2107.77
"IL-36-alpha",True,False,False,1542.79,7432.66
"IL-36Ra",True,False,False,1757.43,4278.77
"IL-4",False,False,False,574.222,1785.99
"IL-5",False,False,False,612.332,3415.44
"IL-6",False,False,False,-281.943,503.363
"IL-7",True,False,False,1164.95,3303.14
"IL-8",False,False,False,313.292,2517.9
"IL-9",True,False,False,373.409,2136.52
"LIF",False,False,False,51.5615,2078
"LIGHT",True,False,False,317.785,3229.71
"LT-alpha1-beta2",False,False,False,296.023,1340.67
"LT-alpha2-beta1",True,False,False,380.779,2305.63
"Leptin",True,False,False,216.046,1540.12
"M-CSF",True,False,False,901.883,3768.58
"Noggin",True,False,False,600.919,3889
"OSM",True,False,False,561.45,3296.98
"OX40L",True,False,False,-59.3305,1033.87
"PRL",False,False,False,260.146,1876.36
"PSPN",False,False,False,359.711,2526.4
"RANKL",False,False,False,94.3682,2269.23
"SCF",True,False,False,-34.6032,1106.71
"TGF-beta1",True,False,False,231.638,1484.76
"TL1A",False,False,False,31.9499,1724.4
"TNF-alpha",False,False,False,22.3811,2315.97
"TPO",True,False,False,405.506,1887.92
"TRAIL",True,False,False,-283.548,1584.34
"TSLP",True,False,False,1626.62,5945.04
"TWEAK",False,False,False,327.638,1859.09
"VEGF",True,False,False,609.992,3784.8
