perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"(+)-JQ1 | 1000.0",False,False,False,-817.433,3808.14
"(+)-JQ1 | 10000.0",True,False,False,1658.74,10780.1
"2-Methoxyestradiol (2-MeOE2) | 10.0",False,False,False,-1021.43,4420.91
"2-Methoxyestradiol (2-MeOE2) | 1000.0",False,False,False,3943.41,21808
"A-366 | 10.0",False,False,False,510.847,8095.05
"A-366 | 100.0",False,False,False,954.592,10175.9
"A-366 | 10000.0",False,False,False,-93.9979,5811.9
"ABT-737 | 10.0",False,False,False,2494.1,17091.5
"ABT-737 | 100.0",False,False,False,-1310.38,2850.59
"ABT-737 | 1000.0",False,False,False,-2055.77,1689.69
"AC480 (BMS-599626) | 10.0",False,False,False,502.785,6420.17
"AC480 (BMS-599626) | 1000.0",False,False,False,-611.686,5441.77
"AC480 (BMS-599626) | 10000.0",False,False,False,-1845.51,3016.08
"AG-14361 | 10.0",True,False,False,-327.068,3325.39
"AG-14361 | 100.0",False,False,False,679.07,7976.64
"AG-14361 | 1000.0",False,False,False,-163.79,5238.29
"AG-14361 | 10000.0",False,False,False,2739.96,14642.1
"AG-490 (Tyrphostin B42) | 10.0",False,False,False,675.335,11867.4
"AG-490 (Tyrphostin B42) | 100.0",False,False,False,-1410.02,2583.38
"AG-490 (Tyrphostin B42) | 1000.0",False,False,False,-892.431,6117.35
"AG-490 (Tyrphostin B42) | 10000.0",False,False,False,-1506.48,4164.57
"AICAR (Acadesine) | 10.0",False,False,False,-1063.41,10095.2
"AICAR (Acadesine) | 100.0",False,False,False,26.0937,6769.88
"AICAR (Acadesine) | 1000.0",False,False,False,54.6893,7423.52
"AICAR (Acadesine) | 10000.0",False,False,False,-412.573,5938.84
"AR-42 | 10.0",False,False,False,563.149,6126.49
"AR-42 | 100.0",False,False,False,-1272.7,5643.36
"AZ 960 | 100.0",False,False,False,-106.28,11759.7
"AZ 960 | 1000.0",False,False,False,936.251,9470.71
"AZD1480 | 10.0",False,False,False,1528.86,17685.9
"AZD1480 | 100.0",False,False,False,2517.05,20455.9
"Abexinostat (PCI-24781) | 10.0",True,False,False,1489.03,8142.31
"Abexinostat (PCI-24781) | 100.0",False,False,False,-1117.39,5117.88
"Alendronate sodium trihydrate | 10.0",False,False,False,-721.282,3265.9
"Alendronate sodium trihydrate | 100.0",False,False,False,293.001,7185.85
"Altretamine | 10.0",False,False,False,2999.39,15763.1
"Altretamine | 100.0",False,False,False,-935.217,4017.43
"Altretamine | 1000.0",False,False,False,-539.269,7509.61
"Altretamine | 10000.0",False,False,False,-832.696,4155.24
"Alvespimycin (17-DMAG) HCl | 10.0",False,False,False,5110.54,15538.7
"Aminoglutethimide  | 10.0",False,False,False,686.2,10856.3
"Aminoglutethimide  | 100.0",False,False,False,-664.124,5394.76
"Aminoglutethimide  | 1000.0",True,False,False,2716.34,17587.5
"Aminoglutethimide  | 10000.0",False,False,False,-279.467,3512.71
"Amisulpride | 10.0",True,False,False,-14.9663,7923.72
"Amisulpride | 100.0",False,False,False,-841.818,6942.55
"Amisulpride | 1000.0",False,False,False,1496.11,11279.5
"Amisulpride | 10000.0",False,False,False,1518.87,10831.2
"Anacardic Acid | 10.0",False,False,False,-251.223,8321.18
"Anacardic Acid | 100.0",False,False,False,6009.06,13375.1
"Anacardic Acid | 1000.0",False,False,False,2421.65,12921.7
"Anacardic Acid | 10000.0",False,False,False,-2131.15,1163.4
"Andarine | 10.0",False,False,False,797.654,7015.35
"Andarine | 100.0",True,False,False,-1472.13,3524.96
"Andarine | 1000.0",False,False,False,-823.631,3960.77
"Andarine | 10000.0",False,False,False,1097.54,13138
"Aurora A Inhibitor I | 10.0",False,False,False,75.3943,6965.15
"Aurora A Inhibitor I | 1000.0",False,False,False,248.56,6453.18
"Avagacestat (BMS-708163) | 10.0",False,False,False,1863.49,12728.8
"Avagacestat (BMS-708163) | 100.0",False,False,False,2505.75,8879.46
"Avagacestat (BMS-708163) | 1000.0",False,False,False,-489.183,7955.42
"Avagacestat (BMS-708163) | 10000.0",False,False,False,-584.813,4477.4
"Azacitidine  | 100.0",False,False,False,-1262.31,4318.58
"Azacitidine  | 1000.0",False,False,False,3150.08,17138.2
"BMS-265246 | 10.0",False,False,False,658.535,12394
"BMS-265246 | 100.0",False,False,False,-213.135,5041.16
"BMS-536924 | 10.0",False,False,False,-262.474,4103.66
"BMS-536924 | 100.0",False,False,False,993.85,8503.74
"BMS-754807 | 100.0",False,False,False,3226.2,18753.6
"BMS-911543 | 1000.0",True,False,False,649.435,10440
"BRD4770 | 10.0",False,False,False,637.015,7182.22
"BRD4770 | 100.0",True,False,False,-1744.15,1651.99
"BRD4770 | 1000.0",False,False,False,-937.148,3642.84
"BRD4770 | 10000.0",False,False,False,-1031.29,4679.99
"Baricitinib (LY3009104, INCB028050) | 10.0",True,False,False,3003.47,16505.7
"Baricitinib (LY3009104, INCB028050) | 100.0",False,False,False,525.473,12979.7
"Baricitinib (LY3009104, INCB028050) | 1000.0",False,False,False,-1667.28,2276.04
"Baricitinib (LY3009104, INCB028050) | 10000.0",False,False,False,506.161,6065.49
"Belinostat (PXD101) | 100.0",False,False,False,1206.5,16736.2
"Belinostat (PXD101) | 1000.0",False,False,False,-1256.87,2765.59
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 10.0",False,False,False,1194.35,8328.26
"Bosutinib (SKI-606) | 10.0",False,False,False,2523.5,19750.3
"Bosutinib (SKI-606) | 100.0",False,False,False,-717.339,7824.89
"Bosutinib (SKI-606) | 1000.0",False,False,False,-571.709,4908.22
"Bosutinib (SKI-606) | 10000.0",False,False,False,2410.62,20154.1
"Busulfan  | 10.0",False,False,False,-291.729,4183.61
