perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"(+)-JQ1 | 10.0",True,False,False,166.429,3703.77
"(+)-JQ1 | 100.0",False,False,False,-438.462,2342.68
"2-Methoxyestradiol (2-MeOE2) | 10.0",False,False,False,-746.826,1501.35
"2-Methoxyestradiol (2-MeOE2) | 100.0",False,False,False,749.597,7071.79
"A-366 | 10.0",False,False,False,-553.781,2008.74
"A-366 | 100.0",False,False,False,3815.75,21477.7
"A-366 | 1000.0",False,False,False,139.919,2855.58
"A-366 | 10000.0",False,False,False,1821.42,7138.3
"ABT-737 | 10.0",False,False,False,-118.229,4357.69
"ABT-737 | 100.0",False,False,False,-640.234,2378.04
"ABT-737 | 1000.0",False,False,False,-186.909,3277.51
"ABT-737 | 10000.0",False,False,False,129.102,2076.96
"AC480 (BMS-599626) | 10.0",False,False,False,630.947,4971.7
"AC480 (BMS-599626) | 100.0",False,False,False,2205.27,11772.8
"AC480 (BMS-599626) | 1000.0",False,False,False,1246.07,8387.51
"AG-14361 | 10.0",False,False,False,427.223,8085.4
"AG-14361 | 100.0",False,False,False,987.829,6382.62
"AG-14361 | 1000.0",False,False,False,1201.07,6017.89
"AG-14361 | 10000.0",False,False,False,38.5013,3373.37
"AG-490 (Tyrphostin B42) | 10.0",False,False,False,150.4,3089.05
"AG-490 (Tyrphostin B42) | 100.0",False,False,False,414.207,5304.07
"AG-490 (Tyrphostin B42) | 1000.0",False,False,False,820.577,4722.27
"AG-490 (Tyrphostin B42) | 10000.0",False,False,False,385.237,5117.83
"AICAR (Acadesine) | 10.0",False,False,False,-232.286,2041.14
"AICAR (Acadesine) | 100.0",False,False,False,990.735,3918.37
"AICAR (Acadesine) | 1000.0",False,False,False,-187.641,2575.02
"AICAR (Acadesine) | 10000.0",False,False,False,348.115,1807.61
"AMG-900 | 10.0",True,False,False,6665.62,13183.5
"AMG-900 | 100.0",False,False,False,2393.84,10586.8
"AMG-900 | 1000.0",True,False,False,5047.02,9618.33
"AMG-900 | 10000.0",True,False,False,4731.69,15230.1
"AR-42 | 10.0",False,False,False,345.56,5819.72
"AT9283 | 10.0",True,False,False,3714.36,5148.97
"AZ 960 | 10.0",False,False,False,2770.23,5710.69
"AZ 960 | 100.0",False,False,False,-75.5042,2501.05
"AZD1480 | 10.0",False,False,False,401.665,3388.28
"AZD1480 | 100.0",False,False,False,-426.185,1153.22
"AZD1480 | 1000.0",False,False,False,-153.986,1114.31
"Abexinostat (PCI-24781) | 10.0",False,False,False,-288.993,1917.89
"Alendronate sodium trihydrate | 10.0",False,False,False,-132.757,1880.96
"Alendronate sodium trihydrate | 100.0",False,False,False,749.148,3341.86
"Alendronate sodium trihydrate | 1000.0",False,False,False,-201.702,2677.89
"Alendronate sodium trihydrate | 10000.0",False,False,False,701.855,3305.65
"Alisertib (MLN8237) | 1000.0",False,False,False,1058.61,5518.2
"Altretamine | 10.0",False,False,False,-571.243,1923.12
"Altretamine | 100.0",False,False,False,-577.277,1512.56
"Altretamine | 1000.0",False,False,False,-163.845,3358.81
"Altretamine | 10000.0",False,False,False,644.503,3752.89
"Alvespimycin (17-DMAG) HCl | 10.0",False,False,False,1433.84,6163.42
"Aminoglutethimide  | 10.0",False,False,False,-329.259,1983.15
"Aminoglutethimide  | 100.0",False,False,False,-409.928,1350.53
"Aminoglutethimide  | 1000.0",False,False,False,-826.481,1243.92
"Aminoglutethimide  | 10000.0",False,False,False,515.269,6171.96
"Amisulpride | 10.0",False,False,False,1037.32,8039.69
"Amisulpride | 100.0",False,False,False,-314.67,2759.29
"Amisulpride | 1000.0",False,False,False,-538.228,1436.21
"Amisulpride | 10000.0",False,False,False,580.656,4580.27
"Anacardic Acid | 10.0",False,False,False,-439.37,2510.34
"Anacardic Acid | 100.0",False,False,False,-343.881,2077.43
"Anacardic Acid | 1000.0",False,False,False,136.126,3548.5
"Anacardic Acid | 10000.0",False,False,False,860.734,9234.39
