perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"(+)-JQ1 | 10.0",False,False,False,9519.38,50122.1
"(+)-JQ1 | 100.0",False,False,False,-5744.95,58768.8
"(+)-JQ1 | 1000.0",True,False,False,-5124.24,41934.3
"(+)-JQ1 | 10000.0",False,False,False,7118.92,99749.4
"2-Methoxyestradiol (2-MeOE2) | 10.0",False,False,False,4865.13,47144.1
"2-Methoxyestradiol (2-MeOE2) | 100.0",False,False,False,4637.11,72804.1
"2-Methoxyestradiol (2-MeOE2) | 1000.0",False,False,False,5139.07,51567.6
"2-Methoxyestradiol (2-MeOE2) | 10000.0",False,False,False,-6122.77,19622
"A-366 | 10.0",False,False,False,-9836.99,19868.7
"A-366 | 100.0",False,False,False,8774.11,153326
"A-366 | 1000.0",False,False,False,112.578,54566.6
"A-366 | 10000.0",False,False,False,-539.864,36808.7
"ABT-737 | 10.0",False,False,False,21087.3,138511
"ABT-737 | 100.0",False,False,False,-9221.7,42335.6
"ABT-737 | 1000.0",False,False,False,13862.6,89293.7
"ABT-737 | 10000.0",False,False,False,-5180.7,34846.4
"AC480 (BMS-599626) | 10.0",False,False,False,-10236.7,23871.8
"AC480 (BMS-599626) | 100.0",False,False,False,-2230.7,19681.1
"AC480 (BMS-599626) | 1000.0",False,False,False,2119.61,35181.9
"AC480 (BMS-599626) | 10000.0",False,False,False,17239.3,78229.9
"AG-14361 | 10.0",False,False,False,-3365.69,40750.1
"AG-14361 | 100.0",False,False,False,-1400.15,40245.9
"AG-14361 | 1000.0",False,False,False,6234.05,68239.4
"AG-14361 | 10000.0",False,False,False,-841.997,47361.2
"AG-490 (Tyrphostin B42) | 10.0",False,False,False,-2940.18,39095.4
"AG-490 (Tyrphostin B42) | 100.0",False,False,False,-2646.21,17454.9
"AG-490 (Tyrphostin B42) | 1000.0",False,False,False,-12738.3,16337.8
"AG-490 (Tyrphostin B42) | 10000.0",False,False,False,5481.58,66205.3
"AICAR (Acadesine) | 10.0",False,False,False,25139.5,150692
"AICAR (Acadesine) | 100.0",False,False,False,7597.47,62872.4
"AICAR (Acadesine) | 1000.0",False,False,False,3331.08,65826.3
"AICAR (Acadesine) | 10000.0",False,False,False,7396.25,48610.7
"AMG-900 | 10.0",True,False,False,19525.5,76718.9
"AMG-900 | 100.0",True,False,False,16800.9,85796.7
"AMG-900 | 1000.0",False,False,False,104735,249782
"AMG-900 | 10000.0",False,False,False,887.455,37950.2
"AR-42 | 10.0",False,False,False,-378.371,40707.1
"AR-42 | 100.0",False,False,False,-8119.77,27154.3
"AR-42 | 1000.0",False,False,False,7166.75,69893.9
"AR-42 | 10000.0",False,False,False,-6722.97,29387.1
"AT9283 | 10.0",False,False,False,-1070.58,57491.7
"AT9283 | 100.0",False,False,False,-7707.52,38776.8
"AT9283 | 1000.0",False,False,False,2177.71,45240.9
"AT9283 | 10000.0",False,False,False,10837.5,128860
"AZ 960 | 10.0",False,False,False,13384.8,83407.9
"AZ 960 | 100.0",False,False,False,-639.657,34523.7
"AZ 960 | 1000.0",False,False,False,-8141.86,35276.7
"AZ 960 | 10000.0",False,False,False,9958.08,65860.7
"AZD1480 | 10.0",False,False,False,12514.5,62558
"AZD1480 | 100.0",False,False,False,-5029.58,32619.9
"AZD1480 | 1000.0",False,False,False,164.902,34922.3
"AZD1480 | 10000.0",False,False,False,-949.085,18103.7
"Abexinostat (PCI-24781) | 10.0",False,False,False,-9093.59,18918.3
"Abexinostat (PCI-24781) | 100.0",True,False,False,3138.7,46349.9
"Abexinostat (PCI-24781) | 1000.0",False,False,False,-9912.77,21109.7
"Abexinostat (PCI-24781) | 10000.0",False,False,False,-12824.3,14795
"Alendronate sodium trihydrate | 10.0",False,False,False,5990.58,66353
"Alendronate sodium trihydrate | 100.0",False,False,False,6548.52,90863.3
"Alendronate sodium trihydrate | 1000.0",False,False,False,-7147.38,30435.1
"Alendronate sodium trihydrate | 10000.0",False,False,False,3821.29,80261.6
"Alisertib (MLN8237) | 10.0",False,False,False,1600.8,52243.9
"Alisertib (MLN8237) | 100.0",False,False,False,6000.47,59288.1
"Alisertib (MLN8237) | 1000.0",True,False,False,13265.2,79469
"Alisertib (MLN8237) | 10000.0",False,False,False,11799.5,78503.7
"Altretamine | 10.0",False,False,False,-4759.84,22345.6
"Altretamine | 100.0",False,False,False,-3186.1,46434
"Altretamine | 1000.0",False,False,False,16999.8,135897
"Altretamine | 10000.0",False,False,False,-9670.5,16040.8
"Alvespimycin (17-DMAG) HCl | 10.0",True,False,False,-5815.05,45460.8
"Alvespimycin (17-DMAG) HCl | 100.0",False,False,False,129601,306094
"Alvespimycin (17-DMAG) HCl | 1000.0",False,False,False,86272.1,206743
"Aminoglutethimide  | 10.0",False,False,False,-1723.32,49742.5
"Aminoglutethimide  | 100.0",False,False,False,-1901.67,25950.2
"Aminoglutethimide  | 1000.0",False,False,False,14976.5,105405
"Aminoglutethimide  | 10000.0",False,False,False,-3397.41,29231.5
"Amisulpride | 10.0",False,False,False,-2787.48,34765.5
"Amisulpride | 100.0",False,False,False,-6132.9,46995.4
"Amisulpride | 1000.0",False,False,False,-1850.94,43808.7
"Amisulpride | 10000.0",False,False,False,4386.82,54796.7
"Anacardic Acid | 10.0",False,False,False,13886.5,176024
"Anacardic Acid | 100.0",False,False,False,-3704.97,29960.5
"Anacardic Acid | 1000.0",False,False,False,1150.59,53600.6
"Anacardic Acid | 10000.0",False,False,False,-7542.31,21579
"Andarine | 10.0",False,False,False,1067.11,51876.9
"Andarine | 100.0",False,False,False,15675.6,141721
"Andarine | 1000.0",False,False,False,-2891.7,65113.6
"Andarine | 10000.0",False,False,False,-12014.6,16430.3
"Aurora A Inhibitor I | 10.0",False,False,False,980.471,42321.6
"Aurora A Inhibitor I | 100.0",False,False,False,-6332.51,33515.1
"Aurora A Inhibitor I | 1000.0",False,False,False,7860.69,86167.5
"Aurora A Inhibitor I | 10000.0",False,False,False,3683.35,54473.1
"Avagacestat (BMS-708163) | 10.0",False,False,False,-2169.13,29193.5
"Avagacestat (BMS-708163) | 100.0",False,False,False,13890.7,54174.2
"Avagacestat (BMS-708163) | 1000.0",False,False,False,4645.35,61415.7
"Avagacestat (BMS-708163) | 10000.0",False,False,False,2941.83,62062.4
"Azacitidine  | 10.0",False,False,False,-4253.03,35229.1
"Azacitidine  | 100.0",False,False,False,-4503.61,24596.4
"Azacitidine  | 1000.0",False,False,False,-13191.7,18731.8
"Azacitidine  | 10000.0",False,False,False,-5738.49,62089.4
"BMS-265246 | 10.0",False,False,False,13102.5,122783
"BMS-265246 | 100.0",False,False,False,15438.7,92614.7
"BMS-265246 | 1000.0",False,False,False,12753.7,65615.3
"BMS-265246 | 10000.0",False,False,False,43000.2,188665
"BMS-536924 | 10.0",False,False,False,-7157.62,28209.4
"BMS-536924 | 100.0",False,False,False,-2515.01,30676.6
"BMS-536924 | 1000.0",False,False,False,1421.62,62095
"BMS-536924 | 10000.0",False,False,False,15688.3,103412
"BMS-754807 | 10.0",False,False,False,-966.668,39804.6
"BMS-754807 | 100.0",False,False,False,-13895.7,15112.1
"BMS-754807 | 1000.0",False,False,False,15229.4,175038
"BMS-911543 | 10.0",False,False,False,1535.35,79599
"BMS-911543 | 100.0",False,False,False,-6191.2,39382
"BMS-911543 | 1000.0",False,False,False,17946.3,143545
"BMS-911543 | 10000.0",False,False,False,-5137.53,40940.3
"BRD4770 | 10.0",False,False,False,7382.69,74311.9
"BRD4770 | 100.0",False,False,False,-1135.27,56195.2
"BRD4770 | 1000.0",False,False,False,27422.5,120225
"BRD4770 | 10000.0",False,False,False,-2271.09,39420.3
"Barasertib (AZD1152-HQPA) | 10.0",False,False,False,-644.268,69275.7
"Barasertib (AZD1152-HQPA) | 100.0",False,False,False,21268.7,123746
"Barasertib (AZD1152-HQPA) | 1000.0",False,False,False,17710.7,68904.1
"Barasertib (AZD1152-HQPA) | 10000.0",False,False,False,14571.8,95149.4
"Baricitinib (LY3009104, INCB028050) | 10.0",False,False,False,6085.46,81175.3
"Baricitinib (LY3009104, INCB028050) | 100.0",False,False,False,-21.4457,60138.9
"Baricitinib (LY3009104, INCB028050) | 1000.0",False,False,False,5087.41,64793.9
"Baricitinib (LY3009104, INCB028050) | 10000.0",False,False,False,-6507.65,18968.4
"Belinostat (PXD101) | 10.0",False,False,False,-8330.39,25375.4
"Belinostat (PXD101) | 100.0",False,False,False,23755,191690
"Belinostat (PXD101) | 1000.0",False,False,False,5378.92,77700.2
"Belinostat (PXD101) | 10000.0",False,False,False,-10254.1,23995.3
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 10.0",False,False,False,-23.3751,67190
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 100.0",False,False,False,-7078.87,27349.9
"Bisindolylmaleimide IX (Ro 31-8220 Mesylate) | 1000.0",False,False,False,-282.738,60739.5
"Bosutinib (SKI-606) | 10.0",False,False,False,6661.53,56603.5
"Bosutinib (SKI-606) | 100.0",False,False,False,27203.4,138810
"Bosutinib (SKI-606) | 1000.0",False,False,False,74492,82910.3
"Bosutinib (SKI-606) | 10000.0",False,False,False,3039.63,102723
"Busulfan  | 10.0",False,False,False,-11872,32136.4
"Busulfan  | 100.0",False,False,False,4197.88,58341
"Busulfan  | 1000.0",False,False,False,-1330.08,52273.8
"Busulfan  | 10000.0",False,False,False,-8979.68,20077.5
"CEP-33779 | 10.0",False,False,False,-7628.13,35912.1
"CEP-33779 | 100.0",False,False,False,-3395.7,31995.4
"CEP-33779 | 1000.0",False,False,False,-10800.6,22962.2
