perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"(r)-verapamil|0.05",False,False,False,115.312,2290.95
"(r)-verapamil|0.5",True,False,False,52.3358,1438.5
"(r)-verapamil|5.0",False,False,False,336.846,2182.36
"(s)-crizotinib|0.05",True,False,False,-248.736,729.152
"(s)-crizotinib|0.5",True,False,False,-218.736,1134.06
"(s)-crizotinib|5.0",False,False,False,767.896,3190.75
"18β-glycyrrhetinic acid|0.05",True,False,False,226.212,2442.13
"18β-glycyrrhetinic acid|0.5",True,False,False,-87.545,1736.75
"18β-glycyrrhetinic acid|5.0",True,False,False,47.5781,1727.2
"4egi-1|0.05",False,False,False,1426.32,6505.21
"4egi-1|0.5",True,False,False,1092.9,2847.77
"4egi-1|5.0",True,False,False,-146.648,1576.87
"5-azacytidine|0.05",False,False,False,293.586,4038.94
"5-azacytidine|0.5",True,False,False,878.654,4517.12
"5-azacytidine|5.0",True,False,False,1028.86,2560.82
"5-fluorouracil|0.05",False,False,False,-159.416,926.264
"5-fluorouracil|0.5",True,False,False,-56.7214,672.672
"5-fluorouracil|5.0",True,False,False,967.613,4693.19
"8-hydroxyquinoline|0.05",True,False,False,57.4079,2524.56
"8-hydroxyquinoline|0.5",True,False,False,-95.2114,1163.66
"8-hydroxyquinoline|5.0",True,False,False,730.808,2522.48
"9-ing-41|0.05",False,False,False,225.074,1973.1
"9-ing-41|0.5",True,False,False,-32.5697,1894.67
"9-ing-41|5.0",False,False,False,337.498,1794.64
"abemaciclib|0.05",True,False,False,820.697,5518.15
"abemaciclib|0.5",True,False,False,1570.58,5405.9
"abemaciclib|5.0",True,False,False,654.862,3176.74
"abiraterone acetate|0.05",True,False,False,1332.73,9257.75
"abiraterone acetate|0.5",False,False,False,-117.126,1832.07
"abiraterone acetate|5.0",True,False,False,150.272,1741.97
"acetazolamide|0.05",True,False,False,-52.8429,651.554
"acetazolamide|0.5",True,False,False,635.529,3472.53
"acetazolamide|5.0",True,False,False,136.484,2142.06
"acetohexamide|0.05",True,False,False,181.963,1460.91
"acetohexamide|0.5",True,False,False,77.4693,1150.33
"acetohexamide|5.0",True,False,False,341.167,3369.88
"adagrasib|0.05",False,False,False,1698.04,7509.72
"adagrasib|0.5",True,False,False,573.396,4020.54
"adagrasib|5.0",True,False,False,230.4,1218.39
"adenine|0.05",True,False,False,-285.52,801.042
"adenine|0.5",True,False,False,77.8167,2687.01
"adenine|5.0",False,False,False,816.219,3105.33
"adenosine|0.05",False,False,False,734.495,2422.84
"adenosine|0.5",False,False,False,48.9222,1300.8
"adenosine|5.0",False,False,False,326.396,3412.42
"afatinib|0.05",False,False,False,264.93,2242.45
"afatinib|0.5",True,False,False,448.317,3873.41
"afatinib|5.0",False,False,False,87.7626,1241.71
"aliskiren|0.05",True,False,False,964.995,3426.66
"aliskiren|0.5",True,False,False,-128.45,872.048
"aliskiren|5.0",True,False,False,1379.85,7018.7
"allantoin|0.05",True,False,False,288.463,1716.81
"allantoin|0.5",True,False,False,572.699,2135.23
"allantoin|5.0",False,False,False,801.988,1984.76
"allopurinol|0.05",True,False,False,641.859,5824.36
"allopurinol|0.5",True,False,False,-176.531,940.662
"allopurinol|5.0",True,False,False,1197.41,5505.2
"almonertinib|0.05",True,False,False,897.572,4997.14
"almonertinib|0.5",False,False,False,434.762,3562.63
"almonertinib|5.0",False,False,False,-42.5387,1624.11
"alpelisib|0.05",True,False,False,-353.221,507.958
"alpelisib|0.5",True,False,False,289.864,949.306
"alpelisib|5.0",True,False,False,-360.704,673.81
"altretamine|0.05",True,False,False,-382.873,658.362
"altretamine|0.5",True,False,False,950.171,5613.61
"altretamine|5.0",False,False,False,-63.0577,1422.92
"amsacrine|0.05",True,False,False,321.89,2199.79
"amsacrine|0.5",True,False,False,1204.36,4250.3
"amsacrine|5.0",True,False,False,477.863,3073.47
"anastrozole|0.05",True,False,False,1838.65,5677.3
"anastrozole|0.5",True,False,False,1181.59,2713.35
"anastrozole|5.0",True,False,False,-419.784,467.727
"anethole trithione|0.05",True,False,False,681.514,3062.26
"anethole trithione|0.5",False,False,False,1078.01,4738.2
"anethole trithione|5.0",True,False,False,469.339,1789.49
"apalutamide|0.05",True,False,False,-284.767,530.98
"apalutamide|0.5",False,False,False,124.961,2099.42
"apalutamide|5.0",True,False,False,528.721,3095.52
"aprepitant|0.05",False,False,False,-240.839,1127.09
"aprepitant|0.5",True,False,False,204.63,1761.88
"aprepitant|5.0",True,False,False,-42.793,1361.49
"apto-253|0.05",True,False,False,1259.08,6444.21
"apto-253|0.5",True,False,False,436.747,2767.99
"apto-253|5.0",True,False,False,677.452,2685.27
"arbutin|0.05",True,False,False,-116.511,1229.71
"arbutin|0.5",False,False,False,-111.565,989.838
"arbutin|5.0",True,False,False,-299.14,920.449
"artemether|0.05",False,False,False,96.6687,1652.31
"artemether|0.5",True,False,False,985.03,4946.03
"artemether|5.0",True,False,False,265.146,809.86
"artesunate|0.05",False,False,False,1040.16,6061.22
"artesunate|0.5",True,False,False,-53.2133,2328.07
"artesunate|5.0",True,False,False,168.234,2675.19
"asciminib|0.05",True,False,False,323.468,1979.42
"asciminib|0.5",True,False,False,-133.353,1345.24
"asciminib|5.0",True,False,False,291.707,4427.64
"aspirin|0.05",True,False,False,858.922,5101.28
"aspirin|0.5",True,False,False,981.755,2697.67
"aspirin|5.0",True,False,False,1083.68,4730.53
"at7519|0.05",True,False,False,26.6945,909.171
"at7519|0.5",True,False,False,163.953,1763.91
"at7519|5.0",True,False,False,142.656,2391.33
"ataluren|0.05",False,False,False,262.939,1789.39
"ataluren|0.5",True,False,False,371.231,3354
"ataluren|5.0",True,False,False,26.8277,1140.85
"atazanavir|0.05",True,False,False,175.283,2425.54
"atazanavir|0.5",True,False,False,-367.004,862.311
"atazanavir|5.0",True,False,False,-130.454,1720.15
"auranofin|0.05",False,False,False,-135.926,1169.59
"auranofin|0.5",True,False,False,-116.844,1090.4
"auranofin|5.0",True,False,False,2332.51,5281.16
"azd-7648|0.05",True,False,False,3330.4,9189.51
"azd-7648|0.5",True,False,False,-165.48,793.073
"azd-7648|5.0",True,False,False,-435.971,587.369
"azd-8055|0.05",True,False,False,193.603,3473.11
"azd-8055|0.5",True,False,False,178.649,1727.87
"azd-8055|5.0",True,False,False,362.454,3904.62
"azd1390|0.05",True,False,False,2983.28,7437.53
"azd1390|0.5",True,False,False,-95.4669,830.555
"azd1390|5.0",True,False,False,-301.535,601.358
"azd2858|0.05",False,False,False,-31.3752,1523.4
"azd2858|0.5",True,False,False,56.0589,1243.25
"azd2858|5.0",True,False,False,-435.299,447.618
"azithromycin|0.05",False,False,False,762.732,2633.25
"azithromycin|0.5",False,False,False,242.983,2084.77
"azithromycin|5.0",False,False,False,370.537,3289.66
"baicalin|0.05",True,False,False,19.8568,1061.31
"baicalin|0.5",True,False,False,-386.556,491.806
"baicalin|5.0",True,False,False,382.568,1968.61
"balsalazide|0.05",True,False,False,1890.36,5978.07
"balsalazide|0.5",True,False,False,929.886,1917.66
"balsalazide|5.0",True,False,False,1297.25,2237.04
"bay1125976|0.05",True,False,False,2121.98,6173.57
"bay1125976|0.5",True,False,False,-19.9664,1323.06
"bay1125976|5.0",True,False,False,1771.58,6351.1
"belinostat|0.05",True,False,False,-145.671,1340.09
"belinostat|0.5",True,False,False,-5.73374,2270.61
"belinostat|5.0",True,False,False,2642.61,4076.94
"belumosudil|0.05",False,False,False,406.447,3052.65
"belumosudil|0.5",True,False,False,182.196,2138.49
"belumosudil|5.0",True,False,False,-143.049,1422.51
"belzutifan|0.5",False,False,False,1325.15,4540.24
"belzutifan|5.0",True,False,False,-231.843,960.701
"bendamustine|0.05",False,False,False,418.619,2960.4
"bendamustine|0.5",True,False,False,601.427,3194.07
"bendamustine|5.0",True,False,False,52.0312,1778.43
"benproperine|0.05",True,False,False,544.895,1868.19
"benproperine|0.5",True,False,False,587.241,4233.28
"benproperine|5.0",True,False,False,5.96727,1229.87
"bentamapimod|0.05",True,False,False,414.562,3103.08
"bentamapimod|0.5",False,False,False,118.354,1466.3
"bentamapimod|5.0",True,False,False,-184.654,801.765
"benztropine|0.05",True,False,False,143.284,1922.88
"benztropine|0.5",False,False,False,1146.36,5432.17
"benztropine|5.0",False,False,False,-27.4976,897.632
"berbamine|0.05",True,False,False,-143.127,1019.79
"berbamine|0.5",True,False,False,546.469,5057.69
"berbamine|5.0",True,False,False,318.562,3356.73
"berberine|0.05",True,False,False,221.896,2234.73
"berberine|0.5",True,False,False,547.455,3038.33
"berberine|5.0",True,False,False,76.392,967.746
"bergenin|0.05",False,False,False,70.0934,1873.92
"bergenin|0.5",True,False,False,445.793,3457.97
"bergenin|5.0",False,False,False,805.656,3506.15
"bestatin|0.05",True,False,False,-17.687,1941.09
"bestatin|0.5",False,False,False,438.202,2306.58
"bestatin|5.0",True,False,False,729.245,3301.53
"betamethasone dipropionate|0.05",True,False,False,8.31508,1817.69
"betamethasone dipropionate|0.5",True,False,False,-340.039,470.506
"betamethasone dipropionate|5.0",True,False,False,473.032,2483.03
"bexarotene|0.05",True,False,False,1326.13,6277.57
"bexarotene|0.5",True,False,False,58.7349,1380.1
"bexarotene|5.0",True,False,False,1680.15,6822
"bi-3406|0.05",True,False,False,315.282,2078.65
"bi-3406|0.5",True,False,False,-110.888,1173.61
"bi-3406|5.0",True,False,False,73.8319,1747.33
"bi-78d3|0.05",True,False,False,504.582,4020.45
"bi-78d3|0.5",True,False,False,136.876,2618.37
"bi-78d3|5.0",True,False,False,691.335,2973.39
"bicalutamide|0.05",True,False,False,564.892,1721.81
"bicalutamide|0.5",True,False,False,-52.4253,2183.3
"bicalutamide|5.0",True,False,False,1397.78,4200.37
"bimatoprost|0.05",False,False,False,431.269,3657.25
"bimatoprost|0.5",True,False,False,478.503,5156.76
"bimatoprost|5.0",False,False,False,901.922,5183.05
"bimiralisib|0.05",True,False,False,441.27,2500.46
"bimiralisib|0.5",True,False,False,895.837,4353.45
"bimiralisib|5.0",False,False,False,612.687,4214.66
"binimetinib|0.05",True,False,False,-203.114,683.377
"binimetinib|0.5",False,False,False,30.7218,1259.72
"binimetinib|5.0",False,False,False,295.209,1682.17
"bisoprolol|0.05",True,False,False,453.094,2452.18
"bisoprolol|0.5",True,False,False,581.101,2670.39
"bisoprolol|5.0",True,False,False,67.034,3763.54
"bortezomib|0.05",True,False,False,2593.33,5860.98
"bortezomib|0.5",True,False,False,1170.84,3485.92
"bortezomib|5.0",True,False,False,1447.89,6465.39
"bosentan|0.05",True,False,False,-269.921,669.63
"bosentan|0.5",True,False,False,-27.9628,1844.31
"bosentan|5.0",False,False,False,-0.128246,1340.02
"brimonidine|0.05",True,False,False,102.918,1191.41
"brimonidine|0.5",True,False,False,-143.166,1321.8
"brimonidine|5.0",True,False,False,-227.537,507.157
"brivudine|0.05",True,False,False,246.354,2273.85
