perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A1CF",False,False,False,1384.04,11514.2
"ABCA9",False,False,False,-2085.47,5176.12
"ABCB8",False,False,False,-708.773,8432.61
"ABCC4",False,False,False,-424.296,11532.3
"ABHD15",False,False,False,545.065,11682.8
"ABHD17A",False,False,False,1308.49,17190.7
"ABHD2",False,False,False,-2572.67,3360.13
"ABLIM2",False,False,False,-420.42,16554.1
"ABO",False,False,False,-2288.44,6711.78
"ACAP1",False,False,False,-1075.04,10165.6
"ACCSL",False,False,False,3331.94,14345.4
"ACE",False,False,False,3420.19,21495.8
"ACER2",False,False,False,5162.02,29000.4
"ACOT11",False,False,False,-540.347,9007.97
"ACP5",False,False,False,-1346.28,10683.4
"ACSL5",False,False,False,-2033.47,4932.32
"ACTN2",False,False,False,216.512,8477.78
"ACTR1A",False,False,False,-93.1885,8127.5
"ACTR5",False,False,False,4168.18,17528.3
"ACTRT1",False,False,False,1534.17,16240.9
"ACYP1",False,False,False,-2819.38,4729.21
"ACYP2",False,False,False,-553.214,7034.03
"ADA",False,False,False,1479.46,14025.7
"ADAD2",False,False,False,401.438,6167.28
"ADAMTS2",False,False,False,-1594.64,8313.98
"ADCK1",False,False,False,-1605.21,8795.68
"ADGRF3",False,False,False,926.981,16787.4
"ADH6",False,False,False,-1902.43,7255.36
"AFTPH",False,False,False,-126.104,11651.8
"AGAP3",False,False,False,1148.35,15523.4
"AGBL5",False,False,False,995.886,18089.9
"AGL",False,False,False,100.546,9775.48
"AHCYL1",False,False,False,-558.12,8306.92
"AIMP2",False,False,False,3194.83,14510.5
"AIPL1",False,False,False,239.241,10495.1
"AKAP10",False,False,False,40.8459,13831.2
"AKAP17A",False,False,False,1703.99,15062.1
"AKR1C3",False,False,False,1286.16,7404.23
"ALG9",False,False,False,3796.45,18441.7
"ALK",False,False,False,2031.32,15840.8
"ALKBH6",False,False,False,388.784,14659.4
"ALPK3",False,False,False,3356.62,23622.7
"AMER2",False,False,False,457.955,13455.7
"AMPH",False,False,False,-678.244,8172.32
"ANAPC16",False,False,False,-2445.72,9715.44
"ANGPTL4",False,False,False,-451.217,11028.3
"ANGPTL7",False,False,False,587.435,11368.7
"ANK2",False,False,False,2521.84,12869.5
"ANKRA2",False,False,False,-564.07,5790.43
"ANKRD13C",False,False,False,-409.686,8714.61
"ANKS1A",False,False,False,-1354.91,9216.25
"ANKS1B",False,False,False,2684.61,10864.9
"ANKS4B",False,False,False,287.609,8373.64
"ANP32E",False,False,False,-787.896,8299.41
"ANPEP",False,False,False,317.107,10653.7
"ANTXR1",False,False,False,2579.83,12198.6
"AOC1",False,False,False,3068.78,17029.2
"AOC3",False,False,False,-2276.19,4091.43
"AP1M1",False,False,False,-2398.23,7198.92
"APOBR",False,False,False,1301.52,13840.9
"AQP3",False,False,False,4144.37,21573.3
"ARAP1",False,False,False,-169.161,7896.03
"ARC",False,False,False,-1117.82,5457.88
"ARFGAP2",False,False,False,873.45,13255.7
"ARHGAP18",False,False,False,-1212.69,9799.8
"ARHGAP21",False,False,False,1214.13,16094.3
"ARHGAP35",False,False,False,523.874,7123.71
"ARHGEF16",False,False,False,1584.18,8438.76
"ARHGEF2",False,False,False,3013.05,19540
"ARL1",False,False,False,-910.129,5884.24
"ARL16",False,False,False,-1059.45,8897.93
"ARL6IP4",False,False,False,2936.68,18884.2
"ARMCX6",False,False,False,-1011.96,6086
"ARPC1A",False,False,False,-374.474,6431.19
"ARPC3",False,False,False,-3003.3,3177.82
"ARSG",False,False,False,1386.64,15413.5
"ASB1",False,False,False,587.124,10998.6
"ASB9",False,False,False,1406.9,12966.7
"ASCL3",False,False,False,-1523.21,14940.3
"ASH2L",False,False,False,-2311.67,7063.82
"ASIP",False,False,False,-1352.78,14563.4
"ATE1",False,False,False,3143.21,21483
"ATF3",False,False,False,-2327.82,5460.43
"ATF4",False,False,False,181.942,7939.14
"ATF7IP",False,False,False,-422.739,14851.1
"ATG101",False,False,False,1200.97,21194.3
"ATG7",False,False,False,279.464,8043.56
"ATOH8",False,False,False,-757.81,10275.5
"ATP13A4",False,False,False,-2321.06,3788.51
"ATP1A2",False,False,False,1527.6,15000.5
"ATP2A1",False,False,False,-846.745,6568.4
"ATP2B3",False,False,False,-1529.98,9246.36
"ATP5MC1",False,False,False,-787.353,9313.54
"ATP5MC3",False,False,False,2584.52,26917.6
"ATP5ME",False,False,False,5645.71,18703.2
