perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A2ML1",False,False,False,-1927.89,12235.7
"ABCA8",False,False,False,2344.26,23181.9
"ABCB11",False,False,False,-1804.09,18108.4
"ABCB9",False,False,False,2538.55,27048.4
"ABCG2",False,False,False,4632.05,43490.1
"ABHD11",False,False,False,5612.61,22139.3
"ABHD2",False,False,False,2314.03,23564.7
"ABI3",False,False,False,1246.26,17064.5
"ABL2",False,False,False,5958.94,28941.8
"ABLIM2",True,False,False,116.832,13209.4
"ABTB2",False,False,False,1768.11,25805.2
"ABTB3",False,False,False,1731.09,21218.6
"ACADVL",False,False,False,-334.906,12092.2
"ACOT11",False,False,False,289.249,16252.5
"ACOX3",False,False,False,2830.36,18494.1
"ACTC1",False,False,False,-1729.04,9475.83
"ACTL9",False,False,False,-2222.72,13400.6
"ACTRT3",False,False,False,732.061,11117.5
"ACVR1",False,False,False,-1199.36,6009.63
"ACY3",False,False,False,2724.67,16085.5
"ADAM18",False,False,False,1168.38,21393.4
"ADAM20",False,False,False,1883.3,17568.7
"ADAM7",False,False,False,6192.45,26147.4
"ADCY10",False,False,False,3864.16,23840.5
"ADH1C",False,False,False,11395.4,66988.6
"ADH6",False,False,False,-3635.95,5497.56
"AFG1L",False,False,False,-1401.36,12393.7
"AFG3L2",False,False,False,2140.06,24977.3
"AGA",False,False,False,3214.59,38474
"AGPAT3",False,False,False,5077.05,31002.1
"AHCTF1",False,False,False,-165.37,8885.84
"AHCYL1",False,False,False,4498.53,20357.9
"AIFM1",False,False,False,-160.129,18754.7
"AIMP1",False,False,False,-965.178,12177
"AKAP12",False,False,False,1444.76,18084.4
"AKNAD1",False,False,False,-1438.28,8502.77
"ALDH8A1",False,False,False,4916.79,23877.8
"ALKBH4",False,False,False,-492.723,10436.2
"ALOX12B",False,False,False,717.16,23210.8
"ALPK3",False,False,False,5095.92,19536.6
"AMPH",False,False,False,-2934.94,10435.8
"AMY1B",False,False,False,3244.74,19867.6
"ANGEL2",False,False,False,834.533,9609.6
"ANGPTL7",False,False,False,2045.99,19422.2
"ANKDD1B",False,False,False,2524.26,19543.5
"ANKFN1",False,False,False,-1591.47,12608.8
"ANKRD16",False,False,False,2418.14,12051.2
"ANKRD18A",False,False,False,2159.08,16323.2
"ANKRD35",False,False,False,2345.7,19779.2
"ANKRD61",False,False,False,2136.81,23841.4
"ANKS1B",False,False,False,-1545.38,8149.81
"ANO4",False,False,False,-263.228,17686.7
"ANXA13",False,False,False,4236.04,28663.5
"ANXA6",False,False,False,1175.18,17494.1
"AOC1",False,False,False,1092.53,18337.3
"AOX1",False,False,False,4700.41,9848.39
"AP2B1",False,False,False,2329.46,27622.3
"AP3S2",False,False,False,87.2135,11993.2
"APLN",False,False,False,-2455.02,10779.8
"APOBR",False,False,False,2590.49,17876.3
"AQP2",False,False,False,3005.12,25822.4
"AQP4",False,False,False,533.363,14479.5
"ARHGAP21",False,False,False,4024.08,22362.6
"ARHGAP24",False,False,False,9160.8,37164.8
"ARHGAP30",False,False,False,236.133,15030.1
"ARHGEF28",False,False,False,368.409,10559.9
"ARHGEF33",False,False,False,4367.09,25084.8
"ARHGEF35",False,False,False,-1219.31,19795.9
"ARID3A",False,False,False,1198.55,16175
