perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A1CF",True,False,False,-224.816,360.731
"ABCC10",False,False,False,-169.962,580.739
"ABCF3",False,False,False,154.888,1364.35
"ABHD13",False,False,False,-173.179,731.797
"ABRAXAS1",False,False,False,-120.79,1087.12
"ABTB1",False,False,False,-22.8505,770.824
"ACAA2",False,False,False,81.487,908.578
"ACAP1",True,False,False,-228.04,513.876
"ACAP3",False,False,False,-138.724,627.582
"ACBD4",True,False,False,-186.184,372.995
"ACER3",False,False,False,-141.716,589.594
"ACHE",True,False,False,-217.413,417.488
"ACO2",False,False,False,-91.1615,681.04
"ACOT13",False,False,False,5.56856,1178.43
"ACSBG1",True,False,False,-167.776,313.143
"ACSL4",False,False,False,-164.358,413.88
"ACSM6",False,False,False,-16.9753,744.483
"ACTR3B",False,False,False,44.2701,966.733
"ACVR2A",False,False,False,-77.6196,1159.54
"ADAL",False,False,False,-245.657,408.88
"ADAM19",True,False,False,55.4111,828.445
"ADAMTS1",False,False,False,108.551,971.591
"ADAMTS13",False,False,False,-24.2202,837.753
"ADAMTS7",False,False,False,348.629,1198.53
"ADCY7",False,False,False,-211.236,606.884
"ADM2",False,False,False,-301.226,87.5063
"ADSS1",True,False,False,111.736,1516.35
"AEN",True,False,False,84.2521,998.966
"AGRN",False,False,False,173.624,1201.47
"AGTRAP",False,False,False,75.903,1551.52
"AGXT",False,False,False,-113.167,411.609
"AHCY",False,False,False,-199.102,534.358
"AIF1L",False,False,False,111.607,1046.1
"AJUBA",True,False,False,123.882,1118.81
"AKAP8",False,False,False,469.008,1993.68
"AKIRIN1",False,False,False,615.059,2605.97
"AKR1B1",False,False,False,109.88,934.355
"ALDH3A2",False,False,False,-221.157,453.017
"ALG13",False,False,False,54.7392,1156.17
"AMER1",False,False,False,-134.773,543.701
"AMFR",True,False,False,-22.8198,1165.86
"AMMECR1",True,False,False,-72.6455,825.72
"ANG",True,False,False,40.1912,651.03
"ANKLE1",True,False,False,-84.112,885.011
"ANKRD27",True,False,False,-132.193,807.819
"ANKRD33B",False,False,False,-118.018,535.079
"ANKRD39",False,False,False,77.8575,1077.06
"ANKS3",False,False,False,296.117,1650.03
"ANO9",False,False,False,-160.494,494.881
"ANTXR1",True,False,False,-198.064,623.977
"ANXA5",False,False,False,-22.6968,1685.96
"AP4B1",False,False,False,29.2856,941.101
