perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"(+)-JQ1 | 10.0",True,False,False,166.421,3703.58
"(+)-JQ1 | 100.0",False,False,False,-438.436,2342.56
"2-Methoxyestradiol (2-MeOE2) | 10.0",False,False,False,-746.784,1501.27
"2-Methoxyestradiol (2-MeOE2) | 100.0",False,False,False,749.556,7071.4
"A-366 | 10.0",False,False,False,-553.75,2008.63
"A-366 | 100.0",False,False,False,3815.54,21476.6
"A-366 | 1000.0",False,False,False,139.911,2855.42
"A-366 | 10000.0",False,False,False,1821.33,7137.93
"ABT-737 | 10.0",False,False,False,-118.22,4357.46
"ABT-737 | 100.0",False,False,False,-640.198,2377.91
"ABT-737 | 1000.0",False,False,False,-186.899,3277.33
"ABT-737 | 10000.0",False,False,False,129.098,2076.85
"AC480 (BMS-599626) | 10.0",False,False,False,630.917,4971.44
"AC480 (BMS-599626) | 100.0",False,False,False,2205.15,11772.2
"AC480 (BMS-599626) | 1000.0",False,False,False,1246,8387.04
"AG-14361 | 10.0",False,False,False,427.198,8084.95
"AG-14361 | 100.0",False,False,False,987.777,6382.28
"AG-14361 | 1000.0",False,False,False,1201,6017.56
"AG-14361 | 10000.0",False,False,False,38.5035,3373.21
"AG-490 (Tyrphostin B42) | 10.0",False,False,False,150.394,3088.88
"AG-490 (Tyrphostin B42) | 100.0",False,False,False,414.188,5303.8
"AG-490 (Tyrphostin B42) | 1000.0",False,False,False,820.532,4722.01
"AG-490 (Tyrphostin B42) | 10000.0",False,False,False,385.218,5117.55
"AICAR (Acadesine) | 10.0",False,False,False,-232.271,2041.03
"AICAR (Acadesine) | 100.0",False,False,False,990.682,3918.16
"AICAR (Acadesine) | 1000.0",False,False,False,-187.631,2574.88
"AICAR (Acadesine) | 10000.0",False,False,False,348.101,1807.52
"AMG-900 | 10.0",True,False,False,6665.27,13182.8
"AMG-900 | 100.0",False,False,False,2393.71,10586.2
"AMG-900 | 1000.0",True,False,False,5046.76,9617.83
"AMG-900 | 10000.0",True,False,False,4731.45,15229.3
"AR-42 | 10.0",False,False,False,345.541,5819.4
"AT9283 | 10.0",True,False,False,3714.18,5148.7
"AZ 960 | 10.0",False,False,False,2770.07,5710.37
"AZ 960 | 100.0",False,False,False,-75.4984,2500.91
"AZD1480 | 10.0",False,False,False,401.646,3388.1
"AZD1480 | 100.0",False,False,False,-426.159,1153.15
"AZD1480 | 1000.0",False,False,False,-153.976,1114.25
"Abexinostat (PCI-24781) | 10.0",False,False,False,-288.975,1917.78
"Alendronate sodium trihydrate | 10.0",False,False,False,-132.748,1880.85
"Alendronate sodium trihydrate | 100.0",False,False,False,749.108,3341.68
"Alendronate sodium trihydrate | 1000.0",False,False,False,-201.691,2677.74
"Alendronate sodium trihydrate | 10000.0",False,False,False,701.817,3305.48
"Alisertib (MLN8237) | 1000.0",False,False,False,1058.56,5517.91
"Altretamine | 10.0",False,False,False,-571.212,1923.01
"Altretamine | 100.0",False,False,False,-577.244,1512.48
"Altretamine | 1000.0",False,False,False,-163.833,3358.64
"Altretamine | 10000.0",False,False,False,644.468,3752.69
"Alvespimycin (17-DMAG) HCl | 10.0",False,False,False,1433.77,6163.09
"Aminoglutethimide  | 10.0",False,False,False,-329.239,1983.04
"Aminoglutethimide  | 100.0",False,False,False,-409.906,1350.46
"Aminoglutethimide  | 1000.0",False,False,False,-826.436,1243.85
"Aminoglutethimide  | 10000.0",False,False,False,515.238,6171.6
"Amisulpride | 10.0",False,False,False,1037.27,8039.26
"Amisulpride | 100.0",False,False,False,-314.651,2759.15
"Amisulpride | 1000.0",False,False,False,-538.199,1436.13
"Amisulpride | 10000.0",False,False,False,580.623,4580.02
"Anacardic Acid | 10.0",False,False,False,-439.345,2510.2
"Anacardic Acid | 100.0",False,False,False,-343.861,2077.33
"Anacardic Acid | 1000.0",False,False,False,136.118,3548.31
"Anacardic Acid | 10000.0",False,False,False,860.691,9233.9
"Andarine | 10.0",False,False,False,1283.46,7018.67
"Andarine | 100.0",False,False,False,6489.59,15603.1
"Andarine | 1000.0",False,False,False,-178.69,2288.53
"Andarine | 10000.0",False,False,False,-80.4201,2947.19
"Aurora A Inhibitor I | 10.0",False,False,False,-137.428,2574.81
"Aurora A Inhibitor I | 100.0",False,False,False,-447.216,2466.94
"Aurora A Inhibitor I | 1000.0",False,False,False,361.817,5567.83
"Avagacestat (BMS-708163) | 10.0",False,False,False,-647.675,1806.79
"Avagacestat (BMS-708163) | 100.0",False,False,False,-29.7191,3073.37
