perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A2M",False,False,False,5301,106199
"ACTA2",False,False,False,-6437.2,85244.8
"AEBP1",False,False,False,-18764.6,40668.2
"AGA",False,False,False,10380.7,95393.4
"AHNAK",False,False,False,-9696.83,58684.7
"APOC2",False,False,False,8907.31,135026
"APOD",False,False,False,24985.2,150223
"APOE",False,False,False,35484.2,210855
"ARMC6",False,False,False,3823.61,101936
"ATP1B1",False,False,False,-17445.4,82057.4
"B2M",False,False,False,44076.8,236524
"BOLA2B",False,False,False,27144.3,226493
"BZW2",False,False,False,4100.01,136153
"C19orf48",False,False,False,-6912.4,127398
"C6orf226",False,False,False,-10098.3,73579
"CCND1",True,False,False,62846.4,223653
"CCND2",False,False,False,-1684.86,56533.9
"CCR10",False,False,False,4961.5,90304.8
"CD151",False,False,False,-4584.26,70003.4
"CD274",False,False,False,-20403.4,56538
"CD44",False,False,False,54214.6,201449
"CD47",False,False,False,27927.1,119718
"CD58",False,False,False,-5315.95,51742.6
"CD59",False,False,False,-1928.71,86453.8
"CD63",False,False,False,121413,823149
"CDH19",False,False,False,-17839,37853.4
"CDK4",False,False,False,-13952.4,53608.5
"CDKN1A",False,False,False,-21908.2,26351
"CDKN2A",False,False,False,1609.56,135005
"CDKN2B",False,False,False,-26956.5,20031.5
"CHCHD2",False,False,False,-9390.13,114448
"CITED1",False,False,False,-839.826,56032.9
"CKS1B",False,False,False,-15110.5,55434.8
"CMSS1",False,False,False,-13400.7,76754.3
"CORO1A",False,False,False,-20027.7,53274.6
"CSPG4",False,False,False,29751,232155
"CTSA",False,False,False,-23634,41642.9
"CTSB",False,False,False,-26311.5,28843.7
"CTSD",False,False,False,-18511,40635.6
"CTSL",False,False,False,55340.9,121666
"CTSO",False,False,False,-29908,15755.3
"CXCR4",False,False,False,-17316.5,28951.7
"CYP27A1",False,False,False,-1045.72,78495.7
"DAG1",False,False,False,-26374.4,17116.3
"DDR1",False,False,False,-23260,34952
"DDX17",False,False,False,-19015.7,25805.6
"DLL3",False,False,False,3747.58,129242
"EIF3K",False,False,False,-16525.9,41834.4
"EMP1",False,False,False,-18081,43820.3
"ENPP1",False,False,False,-22405.7,28908.8
"EVA1A",False,False,False,-489.586,90143.5
"FBXO32",False,False,False,-25796.9,21162
"FGFR1",False,False,False,-10151.5,88483.3
"FMN1",False,False,False,2616.35,137689
"FOS",False,False,False,-21686.8,46310.1
"FSTL3",False,False,False,-5825.79,116380
"GAA",False,False,False,-17662,58130.6
"GAS5",False,False,False,-25497.9,20620
"GPNMB",False,False,False,-17200.4,32933.5
"GSN",False,False,False,-16495.2,83674
"HLA-A",False,False,False,-7687.64,75455.4
"HLA-DRB5",False,False,False,-9923.39,78159.9
"HLA-E",False,False,False,-23893.2,22452.2
"HLA-F",False,False,False,-5563.63,85877.6
"HLA-H",False,False,False,-21299.2,56406.9
"HSPA1A",False,False,False,3473.29,66934.8
"IDH2",False,False,False,338226,986549
"IDI2-AS1",False,False,False,-23323.1,27875.6
"IFNGR1",False,False,False,-4165.93,84594.9
"IFNGR2",False,False,False,6216.59,178547
"ITGA3",False,False,False,144307,839649
"JAK1",False,False,False,-7925.8,71423.5
"JAK2",False,False,False,-17068.2,46634.7
"JMJD7",False,False,False,-5761.01,49546.1
"KDR",False,False,False,-11284.9,69698.1
"KLF4",False,False,False,-13051.9,98297.9
"LAMP2",False,False,False,9810.66,169833
"LCP1",False,False,False,-28605.7,14981.1
"LEF1-AS1",False,False,False,-15541.1,62797.9
"LINC00518",False,False,False,-13508.1,57450.5
"MFGE8",False,False,False,-7611.48,72378.9
"NMRK1",False,False,False,5512.2,63109.3
"NT5E",False,False,False,102987,221471
"PFDN4",False,False,False,13926.9,131893
"PSAP",False,False,False,-10117,70847
"RTP4",False,False,False,7717.05,57765
"SLC22A18",False,False,False,-11367.9,88845.3
