perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A2M",False,False,False,3245.16,19757.4
"ACTA2",False,False,False,5172.4,17202.9
"AEBP1",False,False,False,11383.8,35107.4
"AGA",False,False,False,1285.02,16131.1
"AHNAK",False,False,False,2904.66,13989.5
"APOC2",False,False,False,10107,63809.6
"APOD",False,False,False,-2889.57,9251.52
"APOE",False,False,False,-324.809,11759.1
"ARMC6",False,False,False,3407.87,21127.2
"ATP1B1",False,False,False,4827.01,18374.6
"ATP5MD",True,False,False,1564.85,11633.1
"B2M",False,False,False,8093.85,37461.1
"BOLA2",False,False,False,5344.44,21002.6
"BOLA2B",False,False,False,6558.19,29974.9
"BZW2",False,False,False,456.951,13547.9
"C19orf48",False,False,False,4582.78,26105
"C6orf226",False,False,False,1511.28,19216.3
"CCND2",False,False,False,4381.85,21192.5
"CCR10",False,False,False,-500.965,16599.3
"CD151",False,False,False,4981.81,11422.2
"CD274",False,False,False,1713.35,21943.2
"CD44",False,False,False,1812.47,19718.2
"CD47",False,False,False,-121.19,10601.1
"CD58",False,False,False,3676.36,19607
"CD59",False,False,False,-474.821,15002.3
"CD63",False,False,False,2198.91,21675.9
"CDH19",False,False,False,-419.904,15127.3
"CDK4",False,False,False,5267.62,19915.2
"CDKN1A",False,False,False,897.784,15048.9
"CDKN2A",False,False,False,2833.33,24599
"CDKN2B",False,False,False,3345.7,20683
"CGAS",False,False,False,449.671,19943.2
"CHCHD2",False,False,False,1831.28,17052.3
"CITED1",False,False,False,241.246,15814.4
"CKS1B",False,False,False,9448.13,23952.2
"CMSS1",False,False,False,3262.01,20987
"CORO1A",False,False,False,6609.79,24586.4
"CSPG4",False,False,False,-287.683,18553.2
"CST3",False,False,False,290.535,14163.4
"CTSA",False,False,False,-3406.31,7446.51
"CTSB",False,False,False,140.914,15026.2
"CTSD",False,False,False,-158.153,23907.1
"CTSL",False,False,False,6499.55,33046.9
"CTSO",False,False,False,4465.56,24604.6
"CXCR4",False,False,False,-98.7653,21525.6
"CYP27A1",False,False,False,3616.3,17683
"DAG1",False,False,False,3065.91,17098.9
"DDR1",False,False,False,915.24,23123.8
"DDX17",False,False,False,7904.73,42756.7
"DDX39A",False,False,False,-854.872,9172.61
"DLL3",False,False,False,5267.38,30646.2
"EEA1",False,False,False,6903.69,25488.4
"EIF3K",True,False,False,1577.95,13695.2
"EMP1",False,False,False,-1193.32,9341.99
"ENPP1",False,False,False,-821.885,13345.5
"EVA1A",False,False,False,9346.01,65888.7
"FBXO32",False,False,False,2312.93,18160.4
"FGFR1",False,False,False,-918.757,15852.2
"FKBP4",False,False,False,1973.38,19483.9
"FMN1",False,False,False,1764.51,19802.4
"FOS",False,False,False,-2537.1,15956.8
"FRZB",False,False,False,3674.7,28201.6
"FSTL3",False,False,False,-1860.58,12367.7
"GAA",False,False,False,4303.93,15474
"GAS5",False,False,False,1581.34,19338.8
"GPATCH4",False,False,False,2247.17,19494
"GPNMB",False,False,False,-452.222,14455.1
"GRN",False,False,False,2583.62,19469.8
"GSN",False,False,False,-606.242,15352.6
"HLA-A",False,False,False,-43.2006,7759.37
"HLA-C",False,False,False,136.63,14973.8
"HLA-DRB5",False,False,False,-1375.42,16314.5
"HLA-E",False,False,False,3674.56,23474.4
"HLA-F",False,False,False,-362.733,8388.76
"HLA-H",False,False,False,2292.6,22331.5
"HNRNPA1",False,False,False,10249.9,21640.9
"HSPA1A",True,False,False,-108.745,20605.5
"IDH2",False,False,False,1382.72,16217.6
"IDI2-AS1",False,False,False,-287.238,13120.5
"IFNGR1",False,False,False,-1429.58,15441.7
"IFNGR2",False,False,False,424.216,29524.4
"IRF3",False,False,False,-2831.33,11353.6
"IRF4",False,False,False,3049.02,23238.2
"ITGA3",False,False,False,6573.21,23821.9
"JAK1",False,False,False,3236.83,19613.1
"JAK2",True,False,False,3751.42,40583.7
"JMJD7",False,False,False,1320.73,13439.4
"KCNN4",False,False,False,1994.52,29858
"KDR",False,False,False,-831.285,11152.6
"KLF4",False,False,False,-2389.59,11865.2
"LAMP2",False,False,False,2275.02,18010.9
"LCP1",False,False,False,-2399.1,8173.87
"LEF1-AS1",False,False,False,4620.79,25281.6
"LGALS3BP",False,False,False,4992.76,23082.4
"LINC00518",False,False,False,-3720.36,9275.25
"LRPAP1",False,False,False,2140.46,28420.4
"LY96",True,False,False,10412,32258.7
"MC1R",False,False,False,-1379.77,15220.4
"MDH2",False,False,False,5988.84,25757.9
"MFGE8",False,False,False,1561.47,10784.6
"MIA",False,False,False,1354.55,24609.8
"NEAT1",False,False,False,723.398,14270.8
"NGFR",True,False,False,5793.87,33283.3
"NME1",False,False,False,-1862.62,9097.11
"NMRK1",False,False,False,2918.63,17761.1
"NONO",False,False,False,3612.76,20853.6
"NPC1",False,False,False,5817.03,33490.5
"NPC2",False,False,False,4359.84,28111.8
"NSG1",False,False,False,2729.52,21929.4
"NT5E",False,False,False,107.97,11716.5
"NUP50-AS1",False,False,False,-415.353,10807.3
"PFDN4",False,False,False,4194.9,18431.6
"PIK3IP1",False,False,False,7775.02,32082.7
"PPIA",False,False,False,3294.41,21880.7
"PROS1",False,False,False,3094.67,17213.2
