perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A2M",False,False,False,3392.69,21206.6
"ACTA2",False,False,False,6367.46,37033
"AEBP1",False,False,False,-1611.2,6224.08
"AGA",False,False,False,4669.39,21329.2
"AHNAK",False,False,False,-142.451,13466.8
"APOC2",False,False,False,6177.66,23891.7
"APOD",False,True,False,13544.1,11693.7
"APOE",False,False,False,1200.57,14963.4
"ARMC6",False,False,False,-4016.13,6992.47
"ATP1B1",False,False,False,-4323.21,10440.3
"B2M",False,False,False,3504.11,15718.9
"BOLA2B",False,False,False,3908.93,20598.1
"BZW2",False,False,False,5243.72,29791.4
"C19orf48",False,False,False,1114.05,22791.3
"C6orf226",False,False,False,4933.33,24104.8
"CCND1",True,False,False,17176,45983.7
"CCND2",False,False,False,915.637,12882.2
"CCR10",False,False,False,417.471,8781.86
"CD151",False,False,False,-861.128,11103
"CD274",False,False,False,-562.323,8586.56
"CD44",False,False,False,4035.25,26380.8
"CD47",False,False,False,10773.3,31891.7
"CD58",False,False,False,-2789.63,6142.29
"CD59",False,False,False,4065.53,27208.1
"CD63",False,False,False,-1802.99,14004
"CDH19",False,False,False,3289.36,32023.7
"CDK4",False,False,False,554.298,26932.3
"CDKN1A",False,False,False,-1068.24,9204.99
"CDKN2A",False,False,False,3344.48,27342.8
"CDKN2B",False,False,False,-1660.51,9247.74
"CHCHD2",False,False,False,-678.457,16707
"CITED1",False,False,False,312.041,13778.3
"CKS1B",False,False,False,1812.29,14541.8
"CMSS1",False,False,False,1290.31,22252.3
"CORO1A",False,False,False,-1619.79,16151.5
"CSPG4",False,False,False,1114.8,22224.7
"CTSA",False,False,False,1497.89,11792.8
"CTSB",False,False,False,-341.435,21742.2
"CTSD",False,False,False,-516.189,14512.8
"CTSL",False,False,False,-2238.91,13423.9
"CTSO",False,False,False,929.888,17184.2
"CXCR4",False,False,False,-2327.41,8272.13
"CYP27A1",False,False,False,812.311,15541.3
"DAG1",False,False,False,-2713.24,7603.29
"DDR1",False,False,False,869.032,21099.4
"DDX17",False,False,False,1038.77,13769.8
"DLL3",False,False,False,327.081,16196.6
"EIF3K",False,False,False,-717.254,14096.1
"EMP1",False,False,False,133.176,15050.6
"ENPP1",False,False,False,5840.47,18954.5
"EVA1A",False,False,False,2820.2,31261.6
"FBXO32",False,False,False,2174.92,21082.8
"FGFR1",False,False,False,-388.103,14755.4
"FMN1",False,False,False,-852.16,9366.87
"FOS",False,False,False,2460.44,20350.4
"FSTL3",False,False,False,176.613,20150.7
"GAA",False,False,False,-1156.95,17011.2
"GAS5",False,False,False,-2409.39,7130.33
"GPNMB",False,False,False,-533.913,20454.1
"GSN",False,False,False,-225.566,18190.3
"HLA-A",False,False,False,-2447.68,10257.1
"HLA-DRB5",False,False,False,747.927,27795.6
"HLA-E",False,False,False,-1411.26,11374.3
"HLA-F",False,False,False,-1756.35,5351.25
"HLA-H",False,False,False,-954.808,11456.4
"HSPA1A",False,False,False,6709.96,30419.4
"IDH2",False,False,False,-228.671,14836.5
"IDI2-AS1",False,False,False,2694.16,20697
"IFNGR1",False,False,False,-2733.2,9204.97
"IFNGR2",False,False,False,2819.55,25707.4
"ITGA3",False,False,False,2858.04,25866.6
"JAK1",False,False,False,57.3143,13066.5
"JAK2",False,False,False,3604.96,23410
"JMJD7",False,False,False,373.677,18749.9
"KDR",False,False,False,1004.54,13609.2
"KLF4",False,False,False,-763.824,13102.3
"LAMP2",False,False,False,-2519.84,5378.21
"LCP1",False,False,False,-998.079,8695.53
"LEF1-AS1",False,False,False,3609.53,18960.1
"LINC00518",False,False,False,2473.98,31383.1
"MFGE8",False,False,False,3136.95,22574.8
"NMRK1",False,False,False,-1311.94,8201.15
"NT5E",False,False,False,4377.16,29387.3
"PFDN4",False,False,False,2489.79,15793.9
"PSAP",True,False,False,-3110.52,12077
"RTP4",False,False,False,1035.92,19796.3
"SLC22A18",False,False,False,-1876.12,10620.4
