perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A2M",False,False,False,2129.33,12300.5
"ACSL3",False,False,False,-418.578,2645.77
"ACTA2",False,False,False,3960.88,17053.7
"AEBP1",False,False,False,3136.98,6767.69
"AGA",False,False,False,809.341,8125.69
"AHNAK",False,False,False,2808.84,12997.2
"APOC2",False,False,False,1438.35,11166.2
"APOD",False,False,False,543.72,7410.87
"APOE",False,False,False,1120.9,15305.3
"ARMC6",False,False,False,1303.1,7533.95
"ATP1B1",False,False,False,3964.19,10875
"ATP5MD",False,False,False,-746.326,5836.89
"B2M",False,False,False,2318.18,8138.84
"BOLA2",False,False,False,5308.77,11830.8
"BOLA2B",False,False,False,70.033,6689.59
"BZW2",False,False,False,1775.24,7049.63
"C19orf48",False,False,False,554.773,3037.45
"C1QBP",False,False,False,4094.96,7832.18
"C6orf226",False,False,False,805.097,5729.51
"CCND1",True,False,False,2709.44,6791.84
"CCND2",False,False,False,227.969,4311.06
"CCR10",False,False,False,457.375,6134.47
"CD151",False,False,False,-446.985,4908.6
"CD274",False,False,False,1454.08,5379.03
"CD44",False,False,False,-1007.01,10456.6
"CD47",False,False,False,2687.88,7491.13
"CD58",False,False,False,1081.85,7273.45
"CD59",False,False,False,698.108,6466.34
"CD63",False,False,False,3021.97,9143.25
"CDH19",False,False,False,2262.97,13329.3
"CDK4",False,False,False,3413.81,12128.7
"CDKN1A",False,False,False,1806.86,10859.5
"CDKN2A",False,False,False,2418.32,10134.8
"CDKN2B",False,False,False,1323.07,8808.68
"CGAS",False,False,False,-605.531,4019.41
"CHCHD2",False,False,False,2814.68,11188.7
"CITED1",False,False,False,1906.82,10888.8
"CKS1B",False,False,False,1268.01,7299.74
"CMSS1",False,False,False,-500.474,3192.61
"CORO1A",False,False,False,905.838,13329.3
"CSPG4",False,False,False,-3.0825,2891.03
"CST3",False,False,False,2825.36,14048.1
"CTSA",False,False,False,133.115,3755.01
"CTSB",False,False,False,733.124,7192.42
"CTSD",False,False,False,723.4,11394.2
"CTSL",False,False,False,-253.602,5626.47
"CTSO",True,False,False,4434.39,16786.7
"CXCR4",False,False,False,1116.41,7448.72
"CYP27A1",False,False,False,674.046,7842.92
"DAG1",False,False,False,311.303,7559.43
"DDR1",False,False,False,1023.19,6271.17
"DDX17",False,False,False,1116.2,10053.6
"DDX39A",False,False,False,1640.72,7386.45
"DLL3",False,False,False,1436.9,6576.37
"E2F1",False,False,False,3748.6,10659.9
"EEA1",False,False,False,-307.849,2733.86
"EIF3K",False,False,False,2158.22,4726.11
"EMP1",False,False,False,2025.64,15051.4
"ENPP1",False,False,False,1548.34,10283.4
"EVA1A",False,False,False,2454.93,12828.9
"FBXO32",False,False,False,279.127,9395.14
"FGFR1",False,False,False,836.682,11004.3
"FKBP4",False,False,False,1354.9,10768.4
"FMN1",False,False,False,1062.98,10207.7
"FOS",False,False,False,-28.8045,4769.91
"FRZB",False,False,False,208.36,7153.63
"FSTL3",False,False,False,2682.88,13073.5
"GAA",False,False,False,777.616,6297.2
"GAS5",False,False,False,478.805,11987.3
"GPATCH4",False,False,False,2325.2,14886.7
"GPNMB",False,False,False,3065.5,12814.1
"GRN",False,False,False,2086.47,5542.38
"GSN",False,False,False,-86.6703,5105.13
"HASPIN",False,False,False,712.88,6553.24
"HLA-A",False,False,False,1185.4,6338.19
"HLA-B",False,False,False,432.862,7431.78
"HLA-C",False,False,False,24.6034,5617.25
"HLA-DRB5",False,False,False,-173.449,6473.03
"HLA-E",False,False,False,2023.33,8991.02
"HLA-F",False,False,False,688.305,6564.81
"HLA-H",False,False,False,88.5075,5303.29
"HNRNPA1",False,False,False,619.434,8323.09
"HSPA1A",False,False,False,2743.57,12640.7
"IDH2",False,False,False,2891.11,14051.8
"IDI2-AS1",False,False,False,533.924,6348.82
"IFNGR1",False,False,False,1831.12,8453.86
"IFNGR2",False,False,False,906.719,9117.43
"IRF3",False,False,False,-1144.62,3524.28
"IRF4",False,False,False,1312.34,12184.5
"ISYNA1",False,False,False,151.613,7964.82
"ITGA3",False,False,False,405.685,5415.8
"JAK1",False,False,False,1965.89,7579.1
