perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Acvr1",False,False,False,0.000840799,0.00688455
"Ahsg",False,False,False,0.00109469,0.00776834
"Alb",True,False,False,0.00413126,0.00915332
"Arfrp1",False,False,False,-0.000258744,0.00459876
"Asl",False,False,False,0.000350952,0.00445339
"Atp2a2",False,True,False,0.00548531,0.00435649
"Atp6ap1",False,False,False,0.0035306,0.00672138
"Atp6v0c",True,False,False,0.00404924,0.00846797
"B2m",False,False,False,0.000160248,0.00626455
"B3galt6",False,False,False,0.00173085,0.0119439
"B4galt7",False,False,False,0.000466193,0.00462698
"Bccip",False,False,False,0.000219385,0.00663019
"Ccdc84",False,False,False,0.000769159,0.00552553
"Cct5",False,False,False,0.00347361,0.00812381
"Cdc37",True,False,False,0.00434083,0.0062844
"Chmp4b",False,False,False,0.000650171,0.00687475
"Cltc",False,False,False,0.00227053,0.0101324
"Copb2",True,False,False,5.95029e-06,0.0036603
"Cps1",False,False,False,0.000797649,0.0060875
"Crnkl1",False,False,False,0.00256825,0.00750202
"Cul5",True,False,False,0.0011031,0.0074993
"Cyp2e1",False,False,False,-0.000845048,0.00418143
"Cyp2f2",False,False,False,0.00306733,0.011354
"Ddost",False,False,False,0.00124089,0.00862736
"Ddx20",False,False,False,0.00109965,0.00539067
"Dgat1",True,False,False,0.00184346,0.00601669
"Dhdds",True,False,False,0.00350552,0.00950681
"Dhx8",False,False,False,0.00144241,0.00393208
"Dicer1",True,False,False,0.000849593,0.00779007
"Dnajb9",False,False,False,0.00231455,0.0104234
"Dnajc17",False,False,False,0.0019478,0.00786192
"Dnm2",False,False,False,0.00118464,0.00820437
"Dut",False,False,False,0.000401296,0.00815214
"Eftud2",False,False,False,0.0014138,0.0104804
"Eif2b4",False,False,False,0.000831387,0.00435105
"Eif2s1",True,False,False,0.00947962,0.0117189
"Fabp1",False,False,False,0.00104617,0.00607247
"Fasn",False,False,False,0.00127607,0.00809249
"Fau",False,False,False,0.00186583,0.00638044
"Gja1",False,False,False,-0.00020401,0.00468284
"Golga7",True,False,False,0.007195,0.00727338
"Gpn1",False,False,False,0.00376204,0.0112514
"Gsk3b",False,False,False,0.00241547,0.00673733
"H2-T23",False,False,False,0.000464654,0.0050383
"Hnf4a",True,False,False,0.00320796,0.00919065
"Hnrnpu",False,False,False,0.00127687,0.00678075
"Hs2st1",False,False,False,0.000304028,0.00508472
"Hsp90aa1",False,False,False,0.00031747,0.00810736
"Hspa5",False,False,False,0.00127784,0.00614794
"Hspa8",False,False,False,0.000848343,0.00368405
"Hspe1",False,False,False,0.00219377,0.0105422
"Hyou1",False,False,False,0.000387927,0.0052441
"Jtb",False,False,False,0.00258592,0.0111862
"Kin",True,False,False,0.00561789,0.00849497
"Lamtor2",False,False,False,0.00313137,0.0104706
"Lars",False,False,False,0.0020806,0.006576
"Letm1",False,False,False,0.00056201,0.00435135
"Lgr4",False,False,False,0.00712862,0.0161352
"Lias",False,False,False,0.000170252,0.00532285
"Mdm2",False,False,False,0.00227797,0.013098
"Met",False,False,False,0.00191134,0.0057314
"Msto1",False,False,False,0.00108878,0.0082115
"Mtbp",False,False,False,0.00182211,0.00696864
"Myl12b",False,False,False,-4.18299e-05,0.00491484
"Nars",False,False,False,0.00321778,0.0125103
"Nfyc",False,False,False,0.00215208,0.00764183
"Nifk",False,False,False,0.0010466,0.00796964
"Npc1",False,False,False,0.00275966,0.00792629
"Nploc4",False,False,False,0.00425901,0.00832557
"Nubp1",False,False,False,0.0017494,0.00860065
"Orc2",False,False,False,0.000382005,0.00702485
"Pcsk9",False,False,False,0.00234709,0.00444094
"Pikfyve",False,False,False,0.00212333,0.00799272
"Plin2",False,False,False,0.00599645,0.00641888
"Pmpcb",False,False,False,-0.00026004,0.00523947
"Polr1a",True,False,False,0.00232388,0.006389
"Polr2l",True,False,False,0.00186338,0.00551888
"Polr3a",False,False,False,0.00162841,0.00531309
"Prkar1a",True,False,False,0.00921225,0.0107282
"Psma1",False,False,False,0.00169639,0.00798714
"Psmc1",False,False,False,0.00106535,0.0063619
"Psmc4",False,False,False,0.00126376,0.00716239
"Pten",True,False,False,0.00984646,0.0119597
"Qars",False,False,False,0.00206077,0.0105715
"Ran",False,False,False,0.00129118,0.00764125
"Rars",False,False,False,0.00065749,0.00658104
"Rbp4",False,False,False,0.00081509,0.00671908
"Rngtt",True,True,True,0.00836673,0.00674465
"Rpl18a",False,False,False,0.0012651,0.00923149
"Rpl19",False,False,False,0.00185374,0.00303951
"Rpl27",False,False,False,0.0037732,0.0092089
"Rpl27a",True,False,False,0.00195217,0.00715007
"Rpl37a",True,False,False,0.0023849,0.00564936
"Rpl38",False,False,False,0.000288905,0.0082881
"Rpl8",True,False,False,0.0031287,0.00597599
"Rpsa",True,False,False,0.00176536,0.00617177
"Rptor",False,False,False,0.00065994,0.00782257
"Rrbp1",False,False,False,0.00315817,0.00981822
"Rrn3",False,False,False,0.00222835,0.00325938
"Sars",False,False,False,0.00204078,0.00496462
"Sbno1",True,False,False,0.00852462,0.0141474
"Sec23a",False,False,False,0.0025187,0.0107073
"Sec61a1",False,False,False,0.00227178,0.00337945
"Sec61b",False,False,False,0.00199198,0.0119951
"Sec61g",False,False,False,0.000675272,0.00577673
"Serpina1b",False,False,False,0.00303103,0.00525635
"Serpinc1",False,False,False,0.00102279,0.00575747
"Sf3a2",False,False,False,0.00198682,0.00666849
"Sf3b6",False,False,False,0.00831725,0.0105107
"Slc35b1",False,False,False,0.00111881,0.00505412
"Slc39a9",False,False,False,-0.000427082,0.00379651
"Slu7",False,False,False,0.0024019,0.0117578
"Snip1",False,False,False,0.00344358,0.0124461
"Snrpa1",False,False,False,0.00186035,0.0105024
"Snw1",False,False,False,0.00200894,0.00575551
"Srebf1",False,False,False,0.00356003,0.0103396
"Srp72",False,False,False,0.000234953,0.00612068
"Ssu72",False,False,False,0.00105954,0.00772669
"Taf1a",False,False,False,0.00201072,0.00610932
"Tap1",False,False,False,-0.000398145,0.00428534
"Tapbp",False,False,False,0.00138839,0.0136261
"Tbcb",False,False,False,0.000102675,0.00740681
"Tsc1",False,False,False,0.00755812,0.00959064
"Tuba1a",False,False,False,0.0018248,0.00607452
"Ubtf",True,False,False,0.000883214,0.00396114
"Uqcrfs1",False,False,False,-0.000155603,0.00352875
"Vcp",True,False,False,0.00139083,0.00966634
"Vhl",False,False,False,0.00146153,0.00595179
"Xbp1",False,False,False,0.000214849,0.00456691
